DISTRICT,DD000A00200022R,DD000AA1200022R,DD000AE2200022R,DD000AM0200022R,DD000AR0200022R,DD004AM0200022R,DD004AR0200022R,DD005AM0200022R,DD005AR0200022R,DD006AM0200022R,DD006AR0200022R,DD007AM0200022R,DD007AR0200022R,DD008AM0200022R,DD008AR0200022R,DD200A00200022R,DD200AA1200022R,DD200AE2200022R,DD200AM0200022R,DD200AR0200022R,DD204AM0200022R,DD204AR0200022R,DD205AM0200022R,DD205AR0200022R,DD206AM0200022R,DD206AR0200022R,DD207AM0200022R,DD207AR0200022R,DD208AM0200022R,DD208AR0200022R,DD300A00200022R,DD300AA1200022R,DD300AE2200022R,DD300AM0200022R,DD300AR0200022R,DD304AM0200022R,DD304AR0200022R,DD305AM0200022R,DD305AR0200022R,DD306AM0200022R,DD306AR0200022R,DD307AM0200022R,DD307AR0200022R,DD308AM0200022R,DD308AR0200022R,DD400A00200022R,DD400AA1200022R,DD400AE2200022R,DD400AM0200022R,DD400AR0200022R,DD404AM0200022R,DD404AR0200022R,DD405AM0200022R,DD405AR0200022R,DD406AM0200022R,DD406AR0200022R,DD407AM0200022R,DD407AR0200022R,DD408AM0200022R,DD408AR0200022R,DDA00A00200022R,DDA00AA1200022R,DDA00AE2200022R,DDA00AM0200022R,DDA00AR0200022R,DDA04AM0200022R,DDA04AR0200022R,DDA05AM0200022R,DDA05AR0200022R,DDA06AM0200022R,DDA06AR0200022R,DDA07AM0200022R,DDA07AR0200022R,DDA08AM0200022R,DDA08AR0200022R,DDB00A00200022R,DDB00AA1200022R,DDB00AE2200022R,DDB00AM0200022R,DDB00AR0200022R,DDB04AM0200022R,DDB04AR0200022R,DDB05AM0200022R,DDB05AR0200022R,DDB06AM0200022R,DDB06AR0200022R,DDB07AM0200022R,DDB07AR0200022R,DDB08AM0200022R,DDB08AR0200022R,DDE00A00200022R,DDE00AA1200022R,DDE00AE2200022R,DDE00AM0200022R,DDE00AR0200022R,DDE04AM0200022R,DDE04AR0200022R,DDE05AM0200022R,DDE05AR0200022R,DDE06AM0200022R,DDE06AR0200022R,DDE07AM0200022R,DDE07AR0200022R,DDE08AM0200022R,DDE08AR0200022R,DDF00A00200022R,DDF00AA1200022R,DDF00AE2200022R,DDF00AM0200022R,DDF00AR0200022R,DDF04AM0200022R,DDF04AR0200022R,DDF05AM0200022R,DDF05AR0200022R,DDF06AM0200022R,DDF06AR0200022R,DDF07AM0200022R,DDF07AR0200022R,DDF08AM0200022R,DDF08AR0200022R,DDH00A00200022R,DDH00AA1200022R,DDH00AE2200022R,DDH00AM0200022R,DDH00AR0200022R,DDH04AM0200022R,DDH04AR0200022R,DDH05AM0200022R,DDH05AR0200022R,DDH06AM0200022R,DDH06AR0200022R,DDH07AM0200022R,DDH07AR0200022R,DDH08AM0200022R,DDH08AR0200022R,DDI00A00200022R,DDI00AA1200022R,DDI00AE2200022R,DDI00AM0200022R,DDI00AR0200022R,DDI04AM0200022R,DDI04AR0200022R,DDI05AM0200022R,DDI05AR0200022R,DDI06AM0200022R,DDI06AR0200022R,DDI07AM0200022R,DDI07AR0200022R,DDI08AM0200022R,DDI08AR0200022R,DDM00A00200022R,DDM00AA1200022R,DDM00AE2200022R,DDM00AM0200022R,DDM00AR0200022R,DDM04AM0200022R,DDM04AR0200022R,DDM05AM0200022R,DDM05AR0200022R,DDM06AM0200022R,DDM06AR0200022R,DDM07AM0200022R,DDM07AR0200022R,DDM08AM0200022R,DDM08AR0200022R,DDR00A00200022R,DDR00AA1200022R,DDR00AE2200022R,DDR00AM0200022R,DDR00AR0200022R,DDR04AM0200022R,DDR04AR0200022R,DDR05AM0200022R,DDR05AR0200022R,DDR06AM0200022R,DDR06AR0200022R,DDR07AM0200022R,DDR07AR0200022R,DDR08AM0200022R,DDR08AR0200022R,DDS00A00200022R,DDS00AA1200022R,DDS00AE2200022R,DDS00AM0200022R,DDS00AR0200022R,DDS04AM0200022R,DDS04AR0200022R,DDS05AM0200022R,DDS05AR0200022R,DDS06AM0200022R,DDS06AR0200022R,DDS07AM0200022R,DDS07AR0200022R,DDS08AM0200022R,DDS08AR0200022R,DDW00A00200022R,DDW00AA1200022R,DDW00AE2200022R,DDW00AM0200022R,DDW00AR0200022R,DDW04AM0200022R,DDW04AR0200022R,DDW05AM0200022R,DDW05AR0200022R,DDW06AM0200022R,DDW06AR0200022R,DDW07AM0200022R,DDW07AR0200022R,DDW08AM0200022R,DDW08AR0200022R,DISTNAME,DNC00A00200022R,DNC00AA1200022R,DNC00AE2200022R,DNC00AM0200022R,DNC00AR0200022R,DNC04AM0200022R,DNC04AR0200022R,DNC05AM0200022R,DNC05AR0200022R,DNC06AM0200022R,DNC06AR0200022R,DNC07AM0200022R,DNC07AR0200022R,DNC08AM0200022R,DNC08AR0200022R,DNM00A00200022R,DNM00AA1200022R,DNM00AE2200022R,DNM00AM0200022R,DNM00AR0200022R,DNM04AM0200022R,DNM04AR0200022R,DNM05AM0200022R,DNM05AR0200022R,DNM06AM0200022R,DNM06AR0200022R,DNM07AM0200022R,DNM07AR0200022R,DNM08AM0200022R,DNM08AR0200022R,DNS00A00200022R,DNS00AA1200022R,DNS00AE2200022R,DNS00AM0200022R,DNS00AR0200022R,DNS04AM0200022R,DNS04AR0200022R,DNS05AM0200022R,DNS05AR0200022R,DNS06AM0200022R,DNS06AR0200022R,DNS07AM0200022R,DNS07AR0200022R,DNS08AM0200022R,DNS08AR0200022R
"'057841",64,.,.,54,75,34,63,71,77,48,72,45,86,78,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,.,.,55,77,34,63,68,81,56,74,50,88,80,80,68,.,.,60,76,33,58,63,80,-1,-1,75,83,75,88,66,.,.,56,77,33,61,70,81,56,78,53,89,81,82,67,.,.,55,80,25,63,65,86,63,73,47,94,94,86,65,.,.,55,76,34,64,70,81,56,74,48,88,80,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,.,.,56,73,43,64,72,74,51,75,53,82,68,76,64,.,.,54,75,32,63,68,80,55,73,49,86,79,80,58,.,.,50,67,19,40,67,83,73,88,67,89,57,64,75,.,.,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,"CITYSCAPE SCHOOLS",67,.,.,54,80,28,77,66,80,56,78,46,84,86,81,64,.,.,57,72,40,51,71,83,58,67,56,94,72,79,100,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.
"'057844",81,80,-1,72,90,60,90,64,95,75,93,71,93,92,79,88,.,.,-1,-1,.,.,.,.,-1,-1,.,.,-1,-1,82,-1,-1,81,83,85,80,67,92,90,60,75,92,100,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,74,63,75,86,66,87,69,90,84,81,73,97,87,82,82,67,71,79,86,65,80,91,90,81,86,78,100,91,86,78,67,61,72,86,65,85,53,87,76,90,77,100,89,76,81,72,58,78,85,71,84,76,94,84,75,76,95,87,87,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,-1,-1,58,.,.,-1,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,79,75,67,72,87,61,89,60,85,83,92,69,100,87,77,81,77,60,75,88,69,89,61,97,82,87,77,96,89,75,62,-1,.,54,73,.,.,-1,-1,-1,-1,-1,-1,67,67,77,70,-1,68,88,59,94,50,93,80,80,65,100,83,75,"MANARA ACADEMY",82,74,86,74,90,70,87,67,85,80,91,73,95,88,91,78,-1,30,76,79,60,87,73,100,94,56,75,100,86,71,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.
"'057845",78,65,71,75,81,-1,-1,86,77,73,77,64,88,94,100,85,-1,.,73,100,.,.,.,.,-1,-1,-1,-1,-1,-1,77,-1,.,86,67,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,56,75,74,85,72,82,86,88,72,79,67,93,85,88,73,38,75,66,79,71,71,80,80,71,75,61,88,69,80,78,53,79,73,83,65,73,79,86,70,79,74,90,91,88,81,59,74,76,85,65,83,90,88,74,83,64,92,92,89,80,54,77,73,86,66,82,87,91,69,83,68,94,87,86,50,.,.,-1,-1,.,.,-1,-1,.,.,.,.,-1,-1,78,55,76,71,84,76,82,82,90,69,76,70,93,77,88,78,41,71,72,84,-1,-1,86,77,75,79,68,93,84,88,81,-1,64,85,78,-1,-1,83,64,100,80,-1,-1,100,92,82,68,72,80,84,80,89,94,83,75,77,67,93,88,93,"UME PREPARATORY ACADEMY",78,55,71,73,82,72,82,85,81,73,75,64,93,91,89,81,58,79,74,87,73,82,87,94,71,83,70,92,80,88,89,-1,-1,89,89,-1,-1,-1,-1,-1,-1,.,.,-1,-1
"'057846",77,83,79,74,81,51,69,84,86,62,73,82,93,81,80,100,-1,-1,100,100,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,-1,-1,.,.,.,.,-1,.,.,-1,-1,.,-1,.,.,.,.,-1,-1,.,.,79,81,84,74,85,60,79,83,87,63,79,81,96,82,83,80,55,100,71,88,65,91,71,88,77,80,73,100,85,73,82,83,84,78,86,65,84,83,85,72,81,82,96,83,84,81,81,92,73,89,61,85,80,95,59,79,80,97,80,90,79,83,80,75,84,55,74,85,89,59,78,81,95,81,84,58,-1,.,57,58,.,.,-1,-1,-1,-1,-1,-1,.,.,78,80,76,76,81,58,72,84,82,66,78,82,95,83,77,78,81,80,74,81,61,73,81,86,62,72,80,94,82,79,76,68,80,65,90,50,90,80,90,44,100,77,92,69,83,80,100,-1,76,85,72,78,91,82,50,85,88,100,.,.,"LEGACY PREPARATORY",81,77,78,77,86,67,82,83,84,69,85,80,97,84,86,77,85,90,72,83,54,75,82,91,58,72,82,95,80,81,69,-1,-1,59,80,-1,-1,-1,-1,-1,-1,.,.,-1,-1
"'057847",69,-1,-1,59,80,58,83,50,86,-1,-1,-1,-1,.,.,59,-1,-1,38,80,30,80,80,80,-1,-1,29,93,.,.,67,-1,.,60,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,19,83,50,77,46,83,76,87,72,50,35,80,-1,-1,62,12,86,47,79,45,87,74,87,64,61,38,74,.,.,63,23,91,48,78,32,85,74,88,58,42,34,79,-1,-1,63,20,84,50,77,45,86,80,87,70,55,34,78,.,.,66,40,85,56,76,48,79,82,86,74,44,33,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,19,82,51,76,47,80,73,86,73,45,36,82,-1,-1,61,15,82,49,74,46,81,68,84,72,44,31,79,.,.,69,-1,80,61,76,50,82,80,80,86,63,69,75,-1,-1,61,4,73,48,73,-1,100,60,90,89,39,44,89,-1,-1,"VILLAGE TECH SCHOOLS",66,13,83,51,80,56,87,76,89,81,64,32,74,.,.,61,25,83,50,74,37,79,77,85,65,39,37,86,-1,-1,50,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.
"'057848",72,64,79,66,79,68,81,75,87,62,55,59,90,71,84,71,74,69,66,76,55,86,66,81,65,49,70,94,81,94,85,91,81,84,85,86,86,83,90,80,74,76,95,88,81,77,-1,-1,80,75,.,.,-1,-1,.,.,-1,-1,.,.,73,66,79,67,79,67,78,75,88,62,55,61,91,72,86,72,68,79,66,78,64,74,75,88,59,55,60,90,70,85,72,64,78,66,78,65,77,74,88,60,54,62,90,69,85,73,67,81,66,80,63,79,75,90,59,56,61,93,74,88,72,63,79,66,79,66,79,74,88,61,55,60,90,71,86,70,-1,-1,69,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,66,77,68,77,71,77,75,87,65,55,62,88,69,83,72,60,79,65,79,64,77,75,88,62,54,59,90,70,85,59,31,67,50,68,50,54,59,73,56,62,52,77,45,75,76,70,77,71,80,71,76,78,93,65,57,70,93,72,85,"INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)",76,71,81,71,82,71,80,77,90,68,60,66,93,74,89,69,58,75,62,75,61,75,72,86,55,50,56,89,69,82,68,63,88,64,72,57,77,64,76,52,36,82,77,68,78
"'057850",67,50,56,56,80,89,67,61,77,33,62,57,91,70,85,67,70,-1,61,74,94,69,-1,-1,-1,-1,-1,-1,-1,-1,71,-1,-1,66,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,90,-1,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,70,57,75,59,81,81,79,65,76,41,73,53,91,66,81,74,61,91,65,83,88,82,67,77,55,71,43,94,72,83,67,53,70,57,78,79,76,62,73,41,71,46,89,71,79,70,53,80,58,84,78,76,72,88,35,75,52,93,67,85,68,54,70,56,81,79,74,70,80,31,67,51,90,69,84,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,69,63,73,61,78,83,82,60,69,46,70,54,90,66,76,68,48,69,58,79,85,77,59,74,41,66,53,92,70,81,59,19,100,47,71,60,50,57,57,27,78,50,88,56,69,71,62,76,62,80,79,81,65,75,43,81,61,91,62,72,"PIONEER TECHNOLOGY & ARTS ACADEMY",68,53,75,57,78,81,92,-1,-1,44,69,50,90,75,64,70,60,74,60,81,81,78,65,75,40,73,53,91,66,82,67,-1,-1,50,83,-1,-1,-1,-1,-1,-1,60,83,-1,-1
"'057851",67,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,.,.,83,71,75,69,-1,-1,.,.,.,.,.,.,78,.,.,88,69,-1,-1,-1,-1,.,.,.,.,.,.,-1,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,92,.,.,100,83,-1,-1,-1,-1,.,.,.,.,.,.,67,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,.,.,67,58,-1,-1,-1,-1,.,.,.,.,.,.,67,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,70,.,.,60,80,-1,-1,-1,-1,.,.,.,.,.,.,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,"BRIDGEWAY PREPARATORY ACADEMY",-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,75,.,.,82,68,71,64,-1,-1,.,.,.,.,.,.,-1,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"'057903",73,64,76,71,75,82,71,83,81,59,57,59,85,76,80,76,66,85,70,81,66,74,86,92,55,60,57,90,78,82,87,91,74,86,87,88,88,88,97,79,75,74,93,87,94,100,.,.,-1,-1,.,.,-1,-1,-1,-1,-1,-1,.,-1,75,70,76,72,78,79,75,82,88,62,59,62,88,75,83,74,64,81,70,77,74,72,80,89,67,57,61,85,66,79,73,65,75,70,76,78,72,81,86,60,55,60,86,74,82,77,73,80,74,80,79,75,83,89,62,58,61,91,79,87,73,67,75,71,76,80,72,81,85,59,55,60,87,75,82,71,-1,-1,72,70,-1,-1,.,.,-1,60,-1,-1,-1,100,74,68,72,71,76,79,74,80,87,63,60,62,85,72,80,72,58,75,69,76,79,72,80,85,61,56,60,84,73,81,66,40,68,61,70,70,68,76,81,60,61,49,71,64,69,79,83,76,76,81,76,74,80,91,64,68,69,95,78,84,"CARROLLTON-FARMERS BRANCH ISD",76,72,76,74,79,80,76,83,89,62,60,63,89,77,84,72,65,75,69,75,76,72,80,86,64,56,57,84,68,80,80,73,81,77,82,88,71,83,94,67,75,70,92,78,68
"'057904",66,61,77,59,74,86,76,57,93,53,47,40,82,58,70,68,44,75,61,75,87,60,69,89,57,61,50,92,56,61,74,-1,50,69,79,-1,-1,71,100,-1,-1,-1,-1,70,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,66,52,69,59,72,77,73,70,83,55,49,42,84,62,73,65,49,72,58,71,74,72,69,79,56,46,41,84,63,70,65,47,69,58,71,76,72,67,82,56,46,43,84,62,71,68,56,73,62,74,75,72,76,87,56,45,39,88,66,73,68,58,61,61,75,83,77,70,90,51,54,44,85,59,78,75,-1,.,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,64,48,65,57,70,79,73,64,78,54,53,45,81,59,73,64,41,67,58,71,78,74,68,80,59,48,39,82,62,70,57,12,69,47,68,74,65,64,69,50,57,39,73,46,72,72,-1,59,70,73,79,86,83,75,59,64,43,86,85,75,"CEDAR HILL ISD",67,56,68,61,72,80,74,68,83,56,48,45,86,64,72,64,43,70,56,72,72,71,72,82,54,51,38,82,60,75,50,23,42,46,54,80,60,70,100,35,20,33,75,61,33
"'057905",72,70,74,69,76,75,61,83,79,48,58,53,86,72,83,76,67,67,72,80,78,76,86,88,62,69,52,89,70,86,82,89,85,82,83,81,80,93,87,62,76,60,88,86,82,69,-1,-1,57,78,-1,-1,-1,-1,.,.,.,.,-1,-1,73,69,74,69,77,74,69,82,83,53,59,52,87,73,84,71,56,74,66,76,68,72,80,85,59,56,49,86,73,83,72,68,74,68,76,73,67,82,82,51,58,52,86,72,84,75,72,77,70,79,74,71,84,85,52,60,52,89,77,87,73,71,74,69,77,75,66,82,82,50,59,53,86,72,84,65,54,86,57,75,80,-1,78,89,36,-1,39,73,-1,100,71,67,70,67,75,74,66,80,81,53,59,52,84,68,81,71,65,72,67,76,73,65,82,81,51,57,51,85,71,83,64,44,63,61,67,65,58,75,74,55,58,55,72,63,73,80,83,73,76,83,80,81,83,93,64,69,55,91,73,88,"DALLAS ISD",73,71,74,69,77,74,68,82,82,51,59,52,87,72,85,72,61,74,68,77,73,71,82,87,58,61,50,85,74,79,72,52,59,67,76,78,79,83,83,53,63,32,86,79,80
"'057906",79,73,65,75,84,81,72,81,90,53,72,68,98,84,91,75,75,73,74,77,83,72,100,100,68,62,20,88,85,85,88,-1,-1,75,100,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,65,76,68,80,81,80,79,86,56,61,52,88,78,87,73,64,78,67,80,81,82,78,85,57,60,50,87,76,86,73,64,73,68,79,80,80,79,83,57,62,53,86,79,88,76,73,77,71,81,79,81,78,86,54,62,56,92,85,90,76,67,73,71,81,79,78,82,88,51,66,61,91,85,90,75,-1,.,67,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,72,59,75,65,78,82,79,80,85,58,60,49,84,73,84,72,55,73,65,79,80,79,75,84,53,64,53,85,81,87,63,59,65,60,67,72,78,72,72,47,59,45,65,69,66,62,44,40,59,65,-1,-1,-1,-1,60,55,-1,100,-1,83,"DESOTO ISD",74,67,77,69,79,83,82,80,85,56,58,54,88,78,86,73,61,74,65,81,77,78,76,86,56,67,50,89,78,88,72,-1,83,62,81,-1,-1,-1,-1,67,67,-1,-1,.,.
"'057907",72,41,71,67,78,62,65,81,75,75,71,65,89,77,86,72,68,77,69,74,62,85,100,60,85,63,46,79,65,78,80,54,78,76,84,75,79,-1,-1,100,71,-1,100,86,90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,44,74,67,79,65,70,81,83,73,73,63,87,79,85,72,42,73,65,79,63,71,79,83,68,74,60,86,80,85,72,42,73,66,78,62,68,80,83,73,72,63,86,79,86,74,47,76,68,81,66,68,84,88,71,73,66,92,81,85,73,45,74,67,79,65,68,81,84,74,72,66,88,78,84,75,-1,.,71,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,42,72,65,77,64,72,78,78,75,73,60,83,77,84,71,37,73,65,78,61,67,81,82,73,72,62,85,79,83,64,20,63,57,71,44,61,64,69,69,72,69,77,66,79,78,43,79,71,85,86,93,92,79,82,82,44,91,92,85,"DUNCANVILLE ISD",73,46,73,68,78,66,70,80,84,73,72,64,85,80,85,72,42,76,65,80,63,71,83,80,73,75,61,90,77,84,70,45,60,66,75,71,62,76,92,55,70,70,81,70,86
"'057909",73,65,71,69,78,75,68,87,88,51,63,58,87,76,84,76,63,59,72,80,84,88,81,92,73,62,47,86,71,87,84,88,79,81,86,89,88,91,94,61,73,66,91,80,90,78,-1,-1,59,95,86,86,-1,-1,-1,-1,-1,-1,.,-1,75,66,74,70,79,76,75,83,89,59,63,56,88,75,85,73,58,73,68,79,76,79,79,89,65,62,54,87,73,84,73,63,73,68,78,74,72,83,87,57,60,56,87,75,84,76,68,76,70,81,75,77,86,90,56,62,57,91,78,88,73,64,74,68,78,73,69,84,87,54,59,55,87,75,84,80,67,90,74,86,100,94,100,100,42,60,81,91,-1,83,73,64,72,69,78,78,74,80,88,61,63,55,84,72,82,72,59,69,68,77,72,69,85,87,51,63,57,85,76,82,63,35,56,59,68,69,67,70,77,62,53,49,74,58,74,77,69,72,72,81,80,81,78,90,67,66,57,90,72,89,"GARLAND ISD",75,67,75,70,80,77,75,84,89,60,63,56,88,75,86,72,57,69,67,78,75,78,80,86,56,63,55,86,74,81,76,69,67,72,79,81,70,82,90,61,73,66,91,72,81
"'057910",72,62,69,69,75,76,69,85,85,52,52,63,86,79,82,76,74,70,73,80,73,78,85,88,64,68,50,87,96,90,83,88,84,82,84,91,86,94,93,57,58,63,97,92,79,75,.,-1,-1,79,.,.,.,.,-1,-1,-1,-1,-1,-1,73,62,70,69,77,78,79,82,88,56,53,59,88,79,82,72,60,69,68,76,79,85,82,87,58,48,49,89,77,80,72,58,69,68,76,76,77,82,87,56,50,59,87,78,81,74,62,73,69,78,79,78,83,90,53,52,61,90,82,85,72,60,70,68,76,77,76,82,88,53,52,61,86,80,82,75,90,60,77,72,75,60,-1,-1,100,60,60,92,61,78,72,63,66,69,75,77,79,82,86,59,53,57,86,77,79,71,54,69,67,75,76,75,82,87,57,51,58,86,78,81,66,39,56,62,70,73,73,78,82,60,54,54,77,61,72,75,70,64,73,77,75,82,81,87,66,60,67,94,76,77,"GRAND PRAIRIE ISD",74,65,70,70,78,80,79,83,88,56,54,60,89,80,83,70,53,69,65,75,73,78,80,88,56,50,57,85,77,79,71,58,72,70,73,87,73,87,83,57,64,60,76,63,70
"'057911",74,90,-1,68,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,86,62,76,80,91,82,56,100,60,64,86,100,78,92,87,95,65,87,88,97,85,72,96,92,85,76,99,69,94,67,.,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,.,.,76,87,59,74,77,80,76,67,87,71,60,59,92,68,91,72,-1,-1,74,70,-1,-1,-1,-1,-1,-1,40,100,100,80,63,-1,-1,45,83,.,.,-1,-1,-1,-1,-1,100,-1,.,77,87,56,76,78,79,77,71,88,75,62,63,94,75,93,72,84,65,72,72,80,64,58,75,72,57,47,93,79,95,58,-1,-1,55,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,88,61,71,77,82,76,64,87,68,59,54,90,61,89,75,72,66,71,78,66,67,73,88,87,65,53,90,68,88,70,68,66,66,75,67,71,67,84,74,59,60,89,55,81,75,87,58,73,77,78,76,68,87,69,58,58,91,67,91,"HIGHLAND PARK ISD",75,87,59,74,77,81,76,67,86,69,59,59,93,68,91,78,87,58,76,79,76,80,71,93,86,70,60,88,68,90,74,94,50,74,74,86,69,56,89,69,36,88,98,70,94
"'057912",74,59,72,69,79,76,82,80,90,67,63,59,86,71,78,80,62,78,73,86,77,92,84,91,85,84,75,93,60,81,85,89,78,85,85,81,93,94,85,89,75,76,98,75,88,72,-1,-1,58,85,-1,-1,-1,-1,-1,-1,-1,.,.,-1,75,63,75,70,79,75,81,80,89,70,62,60,88,72,79,74,62,75,69,79,71,76,84,90,72,62,55,90,70,83,74,63,75,69,79,75,81,80,89,69,61,60,88,71,79,76,66,78,70,81,75,83,79,90,70,61,61,91,74,83,74,62,75,69,79,76,82,80,89,69,61,59,88,72,79,74,71,81,70,79,88,59,75,94,55,56,58,97,68,64,73,61,71,69,77,76,79,81,88,70,63,58,86,70,75,73,56,73,68,78,75,81,79,89,68,61,58,86,70,77,63,36,65,58,68,58,61,63,70,65,59,57,83,65,69,73,65,69,70,76,74,77,75,84,73,60,67,90,70,73,"IRVING ISD",75,64,75,70,80,77,83,81,90,70,62,60,90,72,79,72,57,75,68,76,70,72,79,87,68,60,59,81,71,78,78,77,60,76,80,88,82,90,89,79,60,43,93,74,87
"'057913",73,73,75,70,77,86,73,82,90,53,69,49,77,79,74,78,50,-1,77,78,100,67,-1,-1,83,58,92,100,80,100,88,-1,-1,86,89,-1,-1,-1,-1,.,.,-1,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,74,63,76,68,79,78,81,83,88,62,57,46,84,79,84,74,61,77,68,79,77,81,85,87,63,55,45,86,79,86,73,62,77,68,78,76,80,83,87,63,57,46,84,76,83,75,68,79,70,80,75,82,88,87,58,58,49,86,83,87,74,69,75,70,78,82,85,81,89,59,64,49,79,78,76,76,-1,-1,61,90,-1,-1,-1,-1,.,.,-1,-1,-1,-1,72,59,74,67,78,81,81,79,88,66,56,43,84,75,82,73,59,76,67,78,76,78,82,86,63,58,44,84,74,83,62,44,61,58,66,80,66,77,65,58,51,45,79,51,71,73,90,67,62,83,50,75,-1,-1,-1,-1,10,80,86,100,"LANCASTER ISD",75,66,78,70,80,81,80,86,90,63,58,48,87,77,85,71,59,74,66,77,75,83,78,84,60,57,43,81,82,82,65,-1,-1,50,80,-1,-1,-1,-1,57,70,40,100,50,75
"'057914",73,75,72,69,77,77,74,78,88,62,56,50,86,66,83,74,69,67,68,81,75,82,57,86,79,73,53,89,65,88,84,87,67,82,85,86,89,80,91,75,75,55,90,85,94,61,-1,-1,65,57,40,40,-1,-1,-1,-1,-1,-1,.,-1,73,73,74,69,78,76,75,75,87,67,58,50,86,68,84,72,67,73,68,76,75,76,75,85,70,58,50,83,70,82,73,71,74,68,77,75,75,75,86,66,57,49,85,67,83,75,77,77,71,80,75,76,76,89,67,58,52,89,72,86,73,76,74,69,78,76,74,76,87,65,58,49,87,67,84,79,82,78,74,83,81,83,75,100,80,50,83,95,41,82,72,71,71,67,76,76,75,74,85,67,58,48,83,64,81,72,68,74,67,77,76,74,76,86,66,57,48,85,68,82,64,47,68,60,69,63,67,73,78,65,54,47,74,61,73,75,72,77,69,80,77,76,71,90,70,58,48,89,68,86,"MESQUITE ISD",74,75,74,70,78,76,76,76,87,68,59,50,87,67,85,72,68,74,67,76,74,73,73,87,66,57,50,84,68,80,74,74,83,70,78,79,67,74,87,64,63,56,90,71,80
"'057916",68,38,68,59,76,73,82,73,84,64,67,34,77,49,77,76,71,72,68,82,77,88,85,89,63,67,44,86,50,85,77,74,72,71,83,74,83,87,94,77,68,56,89,46,86,76,.,-1,70,81,-1,-1,-1,-1,-1,-1,-1,-1,.,.,73,63,71,65,79,74,79,77,88,71,70,40,85,50,83,71,57,74,63,79,67,77,80,90,69,70,38,81,51,81,69,54,72,61,78,69,78,75,86,67,67,37,81,48,81,74,67,73,66,81,72,80,79,91,68,71,41,87,53,85,68,50,70,59,77,72,78,72,84,65,68,37,81,48,81,69,50,56,68,71,79,42,100,80,83,83,.,94,44,70,71,58,70,64,78,76,78,75,86,73,70,39,82,46,81,69,43,70,60,77,70,78,74,85,68,67,36,78,52,79,64,33,69,57,71,61,68,73,78,70,63,43,73,46,77,78,79,71,73,82,80,80,79,91,78,75,52,92,52,87,"RICHARDSON ISD",74,66,72,66,80,75,80,78,89,72,71,41,86,49,83,68,50,65,61,76,70,75,72,85,67,70,37,79,51,82,75,71,77,67,83,77,77,84,91,64,69,38,90,49,93
