DISTRICT,DD008AMA1222R,DD008AMA1322R,DD008AMA1S22R,DD008ARE1222R,DD008ARE1322R,DD008ARE1S22R,DD008ASC1222R,DD008ASC1322R,DD008ASC1S22R,DD008ASS1222R,DD008ASS1322R,DD008ASS1S22R,DD208AMA1222R,DD208AMA1322R,DD208AMA1S22R,DD208ARE1222R,DD208ARE1322R,DD208ARE1S22R,DD208ASC1222R,DD208ASC1322R,DD208ASC1S22R,DD208ASS1222R,DD208ASS1322R,DD208ASS1S22R,DD308AMA1222R,DD308AMA1322R,DD308AMA1S22R,DD308ARE1222R,DD308ARE1322R,DD308ARE1S22R,DD308ASC1222R,DD308ASC1322R,DD308ASC1S22R,DD308ASS1222R,DD308ASS1322R,DD308ASS1S22R,DD408AMA1222R,DD408AMA1322R,DD408AMA1S22R,DD408ARE1222R,DD408ARE1322R,DD408ARE1S22R,DD408ASC1222R,DD408ASC1322R,DD408ASC1S22R,DD408ASS1222R,DD408ASS1322R,DD408ASS1S22R,DDA08AMA1222R,DDA08AMA1322R,DDA08AMA1S22R,DDA08ARE1222R,DDA08ARE1322R,DDA08ARE1S22R,DDA08ASC1222R,DDA08ASC1322R,DDA08ASC1S22R,DDA08ASS1222R,DDA08ASS1322R,DDA08ASS1S22R,DDB08AMA1222R,DDB08AMA1322R,DDB08AMA1S22R,DDB08ARE1222R,DDB08ARE1322R,DDB08ARE1S22R,DDB08ASC1222R,DDB08ASC1322R,DDB08ASC1S22R,DDB08ASS1222R,DDB08ASS1322R,DDB08ASS1S22R,DDE08AMA1222R,DDE08AMA1322R,DDE08AMA1S22R,DDE08ARE1222R,DDE08ARE1322R,DDE08ARE1S22R,DDE08ASC1222R,DDE08ASC1322R,DDE08ASC1S22R,DDE08ASS1222R,DDE08ASS1322R,DDE08ASS1S22R,DDF08AMA1222R,DDF08AMA1322R,DDF08AMA1S22R,DDF08ARE1222R,DDF08ARE1322R,DDF08ARE1S22R,DDF08ASC1222R,DDF08ASC1322R,DDF08ASC1S22R,DDF08ASS1222R,DDF08ASS1322R,DDF08ASS1S22R,DDH08AMA1222R,DDH08AMA1322R,DDH08AMA1S22R,DDH08ARE1222R,DDH08ARE1322R,DDH08ARE1S22R,DDH08ASC1222R,DDH08ASC1322R,DDH08ASC1S22R,DDH08ASS1222R,DDH08ASS1322R,DDH08ASS1S22R,DDI08AMA1222R,DDI08AMA1322R,DDI08AMA1S22R,DDI08ARE1222R,DDI08ARE1322R,DDI08ARE1S22R,DDI08ASC1222R,DDI08ASC1322R,DDI08ASC1S22R,DDI08ASS1222R,DDI08ASS1322R,DDI08ASS1S22R,DDL08AMA1222R,DDL08AMA1322R,DDL08AMA1S22R,DDL08ARE1222R,DDL08ARE1322R,DDL08ARE1S22R,DDL08ASC1222R,DDL08ASC1322R,DDL08ASC1S22R,DDL08ASS1222R,DDL08ASS1322R,DDL08ASS1S22R,DDM08AMA1222R,DDM08AMA1322R,DDM08AMA1S22R,DDM08ARE1222R,DDM08ARE1322R,DDM08ARE1S22R,DDM08ASC1222R,DDM08ASC1322R,DDM08ASC1S22R,DDM08ASS1222R,DDM08ASS1322R,DDM08ASS1S22R,DDR08AMA1222R,DDR08AMA1322R,DDR08AMA1S22R,DDR08ARE1222R,DDR08ARE1322R,DDR08ARE1S22R,DDR08ASC1222R,DDR08ASC1322R,DDR08ASC1S22R,DDR08ASS1222R,DDR08ASS1322R,DDR08ASS1S22R,DDS08AMA1222R,DDS08AMA1322R,DDS08AMA1S22R,DDS08ARE1222R,DDS08ARE1322R,DDS08ARE1S22R,DDS08ASC1222R,DDS08ASC1322R,DDS08ASC1S22R,DDS08ASS1222R,DDS08ASS1322R,DDS08ASS1S22R,DDW08AMA1222R,DDW08AMA1322R,DDW08AMA1S22R,DDW08ARE1222R,DDW08ARE1322R,DDW08ARE1S22R,DDW08ASC1222R,DDW08ASC1322R,DDW08ASC1S22R,DDW08ASS1222R,DDW08ASS1322R,DDW08ASS1S22R,DISTNAME,DNC08AMA1222R,DNC08AMA1322R,DNC08AMA1S22R,DNC08ARE1222R,DNC08ARE1322R,DNC08ARE1S22R,DNC08ASC1222R,DNC08ASC1322R,DNC08ASC1S22R,DNC08ASS1222R,DNC08ASS1322R,DNC08ASS1S22R,DNM08AMA1222R,DNM08AMA1322R,DNM08AMA1S22R,DNM08ARE1222R,DNM08ARE1322R,DNM08ARE1S22R,DNM08ASC1222R,DNM08ASC1322R,DNM08ASC1S22R,DNM08ASS1222R,DNM08ASS1322R,DNM08ASS1S22R,DNS08AMA1222R,DNS08AMA1322R,DNS08AMA1S22R,DNS08ARE1222R,DNS08ARE1322R,DNS08ARE1S22R,DNS08ASC1222R,DNS08ASC1322R,DNS08ASC1S22R,DNS08ASS1222R,DNS08ASS1322R,DNS08ASS1S22R
"'021805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ARROW ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'021901",43,22,69,42,20,68,30,14,52,24,14,46,63,37,83,74,60,91,64,39,89,46,31,91,84,68,92,83,66,95,79,66,87,73,64,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,30,82,66,47,86,59,37,81,52,37,76,29,12,57,37,20,64,26,11,56,24,12,47,34,11,64,45,25,73,34,16,63,27,15,53,62,31,86,74,56,92,59,35,83,49,33,76,47,18,76,59,41,82,47,27,74,39,23,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,5,56,22,8,54,15,5,39,9,7,29,59,30,79,58,38,81,58,39,80,55,41,76,37,14,69,44,24,74,35,17,65,29,19,57,23,6,42,24,10,49,25,11,44,26,12,45,72,36,90,74,54,93,69,45,89,63,46,86,"COLLEGE STATION ISD",63,32,85,68,48,88,61,39,82,54,39,78,53,27,73,60,44,81,51,31,77,44,31,69,60,32,76,61,43,82,54,39,68,50,36,64
"'021902",19,4,52,37,20,69,28,13,63,14,5,33,32,11,63,47,24,82,63,32,74,35,12,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,20,5,52,42,26,70,33,15,66,20,10,41,9,1,36,26,14,54,16,6,50,9,3,25,17,4,48,37,21,67,28,12,62,16,7,35,21,5,55,50,31,76,31,12,67,16,8,40,18,5,50,41,23,70,29,13,64,17,8,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,4,48,30,15,65,24,9,60,11,4,27,19,6,48,35,21,65,35,18,64,23,12,41,11,2,43,31,16,64,22,7,58,11,4,29,23,10,34,27,10,36,26,10,37,20,9,32,37,11,72,63,51,89,63,32,87,40,27,68,"BRYAN ISD",20,5,53,43,27,72,34,15,67,21,11,41,18,6,46,38,23,61,29,13,60,13,8,37,21,0,50,42,33,67,55,27,82,27,18,45
"'022004",0,0,0,0,0,0,0,0,20,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,25,13,13,25,25,0,50,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,0,0,25,13,13,25,25,0,50,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,14,14,14,14,29,0,43,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,20,0,0,0,0,0,40,20,20,40,20,0,40,0,0,0,0,0,14,0,0,14,14,0,43,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"TERLINGUA CSD",0,0,40,20,20,40,20,0,60,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.
"'022901",50,33,67,67,33,100,50,50,83,33,33,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,17,81,62,38,91,50,31,81,24,19,61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,14,76,56,20,90,45,21,79,17,14,55,50,21,82,70,45,97,57,29,83,26,17,66,40,16,81,56,33,88,47,33,77,19,19,56,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,14,80,54,31,86,43,34,80,23,20,57,17,6,69,47,17,86,28,8,69,8,6,42,22,11,56,33,11,67,22,22,44,22,22,22,54,17,79,70,43,96,52,28,88,32,16,68,"ALPINE ISD",51,21,85,67,41,91,50,38,83,27,21,65,36,9,73,50,32,91,50,18,77,18,14,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'022902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"MARATHON ISD",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'022903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,"SAN VICENTE ISD",.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.
"'023902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,31,94,88,75,88,63,13,81,31,6,63,.,.,.,.,.,.,.,.,.,.,.,.,63,13,88,75,63,75,38,0,63,13,0,50,63,38,88,75,63,75,63,13,75,25,0,38,75,25,88,75,63,75,63,13,75,25,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,25,100,100,88,100,63,13,88,38,13,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,71,43,100,100,86,100,71,14,86,43,14,57,"SILVERTON ISD",89,44,100,100,89,100,78,22,89,56,11,67,57,14,86,71,57,71,43,0,71,0,0,57,.,.,.,.,.,.,.,.,.,.,.,.
"'024901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,4,61,58,35,85,12,1,48,5,2,34,.,.,.,.,.,.,.,.,.,.,.,.,22,2,58,55,34,84,10,0,46,4,1,33,33,4,62,52,29,81,8,0,44,2,2,26,25,4,61,58,35,85,12,1,48,5,2,34,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,3,60,64,40,88,16,2,52,9,2,41,19,3,52,50,28,81,6,1,44,3,0,30,11,0,22,22,0,56,11,0,22,11,0,22,.,.,.,.,.,.,.,.,.,.,.,.,"BROOKS COUNTY ISD",22,3,58,55,34,85,8,1,45,5,2,35,44,6,78,72,39,83,33,0,67,6,0,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'025901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,100,60,60,80,40,20,80,40,0,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,6,83,66,42,85,57,25,85,17,8,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,6,80,66,39,80,49,22,78,12,5,41,31,4,85,74,48,84,52,19,90,6,0,39,27,0,73,63,37,84,42,16,74,5,0,47,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,7,82,59,35,85,62,29,79,26,15,53,21,2,79,52,25,77,39,9,77,7,2,36,0,0,29,0,0,14,0,0,14,0,0,14,33,6,85,70,43,88,68,30,90,20,13,48,"BANGS ISD",27,3,86,78,52,96,63,26,93,20,9,54,35,12,76,37,16,58,42,21,63,11,5,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'025902",20,0,50,20,10,60,20,20,70,0,0,30,50,13,63,63,38,88,75,0,75,25,0,50,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,31,7,61,51,34,81,51,27,81,17,6,52,18,9,55,36,27,91,27,18,45,9,0,36,25,2,52,42,28,73,39,19,74,11,3,45,37,8,67,63,43,89,50,29,83,16,3,55,21,3,58,46,27,77,41,24,78,11,3,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,0,38,13,0,50,13,13,63,0,0,25,25,5,56,39,25,74,51,25,79,18,8,50,15,0,46,31,14,72,30,12,72,8,1,36,11,3,16,11,3,37,13,3,39,11,3,24,38,9,64,54,38,83,58,30,87,20,7,59,"BROWNWOOD ISD",30,7,64,52,32,82,54,29,83,17,5,53,33,4,49,46,38,78,38,20,74,16,8,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'025904",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,0,30,50,10,60,10,0,40,40,30,60,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,0,29,57,14,71,14,0,57,57,43,71,0,0,20,40,20,60,0,0,60,40,20,60,.,.,.,.,.,.,.,.,.,.,.,.,0,0,40,80,20,100,0,0,60,60,40,100,"BLANKET ISD",11,0,33,56,11,67,11,0,44,44,33,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'025905",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,0,42,63,46,83,16,4,72,20,4,76,.,.,.,.,.,.,.,.,.,.,.,.,17,0,33,60,50,80,20,10,60,10,0,70,-1,-1,-1,73,73,91,9,0,73,9,0,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,0,50,54,23,77,21,7,71,29,7,86,13,0,38,20,10,60,0,0,36,9,0,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,0,43,74,53,95,15,0,85,25,5,90,"MAY ISD",38,0,50,67,53,80,13,6,75,13,6,81,-1,-1,-1,56,33,89,22,0,67,33,0,67,.,.,.,.,.,.,.,.,.,.,.,.
"'025906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,6,50,33,17,89,22,6,67,28,6,44,.,.,.,.,.,.,.,.,.,.,.,.,20,10,40,40,20,90,20,10,60,20,10,30,14,0,57,43,14,86,0,0,43,14,0,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,9,45,27,18,91,36,9,82,36,9,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,0,53,27,13,93,20,0,73,27,0,47,"ZEPHYR ISD",20,10,40,20,10,90,30,10,60,40,10,50,13,0,63,50,25,88,13,0,75,13,0,38,.,.,.,.,.,.,.,.,.,.,.,.
"'025908",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,19,81,38,25,63,13,6,63,38,25,44,.,.,.,.,.,.,.,.,.,.,.,.,38,25,75,25,25,50,13,13,50,38,25,38,44,22,78,33,22,78,11,0,67,33,22,33,17,0,67,0,0,33,0,0,67,17,0,33,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29,14,86,43,29,43,14,14,57,43,29,57,11,0,67,11,0,44,0,0,44,0,0,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,30,90,60,40,80,20,10,60,50,40,50,"BROOKESMITH ISD",17,0,83,17,17,33,0,0,67,17,17,33,50,30,80,50,30,80,20,10,60,50,30,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'025909",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,77,36,94,78,52,95,81,43,98,56,41,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,33,96,81,48,96,78,48,100,44,33,96,88,42,98,86,62,96,82,40,98,54,34,96,90,25,100,75,50,100,85,35,100,50,30,95,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,26,87,65,35,94,81,48,97,58,52,87,48,18,88,55,21,91,64,27,97,36,24,88,33,17,67,33,33,83,50,50,83,50,50,67,72,36,92,81,53,94,83,47,98,58,45,92,"EARLY ISD",77,34,95,82,58,97,85,45,100,56,40,94,74,42,89,63,32,89,68,37,89,53,42,89,.,.,.,.,.,.,.,.,.,.,.,.
"'026901",22,11,83,50,10,80,20,5,60,20,10,40,50,0,100,70,50,90,60,30,90,30,10,80,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,42,10,84,64,37,89,47,23,83,34,18,68,33,0,67,43,0,57,29,0,71,0,0,57,34,8,81,49,26,81,29,10,74,16,6,49,44,18,87,71,43,89,51,26,78,32,20,57,36,10,85,56,21,88,26,9,74,19,7,51,.,.,.,.,.,.,.,.,.,.,.,.,20,7,80,38,13,75,13,6,50,13,6,31,40,4,82,58,32,89,44,19,88,35,17,78,22,4,73,31,12,78,19,3,66,10,3,43,13,7,73,13,13,56,13,6,44,6,6,31,47,12,84,69,49,92,59,32,88,44,27,76,"CALDWELL ISD",37,10,82,65,36,90,49,22,82,34,17,69,59,9,91,60,40,87,43,23,87,33,23,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'026902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,4,58,48,21,70,24,3,67,15,3,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,47,28,17,56,6,6,50,22,6,28,20,0,53,40,20,65,25,0,70,5,0,45,14,0,71,38,13,75,25,0,63,13,0,50,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20,80,50,33,67,33,17,50,33,17,50,13,7,47,25,13,50,13,6,44,25,6,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,60,43,21,64,21,0,71,7,0,36,"SOMERVILLE ISD",13,7,47,52,30,65,22,4,57,22,4,57,22,0,78,40,0,80,30,0,90,0,0,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'026903",83,0,83,38,13,88,50,0,88,0,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55,7,76,54,41,80,61,24,83,28,11,67,25,0,75,36,27,73,45,9,82,18,9,64,54,8,75,44,31,78,50,13,78,16,3,59,75,17,92,65,50,90,65,20,90,30,5,70,57,7,71,44,28,72,50,17,72,11,6,61,.,.,.,.,.,.,.,.,.,.,.,.,83,0,83,38,13,88,50,0,88,0,0,63,41,0,65,46,35,73,58,27,77,27,15,65,48,4,72,30,13,70,40,3,73,13,3,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,17,83,81,69,94,88,44,94,56,19,81,"SNOOK ISD",39,0,67,45,31,76,52,14,72,17,7,66,82,18,91,71,59,88,76,41,100,47,18,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'027903",0,0,27,14,0,36,9,0,27,0,0,18,43,14,100,71,57,100,43,14,100,43,14,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,3,57,42,29,72,35,16,61,18,9,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,3,50,36,22,63,28,11,50,14,7,38,20,2,53,49,35,76,33,14,61,17,6,45,17,5,54,37,17,68,31,12,58,12,7,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,27,14,0,36,9,0,27,0,0,18,17,4,61,37,23,68,37,18,61,19,12,54,10,2,47,26,14,56,18,7,41,8,4,31,15,6,36,17,9,35,17,9,31,13,7,20,19,1,59,45,34,73,38,19,62,21,11,53,"BURNET CISD",16,4,52,44,29,71,36,16,58,17,9,50,23,2,68,39,28,75,33,18,67,22,10,48,-1,-1,-1,60,40,60,40,20,60,40,0,60
"'027904",24,3,57,28,9,60,24,4,54,7,0,31,44,11,78,43,43,43,29,14,57,0,0,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,38,11,73,45,27,75,38,16,71,22,9,50,44,22,67,29,29,43,29,29,57,29,14,43,29,5,66,36,19,68,28,10,62,14,5,42,39,7,77,55,35,82,37,15,72,18,8,46,27,4,64,31,12,70,24,4,61,9,4,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,3,57,28,9,60,24,4,54,7,0,31,37,14,69,37,20,69,38,17,70,24,10,54,24,6,63,30,14,64,24,6,58,10,2,36,13,8,38,17,7,48,11,7,37,11,2,22,50,17,82,61,42,84,54,28,82,37,15,69,"MARBLE FALLS ISD",40,10,74,46,25,78,40,17,72,21,9,53,32,13,67,45,33,66,30,15,64,22,9,42,40,20,80,75,38,88,63,13,88,38,38,75
"'028902",29,7,67,29,14,63,35,13,68,7,3,35,73,27,82,50,33,83,67,42,92,25,0,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,37,11,71,37,22,71,40,18,71,15,6,45,15,0,38,27,13,60,27,13,47,7,0,40,31,8,67,31,16,68,35,14,68,9,2,38,37,10,72,42,26,75,41,15,72,13,4,43,32,9,71,35,19,69,38,16,70,11,4,41,-1,-1,-1,.,.,.,.,.,.,.,.,.,26,4,64,24,11,60,28,10,63,4,2,30,36,11,70,31,16,66,40,22,70,17,8,47,28,6,67,29,15,66,32,13,65,9,3,37,8,2,32,6,0,28,8,4,38,2,0,26,56,19,78,45,33,79,51,26,80,31,18,61,"LOCKHART ISD",38,11,72,40,24,73,44,20,73,16,6,47,34,9,70,28,14,64,30,12,67,12,5,38,43,7,71,20,10,60,18,0,45,0,0,27
"'028903",13,0,40,26,13,70,17,9,52,9,4,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,5,58,41,28,72,30,16,64,12,5,35,17,0,67,20,0,60,-1,-1,-1,0,0,0,19,3,48,33,21,68,24,13,60,8,1,30,27,5,56,42,31,77,27,12,62,13,6,31,23,4,53,34,21,67,23,11,57,9,4,33,.,.,.,.,.,.,.,.,.,.,.,.,13,0,40,26,13,70,17,9,52,9,4,22,29,6,60,39,24,66,35,23,68,10,5,41,13,0,48,25,14,65,20,9,54,8,4,28,0,0,40,10,10,60,0,0,30,0,0,30,64,18,73,75,63,94,56,44,88,31,13,63,"LULING ISD",25,7,58,40,26,72,27,14,61,11,4,31,35,0,59,43,33,71,43,24,76,14,10,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
