Writing,2017 2016,SA07AWR1S17R SA07AWR1S16R,RA07AWR1S17R RA07AWR1S16R,"DA07AWR1S17R DA07AWR1S16R
:unselected:
:unselected:","DB07AWR1S17R DB07AWR1S16R
:unselected:
:unselected:","DH07AWR1S17R DH07AWR1S16R
:unselected:
:unselected:","DW07AWR1S17R DW07AWR1S16R
:unselected:
:unselected:",DI07AWR1S17R DI07AWR1S16R,D307AWR1S17R D307AWR1S16R,D407AWR1S17R D407AWR1S16R,D207AWR1S17R D207AWR1S16R,DS07AWR1S17R DS07AWR1S16R,DE07AWR1S17R DE07AWR1S16R,DL07AWR1S17R DL07AWR1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
Grade 8***,,,,,,,,,,,,,,,,
Reading,2017,SA08ARE1S17R,RA08ARE1S17R,"DA08ARE1S17R
:unselected:","DB08ARE1S17R
:unselected:","DH08ARE1S17R
:unselected:",DW08ARE1S17R,DI08ARE1S17R,D308ARE1S17R,D408ARE1S17R,D208ARE1S17R,DS08ARE1S17R,DE08ARE1S17R,DL08ARE1S17R,,
,2016,SA08ARE1S16R,RA08ARE1S16R,"DA08ARE1S16R
:unselected:","DB08ARE1S16R
:unselected:","DH08ARE1S16R
:unselected:","DW08ARE1S16R
:unselected:",DI08ARE1S16R,D308ARE1S16R,D408ARE1S16R,D208ARE1S16R,DS08ARE1S16R,DE08ARE1S16R,DL08ARE1S16R,,
Mathematics,2017 2016,SA08AMA1S17R SA08AMA1S16R,RA08AMA1S17R RA08AMA1S16R,"DA08AMA1S17R DA08AMA1S16R
:unselected:
:unselected:","DB08AMA1S17R DB08AMA1S16R
:unselected:
:unselected:","DH08AMA1S17R DH08AMA1S16R
:unselected:
:unselected:","DW08AMA1S17R DW08AMA1S16R
:unselected:
:unselected:",DI08AMA1S17R DI08AMA1S16R,D308AMA1S17R D308AMA1S16R,D408AMA1S17R D408AMA1S16R,D208AMA1S17R D208AMA1S16R,DS08AMA1S17R DS08AMA1S16R,DE08AMA1S17R DE08AMA1S16R,DL08AMA1S17R DL08AMA1S16R,,
Science,2017 2016,SA08ASC1S17R SA08ASC1S16R,RA08ASC1S17R RA08ASC1S16R,"DA08ASC1S17R DA08ASC1S16R
:unselected:
:unselected:","DB08ASC1S17R DB08ASC1S16R
:unselected:
:unselected:","DH08ASC1S17R DH08ASC1S16R
:unselected:
:unselected:","DW08ASC1S17R DW08ASC1S16R
:unselected:
:unselected:",DI08ASC1S17R DI08ASC1S16R,D308ASC1S17R D308ASC1S16R,D408ASC1S17R D408ASC1S16R,D208ASC1S17R D208ASC1S16R,DS08ASC1S17R DS08ASC1S16R,DE08ASC1S17R DE08ASC1S16R,DL08ASC1S17R DL08ASC1S16R,,
Social Studies,2017 2016,SA08ASS1S17R SA08ASS1S16R,RA08ASS1S17R RA08ASS1S16R,"DA08ASS1S17R DA08ASS1S16R
:unselected:
:unselected:","DB08ASS1S17R DB08ASS1S16R
:unselected:
:unselected:","DH08ASS1S17R DH08ASS1S16R
:unselected:
:unselected:","DW08ASS1S17R DW08ASS1S16R
:unselected:
:unselected:",DI08ASS1S17R DI08ASS1S16R,D308ASS1S17R D308ASS1S16R,D408ASS1S17R D408ASS1S16R,D208ASS1S17R D208ASS1S16R,DS08ASS1S17R DS08ASS1S16R,DE08ASS1S17R DE08ASS1S16R,DL08ASS1S17R DL08ASS1S16R,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
End of Course,,,,,,,,,,,,,,,,
English I,2017,SA00AR11S17R,RA00AR11S17R,"DA00AR11S17R
:unselected:","DB00AR11S17R
:unselected:","DH00AR11S17R
:unselected:","DW00AR11S17R
:unselected:",DI00AR11S17R,D300AR11S17R,D400AR11S17R,D200AR11S17R,DS00AR11S17R,DE00AR11S17R,DL00AR11S17R,,
,2016,SA00AR11S16R,RA00AR11S16R,"DA00AR11S16R
:unselected:","DB00AR11S16R
:unselected:","DH00AR11S16R
:unselected:","DW00AR11S16R
:unselected:",DI00AR11S16R,D300AR11S16R,D400AR11S16R,D200AR11S16R,DS00AR11S16R,DE00AR11S16R,DL00AR11S16R,,
English II,2017,SA00AR21S17R,RA00AR21S17R,"DA00AR21S17R
:unselected:","DB00AR21S17R
:unselected:","DH00AR21S17R
:unselected:","DW00AR21S17R
:unselected:",DI00AR21S17R,D300AR21S17R,D400AR21S17R,D200AR21S17R,DS00AR21S17R,DE00AR21S17R,DL00AR21S17R,,
,2016,SA00AR21S16R,RA00AR21S16R,"DA00AR21S16R
:unselected:","DB00AR21S16R
:unselected:","DH00AR21S16R
:unselected:","DW00AR21S16R
:unselected:",DI00AR21S16R,D300AR21S16R,D400AR21S16R,D200AR21S16R,DS00AR21S16R,DE00AR21S16R,DL00AR21S16R,,
Algebra I,2017 2016,SA00AA11S17R SA00AA11S16R,RA00AA11S17R RA00AA11S16R,"DA00AA11S17R DA00AA11S16R
:unselected:
:unselected:","DB00AA11S17R DB00AA11S16R
:unselected:
:unselected:","DH00AA11S17R DH00AA11S16R
:unselected:
:unselected:","DW00AA11S17R DW00AA11S16R
:unselected:
:unselected:",DI00AA11S17R DI00AA11S16R,D300AA11S17R D300AA11S16R,D400AA11S17R D400AA11S16R,D200AA11S17R D200AA11S16R,DS00AA11S17R DS00AA11S16R,DE00AA11S17R DE00AA11S16R,DL00AA11S17R DL00AA11S16R,,
Biology,2017 2016,SA00ABI1S17R SA00ABI1S16R,RA00ABI1S17R RA00ABI1S16R,"DA00ABI1S17R DA00ABI1S16R
:unselected:
:unselected:","DB00ABI1S17R DB00ABI1S16R
:unselected:
:unselected:","DH00ABI1S17R DH00ABI1S16R
:unselected:
:unselected:","DW00ABI1S17R DW00ABI1S16R
:unselected:
:unselected:",DI00ABI1S17R DI00ABI1S16R,D300ABI1S17R D300ABI1S16R,D400ABI1S17R D400ABI1S16R,D200ABI1S17R D200ABI1S16R,DS00ABI1S17R DS00ABI1S16R,DE00ABI1S17R DE00ABI1S16R,DL00ABI1S17R DL00ABI1S16R,,
U.S. History,2017 2016,SA00AUS1S17R SA00AUS1S16R,RA00AUS1S17R RA00AUS1S16R,"DA00AUS1S17R DA00AUS1S16R
:unselected:
:unselected:","DB00AUS1S17R DB00AUS1S16R
:unselected:
:unselected:","DH00AUS1S17R DH00AUS1S16R
:unselected:
:unselected:","DW00AUS1S17R DW00AUS1S16R
:unselected:
:unselected:",DI00AUS1S17R DI00AUS1S16R,D300AUS1S17R D300AUS1S16R,D400AUS1S17R D400AUS1S16R,D200AUS1S17R D200AUS1S16R,DS00AUS1S17R DS00AUS1S16R,DE00AUS1S17R DE00AUS1S16R,DL00AUS1S17R DL00AUS1S16R,,
,,,,,,,,,,,,,,,,
,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,,
STAAR Percent at Approaches Grade Level or Above,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,2017 2016,SA00A001S17R SA00A001S16R,RA00A001S17R RA00A001S16R,"DA00A001S17R DA00A001S16R
:unselected:
:unselected:","DB00A001S17R DB00A001S16R
:unselected:
:unselected:","DH00A001S17R DH00A001S16R
:unselected:
:unselected:","DW00A001S17R DW00A001S16R
:unselected:
:unselected:","DI00A001S17R DI00A001S16R
:unselected:",D300A001S17R D300A001S16R,D400A001S17R D400A001S16R,D200A001S17R D200A001S16R,DS00A001S17R DS00A001S16R,DE00A001S17R DE00A001S16R,DL00A001S17R DL00A001S16R,,
Reading,2017 2016,SA00AR01S17R SA00AR01S16R,RA00AR01S17R RA00AR01S16R,"DA00AR01S17R DA00AR01S16R
:unselected:
:unselected:","DB00AR01S17R DB00AR01S16R
:unselected:
:unselected:","DH00AR01S17R DH00AR01S16R
:unselected:
:unselected:","DW00AR01S17R DW00AR01S16R
:unselected:
:unselected:",DI00AR01S17R DI00AR01S16R,D300AR01S17R D300AR01S16R,D400AR01S17R D400AR01S16R,D200AR01S17R D200AR01S16R,DS00AR01S17R DS00AR01S16R,DE00AR01S17R DE00AR01S16R,DL00AR01S17R DL00AR01S16R,,
Mathematics,2017 2016,SA00AM01S17R SA00AM01S16R,RA00AM01S17R RA00AM01S16R,"DA00AM01S17R DA00AM01S16R
:unselected:
:unselected:","DB00AM01S17R DB00AM01S16R
:unselected:
:unselected:","DH00AM01S17R DH00AM01S16R
:unselected:
:unselected:","DW00AM01S17R DW00AM01S16R
:unselected:
:unselected:","DI00AM01S17R DI00AM01S16R
:unselected:",D300AM01S17R D300AM01S16R,D400AM01S17R D400AM01S16R,D200AM01S17R D200AM01S16R,DS00AM01S17R DS00AM01S16R,DE00AM01S17R DE00AM01S16R,DL00AM01S17R DL00AM01S16R,,
Writing,2017 2016,SA00AW01S17R SA00AW01S16R,RA00AW01S17R RA00AW01S16R,"DA00AW01S17R DA00AW01S16R
:unselected:
:unselected:","DB00AW01S17R DB00AW01S16R
:unselected:
:unselected:","DH00AW01S17R DH00AW01S16R
:unselected:
:unselected:","DW00AW01S17R DW00AW01S16R
:unselected:
:unselected:",DI00AW01S17R DI00AW01S16R,D300AW01S17R D300AW01S16R,D400AW01S17R D400AW01S16R,D200AW01S17R D200AW01S16R,DS00AW01S17R DS00AW01S16R,DE00AW01S17R DE00AW01S16R,DL00AW01S17R DL00AW01S16R,,
Science,2017 2016,SA00AC01S17R SA00AC01S16R,RA00AC01S17R RA00AC01S16R,"DA00AC01S17R DA00AC01S16R
:unselected:
:unselected:","DB00AC01S17R DB00AC01S16R
:unselected:
:unselected:","DH00AC01S17R DH00AC01S16R
:unselected:
:unselected:","DW00AC01S17R DW00AC01S16R
:unselected:
:unselected:","DI00AC01S17R DI00AC01S16R
:unselected:
:unselected:",D300AC01S17R D300AC01S16R,D400AC01S17R D400AC01S16R,D200AC01S17R D200AC01S16R,DS00AC01S17R DS00AC01S16R,DE00AC01S17R DE00AC01S16R,DL00AC01S17R DL00AC01S16R,,
Social Studies,2017 2016,SA00AS01S17R SA00AS01S16R,RA00AS01S17R RA00AS01S16R,"DA00AS01S17R DA00AS01S16R
:unselected:
:unselected:","DB00AS01S17R DB00AS01S16R
:unselected:
:unselected:","DH00AS01S17R DH00AS01S16R
:unselected:
:unselected:","DW00AS01S17R DW00AS01S16R
:unselected:
:unselected:",DI00AS01S17R DI00AS01S16R,D300AS01S17R D300AS01S16R,D400AS01S17R D400AS01S16R,D200AS01S17R D200AS01S16R,DS00AS01S17R DS00AS01S16R,DE00AS01S17R DE00AS01S16R,DL00AS01S17R DL00AS01S16R,,
STAAR Percent at Meets Grade Level,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
Two or More Subjects,2017 2016,SA00A004217R SA00A004216R,RA00A004217R RA00A004216R,"DA00A004217R DA00A004216R
:unselected:
:unselected:","DB00A004217R DB00A004216R
:unselected:
:unselected:","DH00A004217R DH00A004216R
:unselected:
:unselected:","DW00A004217R DW00A004216R
:unselected:
:unselected:",DI00A004217R DI00A004216R,D300A004217R D300A004216R,D400A004217R D400A004216R,D200A004217R D200A004216R,DS00A004217R DS00A004216R,DE00A004217R DE00A004216R,DL00A004217R DL00A004216R,,
Reading,2017 2016,SA00AR04217R SA00AR04216R,RA00AR04217R RA00AR04216R,"DA00AR04217R DA00AR04216R
:unselected:
:unselected:","DB00AR04217R DB00AR04216R
:unselected:
:unselected:","DH00AR04217R DH00AR04216R
:unselected:
:unselected:","DW00AR04217R DW00AR04216R
:unselected:
:unselected:",DI00AR04217R DI00AR04216R,D300AR04217R D300AR04216R,D400AR04217R D400AR04216R,D200AR04217R D200AR04216R,DS00AR04217R DS00AR04216R,DE00AR04217R DE00AR04216R,DL00AR04217R DL00AR04216R,,
Mathematics,2017 2016,SA00AM04217R SA00AM04216R,RA00AM04217R RA00AM04216R,"DA00AM04217R DA00AM04216R
:unselected:
:unselected:","DB00AM04217R DB00AM04216R
:unselected:
:unselected:","DH00AM04217R DH00AM04216R
:unselected:
:unselected:","DW00AM04217R DW00AM04216R
:unselected:
:unselected:",DI00AM04217R DI00AM04216R,D300AM04217R D300AM04216R,D400AM04217R D400AM04216R,D200AM04217R D200AM04216R,DS00AM04217R DS00AM04216R,DE00AM04217R DE00AM04216R,DL00AM04217R DL00AM04216R,,
Writing,2017 2016,SA00AW04217R SA00AW04216R,RA00AW04217R RA00AW04216R,"DA00AW04217R DA00AW04216R
:unselected:
:unselected:","DB00AW04217R DB00AW04216R
:unselected:
:unselected:","DH00AW04217R DH00AW04216R
:unselected:
:unselected:","DW00AW04217R DW00AW04216R
:unselected:
:unselected:",DI00AW04217R DI00AW04216R,D300AW04217R D300AW04216R,D400AW04217R D400AW04216R,D200AW04217R D200AW04216R,DS00AW04217R DS00AW04216R,DE00AW04217R DE00AW04216R,DL00AW04217R DL00AW04216R,,
Science,2017 2016,SA00AC04217R SA00AC04216R,RA00AC04217R RA00AC04216R,"DA00AC04217R DA00AC04216R
:unselected:
:unselected:","DB00AC04217R DB00AC04216R
:unselected:
:unselected:","DH00AC04217R DH00AC04216R
:unselected:
:unselected:","DW00AC04217R DW00AC04216R
:unselected:
:unselected:",DI00AC04217R DI00AC04216R,D300AC04217R D300AC04216R,D400AC04217R D400AC04216R,D200AC04217R D200AC04216R,DS00AC04217R DS00AC04216R,DE00AC04217R DE00AC04216R,DL00AC04217R DL00AC04216R,,
Social Studies,2017 2016,SA00AS04217R SA00AS04216R,RA00AS04217R RA00AS04216R,"DA00AS04217R DA00AS04216R
:unselected:
:unselected:","DB00AS04217R DB00AS04216R
:unselected:
:unselected:","DH00AS04217R DH00AS04216R
:unselected:
:unselected:","DW00AS04217R DW00AS04216R
:unselected:
:unselected:",DI00AS04217R DI00AS04216R,D300AS04217R D300AS04216R,D400AS04217R D400AS04216R,D200AS04217R D200AS04216R,DS00AS04217R DS00AS04216R,DE00AS04217R DE00AS04216R,DL00AS04217R DL00AS04216R,,
STAAR Percent at Masters Grade Level,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,2017,SA00A003A17R,RA00A003A17R,"DA00A003A17R
:unselected:","DB00A003A17R
:unselected:","DH00A003A17R
:unselected:","DW00A003A17R
:unselected:",DI00A003A17R,D300A003A17R,D400A003A17R,D200A003A17R,DS00A003A17R,DE00A003A17R,DL00A003A17R,,
,2016,SA00A003A16R,RA00A003A16R,"DA00A003A16R
:unselected:","DB00A003A16R
:unselected:","DH00A003A16R
:unselected:","DW00A003A16R
:unselected:",DI00A003A16R,D300A003A16R,D400A003A16R,D200A003A16R,DS00A003A16R,DE00A003A16R,DL00A003A16R,,
Reading,2017 2016,SA00AR03A17R SA00AR03A16R,RA00AR03A17R RA00AR03A16R,"DA00AR03A17R DA00AR03A16R
:unselected:
:unselected:","DB00AR03A17R DB00AR03A16R
:unselected:
:unselected:","DH00AR03A17R DH00AR03A16R
:unselected:
:unselected:","DW00AR03A17R DW00AR03A16R
:unselected:
:unselected:",DI00AR03A17R DI00AR03A16R,D300AR03A17R D300AR03A16R,D400AR03A17R D400AR03A16R,D200AR03A17R D200AR03A16R,DS00AR03A17R DS00AR03A16R,DE00AR03A17R DE00AR03A16R,DL00AR03A17R DL00AR03A16R,,
Mathematics,2017 2016,SA00AM03A17R SA00AM03A16R,RA00AM03A17R RA00AM03A16R,"DA00AM03A17R DA00AM03A16R
:unselected:
:unselected:","DB00AM03A17R DB00AM03A16R
:unselected:
:unselected:","DH00AM03A17R DH00AM03A16R
:unselected:
:unselected:","DW00AM03A17R DW00AM03A16R
:unselected:
:unselected:",DI00AM03A17R DI00AM03A16R,D300AM03A17R D300AM03A16R,D400AM03A17R D400AM03A16R,D200AM03A17R D200AM03A16R,DS00AM03A17R DS00AM03A16R,DE00AM03A17R DE00AM03A16R,DL00AM03A17R DL00AM03A16R,,
Writing,2017 2016,SA00AW03A17R SA00AW03A16R,RA00AW03A17R RA00AW03A16R,"DA00AW03A17R DA00AW03A16R
:unselected:
:unselected:","DB00AW03A17R DB00AW03A16R
:unselected:
:unselected:","DH00AW03A17R DH00AW03A16R
:unselected:
:unselected:","DW00AW03A17R DW00AW03A16R
:unselected:
:unselected:",DI00AW03A17R DI00AW03A16R,D300AW03A17R D300AW03A16R,D400AW03A17R D400AW03A16R,D200AW03A17R D200AW03A16R,DS00AW03A17R DS00AW03A16R,DE00AW03A17R DE00AW03A16R,DL00AW03A17R DL00AW03A16R,,
Science,2017 2016,SA00AC03A17R SA00AC03A16R,RA00AC03A17R RA00AC03A16R,"DA00AC03A17R DA00AC03A16R
:unselected:
:unselected:","DB00AC03A17R DB00AC03A16R
:unselected:
:unselected:","DH00AC03A17R DH00AC03A16R
:unselected:
:unselected:","DW00AC03A17R DW00AC03A16R
:unselected:
:unselected:",DI00AC03A17R DI00AC03A16R,D300AC03A17R D300AC03A16R,D400AC03A17R D400AC03A16R,D200AC03A17R D200AC03A16R,DS00AC03A17R DS00AC03A16R,DE00AC03A17R DE00AC03A16R,DL00AC03A17R DL00AC03A16R,,
Social Studies,2017 2016,SA00AS03A17R SA00AS03A16R,RA00AS03A17R RA00AS03A16R,"DA00AS03A17R DA00AS03A16R
:unselected:
:unselected:","DB00AS03A17R DB00AS03A16R
:unselected:
:unselected:","DH00AS03A17R DH00AS03A16R
:unselected:
:unselected:","DW00AS03A17R DW00AS03A16R
:unselected:
:unselected:",DI00AS03A17R DI00AS03A16R,D300AS03A17R D300AS03A16R,D400AS03A17R D400AS03A16R,D200AS03A17R D200AS03A16R,DS00AS03A17R DS00AS03A16R,DE00AS03A17R DE00AS03A16R,DL00AS03A17R DL00AS03A16R,,
,,,,,,,,,,,,,,,,
,,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,,
STAAR Percent Met or Exceeded Progress,,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,,
All Subjects,2017 2016,SA00A002G17R SA00A002G16R,RA00A002G17R RA00A002G16R,"DA00A002G17R DA00A002G16R
:unselected:
:unselected:","DB00A002G17R DB00A002G16R
:unselected:
:unselected:","DH00A002G17R DH00A002G16R
:unselected:
:unselected:","DW00A002G17R DW00A002G16R
:unselected:
:unselected:","DI00A002G17R DI00A002G16R
:unselected:
:unselected:",D300A002G17R D300A002G16R,D400A002G17R D400A002G16R,D200A002G17R D200A002G16R,DS00A002G17R DS00A002G16R,DE00A002G17R DE00A002G16R,D000A002G17R D000A002G16R,,
