Data field,Subcategory,School Year,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed (Current),Special Ed (Former),Continu- ously Enrolled,Non-Continu- ously Enrolled,Econ Disadv,EB/EL (Current & Monitored),Unnamed: 18
STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,STAAR Performance Rate by Subject and Performance Level Grade 3 Reading,,,,,,,,,,,,,,,,,,
End of Course U.S. History,At Approaches Grade Level or Above,2021,SDA00AUS1S21R,RDA00AUS1S21R,DDA00AUS1S21R,DDB00AUS1S21R,DDH00AUS1S21R,DDW00AUS1S21R,DDI00AUS1S21R,DD300AUS1S21R,DD400AUS1S21R,DD200AUS1S21R,DDS00AUS1S21R,DNS00AUS1S21R,DNC00AUS1S21R,DNM00AUS1S21R,DDE00AUS1S21R,DD000AUS1S21R,
End of Course U.S. History,At Approaches Grade Level or Above,2019,SDA00AUS1S19R,RDA00AUS1S19R,DDA00AUS1S19R,DDB00AUS1S19R,DDH00AUS1S19R,DDW00AUS1S19R,DDI00AUS1S19R,DD300AUS1S19R,DD400AUS1S19R,DD200AUS1S19R,DDS00AUS1S19R,DNS00AUS1S19R,DNC00AUS1S19R,DNM00AUS1S19R,DDE00AUS1S19R,DD000AUS1S19R,
End of Course U.S. History,At Meets Grade Level or Above,2021,SDA00AUS1221R,RDA00AUS1221R,DDA00AUS1221R,DDB00AUS1221R,DDH00AUS1221R,DDW00AUS1221R,DDI00AUS1221R,DD300AUS1221R,DD400AUS1221R,DD200AUS1221R,DDS00AUS1221R,DNS00AUS1221R,DNC00AUS1221R,DNM00AUS1221R,DDE00AUS1221R,DD000AUS1221R,
End of Course U.S. History,At Meets Grade Level or Above,2019,SDA00AUS1219R,RDA00AUS1219R,DDA00AUS1219R,DDB00AUS1219R,DDH00AUS1219R,DDW00AUS1219R,DDI00AUS1219R,DD300AUS1219R,DD400AUS1219R,DD200AUS1219R,DDS00AUS1219R,DNS00AUS1219R,DNC00AUS1219R,DNM00AUS1219R,DDE00AUS1219R,DD000AUS1219R,
End of Course U.S. History,At Masters Grade Level,2021,SDA00AUS1321R,RDA00AUS1321R,DDA00AUS1321R,DDB00AUS1321R,DDH00AUS1321R,DDW00AUS1321R,DDI00AUS1321R,DD300AUS1321R,DD400AUS1321R,DD200AUS1321R,DDS00AUS1321R,DNS00AUS1321R,DNC00AUS1321R,DNM00AUS1321R,DDE00AUS1321R,DD000AUS1321R,
End of Course U.S. History,At Masters Grade Level,2019,SDA00AUS1319R,RDA00AUS1319R,DDA00AUS1319R,DDB00AUS1319R,DDH00AUS1319R,DDW00AUS1319R,DDI00AUS1319R,DD300AUS1319R,DD400AUS1319R,DD200AUS1319R,DDS00AUS1319R,DNS00AUS1319R,DNC00AUS1319R,DNM00AUS1319R,"DDE00AUS1319R
:selected:",DD000AUS1319R,
SAT/ACT All Subjects,SAT/ACT All Subjects,,,,,,,,,,,,,,,,,,
SAT/ACT All Subjects,At Approaches Grade Level or Above,2021,SDA00AA01S21R,RDA00AA01S21R,DDA00AA01S21R,DDB00AA01S21R,DDH00AA01S21R,DDW00AA01S21R,DDI00AA01S21R,DD300AA01S21R,DD400AA01S21R,DD200AA01S21R,DDS00AA01S21R,DNS00AA01S21R,DNC00AA01S21R,DNM00AA01S21R,DDE00AA01S21R,DD000AA01S21R,
SAT/ACT All Subjects,At Meets Grade Level or Above,2021,SDA00AA01221R,RDA00AA01221R,DDA00AA01221R,DDB00AA01221R,DDH00AA01221R,DDW00AA01221R,DDI00AA01221R,DD300AA01221R,DD400AA01221R,DD200AA01221R,DDS00AA01221R,DNS00AA01221R,DNC00AA01221R,DNM00AA01221R,DDE00AA01221R,DD000AA01221R,
SAT/ACT All Subjects,At Masters Grade Level,2021,SDA00AA01321R,RDA00AA01321R,DDA00AA01321R,DDB00AA01321R,DDH00AA01321R,DDW00AA01321R,DDI00AA01321R,DD300AA01321R,DD400AA01321R,DD200AA01321R,DDS00AA01321R,DNS00AA01321R,DNC00AA01321R,DNM00AA01321R,DDE00AA01321R,DD000AA01321R,
All Grades All Subjects,All Grades All Subjects,,,,,,,,,,,,,,,,,,
All Grades All Subjects,At Approaches Grade Level or Above,2021,SDA00A001S21R,RDA00A001S21R,DDA00A001S21R,DDB00A001S21R,DDH00A001S21R,DDW00A001S21R,DDI00A001S21R,DD300A001S21R,DD400A001S21R,DD200A001S21R,DDS00A001S21R,DNS00A001S21R,DNC00A001S21R,DNM00A001S21R,DDE00A001S21R,DD000A001S21R,
All Grades All Subjects,At Approaches Grade Level or Above,2019,SDA00A001S19R,RDA00A001S19R,DDA00A001S19R,DDB00A001S19R,DDH00A001S19R,DDW00A001S19R,DDI00A001S19R,DD300A001S19R,DD400A001S19R,DD200A001S19R,DDS00A001S19R,DNS00A001S19R,DNC00A001S19R,DNM00A001S19R,DDE00A001S19R,DD000A001S19R,
All Grades All Subjects,At Meets Grade Level or Above,2021,SDA00A001221R,RDA00A001221R,DDA00A001221R,DDB00A001221R,DDH00A001221R,DDW00A001221R,DDI00A001221R,DD300A001221R,DD400A001221R,DD200A001221R,DDS00A001221R,DNS00A001221R,DNC00A001221R,DNM00A001221R,DDE00A001221R,DD000A001221R,
All Grades All Subjects,At Meets Grade Level or Above,2019,SDA00A001219R,RDA00A001219R,DDA00A001219R,DDB00A001219R,DDH00A001219R,DDW00A001219R,DDI00A001219R,DD300A001219R,DD400A001219R,DD200A001219R,DDS00A001219R,DNS00A001219R,DNC00A001219R,DNM00A001219R,DDE00A001219R,DD000A001219R,
All Grades All Subjects,At Masters Grade Level,2021,SDA00A001321R,RDA00A001321R,DDA00A001321R,DDB00A001321R,DDH00A001321R,DDW00A001321R,DDI00A001321R,DD300A001321R,DD400A001321R,DD200A001321R,DDS00A001321R,DNS00A001321R,DNC00A001321R,DNM00A001321R,DDE00A001321R,DD000A001321R,
All Grades All Subjects,At Masters Grade Level,2019,SDA00A001319R,RDA00A001319R,DDA00A001319R,DDB00A001319R,DDH00A001319R,DDW00A001319R,DDI00A001319R,DD300A001319R,DD400A001319R,DD200A001319R,DDS00A001319R,DNS00A001319R,DNC00A001319R,DNM00A001319R,DDE00A001319R,DD000A001319R,
All Grades ELA/Reading,All Grades ELA/Reading,,,,,,,,,,,,,,,,,,
All Grades ELA/Reading,At Approaches Grade Level or Above,2021,SDA00AR01S21R,RDA00AR01S21R,DDA00AR01S21R,DDB00AR01S21R,DDH00AR01S21R,DDW00AR01S21R,DDI00AR01S21R,DD300AR01S21R,DD400AR01S21R,DD200AR01S21R,DDS00AR01S21R,DNS00AR01S21R,DNC00AR01S21R,DNM00AR01S21R,DDE00AR01S21R,DD000AR01S21R,
All Grades ELA/Reading,At Approaches Grade Level or Above,2019,SDA00AR01S19R,RDA00AR01S19R,DDA00AR01S19R,DDB00AR01S19R,DDH00AR01S19R,DDW00AR01S19R,DDI00AR01S19R,DD300AR01S19R,DD400AR01S19R,DD200AR01S19R,DDS00AR01S19R,DNS00AR01S19R,DNC00AR01S19R,DNM00AR01S19R,DDE00AR01S19R,DD000AR01S19R,
All Grades ELA/Reading,At Meets Grade Level or Above,2021,SDA00AR01221R,RDA00AR01221R,DDA00AR01221R,DDB00AR01221R,DDH00AR01221R,DDW00AR01221R,DDI00AR01221R,DD300AR01221R,DD400AR01221R,DD200AR01221R,DDS00AR01221R,DNS00AR01221R,DNC00AR01221R,DNM00AR01221R,DDE00AR01221R,DD000AR01221R,
All Grades ELA/Reading,At Meets Grade Level or Above,2019,SDA00AR01219R,RDA00AR01219R,DDA00AR01219R,DDB00AR01219R,DDH00AR01219R,DDW00AR01219R,DDI00AR01219R,DD300AR01219R,DD400AR01219R,DD200AR01219R,DDS00AR01219R,DNS00AR01219R,DNC00AR01219R,DNM00AR01219R,DDE00AR01219R,DD000AR01219R,
All Grades ELA/Reading,At Masters Grade Level,2021 2019,SDA00AR01321R SDA00AR01319R,RDA00AR01321R RDA00AR01319R,DDA00AR01321R DDA00AR01319R,DDB00AR01321R DDB00AR01319R,DDH00AR01321R DDH00AR01319R,DDW00AR01321R DDW00AR01319R,DDI00AR01321R DDI00AR01319R,DD300AR01321R DD300AR01319R,DD400AR01321R DD400AR01319R,DD200AR01321R DD200AR01319R,DDS00AR01321R DDS00AR01319R,DNS00AR01321R DNS00AR01319R,DNC00AR01321R DNC00AR01319R,DNM00AR01321R DNM00AR01319R,DDE00AR01321R DDE00AR01319R,DD000AR01321R DD000AR01319R,
All Grades Mathematics,All Grades Mathematics,,,,,,,,,,,,,,,,,,
All Grades Mathematics,At Approaches Grade Level or Above,2021,SDA00AM01S21R,RDA00AM01S21R,DDA00AM01S21R,DDB00AM01S21R,DDH00AM01S21R,DDW00AM01S21R,DDI00AM01S21R,DD300AM01S21R,DD400AM01S21R,DD200AM01S21R,DDS00AM01S21R,DNS00AM01S21R,DNC00AM01S21R,DNM00AM01S21R,DDE00AM01S21R,DD000AM01S21R,
All Grades Mathematics,At Approaches Grade Level or Above,2019,SDA00AM01S19R,RDA00AM01S19R,DDA00AM01S19R,DDB00AM01S19R,DDH00AM01S19R,DDW00AM01S19R,DDI00AM01S19R,DD300AM01S19R,DD400AM01S19R,DD200AM01S19R,DDS00AM01S19R,DNS00AM01S19R,DNC00AM01S19R,DNM00AM01S19R,DDE00AM01S19R,DD000AM01S19R,
All Grades Mathematics,At Meets Grade Level or Above,2021,SDA00AM01221R,RDA00AM01221R,DDA00AM01221R,DDB00AM01221R,DDH00AM01221R,DDW00AM01221R,DDI00AM01221R,DD300AM01221R,DD400AM01221R,DD200AM01221R,DDS00AM01221R,DNS00AM01221R,DNC00AM01221R,DNM00AM01221R,DDE00AM01221R,DD000AM01221R,
All Grades Mathematics,At Meets Grade Level or Above,2019,SDA00AM01219R,RDA00AM01219R,DDA00AM01219R,DDB00AM01219R,DDH00AM01219R,DDW00AM01219R,DDI00AM01219R,DD300AM01219R,DD400AM01219R,DD200AM01219R,DDS00AM01219R,DNS00AM01219R,DNC00AM01219R,DNM00AM01219R,DDE00AM01219R,DD000AM01219R,
All Grades Mathematics,At Masters Grade Level,2021,SDA00AM01321R,RDA00AM01321R,DDA00AM01321R,DDB00AM01321R,DDH00AM01321R,DDW00AM01321R,DDI00AM01321R,DD300AM01321R,DD400AM01321R,DD200AM01321R,DDS00AM01321R,DNS00AM01321R,DNC00AM01321R,DNM00AM01321R,DDE00AM01321R,DD000AM01321R,
All Grades Mathematics,At Masters Grade Level,2019,SDA00AM01319R,RDA00AM01319R,DDA00AM01319R,DDB00AM01319R,DDH00AM01319R,DDW00AM01319R,DDI00AM01319R,DD300AM01319R,DD400AM01319R,DD200AM01319R,DDS00AM01319R,DNS00AM01319R,DNC00AM01319R,DNM00AM01319R,DDE00AM01319R,DD000AM01319R,
All Grades Writing,All Grades Writing,,,,,,,,,,,,,,,,,,
All Grades Writing,At Approaches Grade Level or Above,2021,SDA00AW01S21R,RDA00AW01S21R,DDA00AW01S21R,DDB00AW01S21R,DDH00AW01S21R,DDW00AW01S21R,DDI00AW01S21R,DD300AW01S21R,DD400AW01S21R,DD200AW01S21R,DDS00AW01S21R,DNS00AW01S21R,DNC00AW01S21R,DNM00AW01S21R,DDE00AW01S21R,DD000AW01S21R,
All Grades Writing,At Approaches Grade Level or Above,2019,SDA00AW01S19R,RDA00AW01S19R,DDA00AW01S19R,DDB00AW01S19R,DDH00AW01S19R,DDW00AW01S19R,DDI00AW01S19R,DD300AW01S19R,DD400AW01S19R,DD200AW01S19R,DDS00AW01S19R,DNS00AW01S19R,DNC00AW01S19R,DNM00AW01S19R,DDE00AW01S19R,DD000AW01S19R,
All Grades Writing,At Meets Grade Level or Above,2021,SDA00AW01221R,RDA00AW01221R,DDA00AW01221R,DDB00AW01221R,DDH00AW01221R,DDW00AW01221R,DDI00AW01221R,DD300AW01221R,DD400AW01221R,DD200AW01221R,DDS00AW01221R,DNS00AW01221R,DNC00AW01221R,DNM00AW01221R,DDE00AW01221R,DD000AW01221R,
All Grades Writing,At Meets Grade Level or Above,2019,SDA00AW01219R,RDA00AW01219R,DDA00AW01219R,DDB00AW01219R,DDH00AW01219R,DDW00AW01219R,DDI00AW01219R,DD300AW01219R,DD400AW01219R,DD200AW01219R,DDS00AW01219R,DNS00AW01219R,DNC00AW01219R,DNM00AW01219R,DDE00AW01219R,DD000AW01219R,
All Grades Writing,At Masters Grade Level,2021,SDA00AW01321R,RDA00AW01321R,DDA00AW01321R,DDB00AW01321R,DDH00AW01321R,DDW00AW01321R,DDI00AW01321R,DD300AW01321R,DD400AW01321R,DD200AW01321R,DDS00AW01321R,DNS00AW01321R,DNC00AW01321R,DNM00AW01321R,DDE00AW01321R,DD000AW01321R,
All Grades Writing,At Masters Grade Level,2019,SDA00AW01319R,RDA00AW01319R,DDA00AW01319R,DDB00AW01319R,DDH00AW01319R,DDW00AW01319R,DDI00AW01319R,DD300AW01319R,DD400AW01319R,DD200AW01319R,DDS00AW01319R,DNS00AW01319R,DNC00AW01319R,DNM00AW01319R,DDE00AW01319R,DD000AW01319R,
All Grades Science,All Grades Science,,,,,,,,,,,,,,,,,,
All Grades Science,At Approaches Grade Level or Above,2021,SDA00AC01S21R,RDA00AC01S21R,DDA00AC01S21R,DDB00AC01S21R,DDH00AC01S21R,DDW00AC01S21R,DDI00AC01S21R,DD300AC01S21R,DD400AC01S21R,DD200AC01S21R,DDS00AC01S21R,DNS00AC01S21R,DNC00AC01S21R,DNM00AC01S21R,"DDE00AC01S21R
:selected:",DD000AC01S21R,
All Grades Science,At Approaches Grade Level or Above,2019,SDA00AC01S19R,RDA00AC01S19R,DDA00AC01S19R,DDB00AC01S19R,DDH00AC01S19R,DDW00AC01S19R,DDI00AC01S19R,DD300AC01S19R,DD400AC01S19R,DD200AC01S19R,DDS00AC01S19R,DNS00AC01S19R,DNC00AC01S19R,DNM00AC01S19R,DDE00AC01S19R,DD000AC01S19R,
All Grades Science,At Meets Grade Level or Above,2021,SDA00AC01221R,RDA00AC01221R,DDA00AC01221R,DDB00AC01221R,DDH00AC01221R,DDW00AC01221R,DDI00AC01221R,DD300AC01221R,DD400AC01221R,DD200AC01221R,DDS00AC01221R,DNS00AC01221R,DNC00AC01221R,DNM00AC01221R,DDE00AC01221R,DD000AC01221R,
All Grades Science,At Meets Grade Level or Above,2019,SDA00AC01219R,RDA00AC01219R,DDA00AC01219R,DDB00AC01219R,DDH00AC01219R,DDW00AC01219R,DDI00AC01219R,DD300AC01219R,DD400AC01219R,DD200AC01219R,DDS00AC01219R,DNS00AC01219R,DNC00AC01219R,DNM00AC01219R,DDE00AC01219R,DD000AC01219R,
All Grades Science,At Masters Grade Level,2021,SDA00AC01321R,RDA00AC01321R,DDA00AC01321R,DDB00AC01321R,DDH00AC01321R,DDW00AC01321R,DDI00AC01321R,DD300AC01321R,DD400AC01321R,DD200AC01321R,DDS00AC01321R,DNS00AC01321R,DNC00AC01321R,DNM00AC01321R,DDE00AC01321R,DD000AC01321R,
All Grades Science,At Masters Grade Level,2019,SDA00AC01319R,RDA00AC01319R,DDA00AC01319R,DDB00AC01319R,DDH00AC01319R,DDW00AC01319R,DDI00AC01319R,DD300AC01319R,DD400AC01319R,DD200AC01319R,DDS00AC01319R,DNS00AC01319R,DNC00AC01319R,DNM00AC01319R,DDE00AC01319R,DD000AC01319R,
All Grades Social Studies,All Grades Social Studies,,,,,,,,,,,,,,,,,,
All Grades Social Studies,At Approaches Grade Level or Above,2021,SDA00AS01S21R,RDA00AS01S21R,DDA00AS01S21R,DDB00AS01S21R,DDH00AS01S21R,DDW00AS01S21R,DDI00AS01S21R,DD300AS01S21R,DD400AS01S21R,DD200AS01S21R,DDS00AS01S21R,DNS00AS01S21R,DNC00AS01S21R,DNM00AS01S21R,DDE00AS01S21R,DD000AS01S21R,
All Grades Social Studies,At Approaches Grade Level or Above,2019,SDA00AS01S19R,RDA00AS01S19R,DDA00AS01S19R,DDB00AS01S19R,DDH00AS01S19R,DDW00AS01S19R,DDI00AS01S19R,DD300AS01S19R,DD400AS01S19R,DD200AS01S19R,DDS00AS01S19R,DNS00AS01S19R,DNC00AS01S19R,DNM00AS01S19R,DDE00AS01S19R,DD000AS01S19R,
All Grades Social Studies,At Meets Grade Level or Above,2021,SDA00AS01221R,RDA00AS01221R,DDA00AS01221R,DDB00AS01221R,DDH00AS01221R,DDW00AS01221R,DDI00AS01221R,DD300AS01221R,DD400AS01221R,DD200AS01221R,DDS00AS01221R,DNS00AS01221R,DNC00AS01221R,DNM00AS01221R,DDE00AS01221R,DD000AS01221R,
All Grades Social Studies,At Meets Grade Level or Above,2019,SDA00AS01219R,RDA00AS01219R,DDA00AS01219R,DDB00AS01219R,DDH00AS01219R,DDW00AS01219R,DDI00AS01219R,DD300AS01219R,DD400AS01219R,DD200AS01219R,DDS00AS01219R,DNS00AS01219R,DNC00AS01219R,DNM00AS01219R,DDE00AS01219R,DD000AS01219R,
All Grades Social Studies,At Masters Grade Level,2021,SDA00AS01321R,RDA00AS01321R,DDA00AS01321R,DDB00AS01321R,DDH00AS01321R,DDW00AS01321R,DDI00AS01321R,DD300AS01321R,DD400AS01321R,DD200AS01321R,DDS00AS01321R,DNS00AS01321R,DNC00AS01321R,DNM00AS01321R,DDE00AS01321R,DD000AS01321R,
All Grades Social Studies,At Masters Grade Level,2019,SDA00AS01319R,RDA00AS01319R,DDA00AS01319R,DDB00AS01319R,DDH00AS01319R,DDW00AS01319R,DDI00AS01319R,DD300AS01319R,DD400AS01319R,DD200AS01319R,DDS00AS01319R,DNS00AS01319R,DNC00AS01319R,DNM00AS01319R,DDE00AS01319R,DD000AS01319R,
,At Masters Grade Level,,,,,,,,,,,,,,,,,,
,At Masters Grade Level,School Year,,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More,Special Ed (Current),Special Ed (Former),Continu- ously,Non-Continu- ously,Econ Disadv,EB/EL (Current & Monitored),
,At Masters Grade Level,,State,,,,,,,,,Races,,,Enrolled,Enrolled,,,
School Progress Domain - Academic Growth Score by Grade and Subject,School Progress Domain - Academic Growth Score by Grade and Subject,,,,,,,,,,,,,,,,,,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 4 ELA/Reading,2019,SDA04AR0200019R SDA04AR0200018R,RDA04AR0200019R RDA04AR0200018R,DDA04AR0200019R DDA04AR0200018R,DDB04AR0200019R DDB04AR0200018R,DDH04AR0200019R DDH04AR0200018R,DDW04AR0200019R DDW04AR0200018R,DDI04AR0200019R DDI04AR0200018R,DD304AR0200019R DD304AR0200018R,DD404AR0200019R DD404AR0200018R,DD204AR0200019R DD204AR0200018R,DDS04AR0200019R DDS04AR0200018R,DNS04AR0200019R DNS04AR0200018R,DNC04AR0200019R DNC04AR0200018R,DNM04AR0200019R DNM04AR0200018R,DDE04AR0200019R DDE04AR0200018R,DD004AR0200019R DD004AR0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 4 Mathematics,"2018
2019",SDA04AM0200019R,RDA04AM0200019R,DDA04AM0200019R,DDB04AM0200019R,DDH04AM0200019R,DDW04AM0200019R,DDI04AM0200019R,DD304AM0200019R,DD404AM0200019R,DD204AM0200019R,DDS04AM0200019R,DNS04AM0200019R,DNC04AM0200019R,DNM04AM0200019R,DDE04AM0200019R,DD004AM0200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 4 Mathematics,2018,SDA04AM0200018R,RDA04AM0200018R,DDA04AM0200018R,DDB04AM0200018R,DDH04AM0200018R,DDW04AM0200018R,DDI04AM0200018R,DD304AM0200018R,DD404AM0200018R,DD204AM0200018R,DDS04AM0200018R,DNS04AM0200018R,DNC04AM0200018R,DNM04AM0200018R,DDE04AM0200018R,DD004AM0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 5 ELA/Reading,2019,SDA05AR0200019R,RDA05AR0200019R,DDA05AR0200019R,DDB05AR0200019R,DDH05AR0200019R,DDW05AR0200019R,DDI05AR0200019R,DD305AR0200019R,DD405AR0200019R,DD205AR0200019R,DDS05AR0200019R,DNS05AR0200019R,DNC05AR0200019R,DNM05AR0200019R,DDE05AR0200019R,DD005AR0200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 5 ELA/Reading,2018,SDA05AR0200018R,RDA05AR0200018R,DDA05AR0200018R,DDB05AR0200018R,DDH05AR0200018R,DDW05AR0200018R,DDI05AR0200018R,DD305AR0200018R,DD405AR0200018R,DD205AR0200018R,DDS05AR0200018R,DNS05AR0200018R,DNC05AR0200018R,DNM05AR0200018R,DDE05AR0200018R,DD005AR0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 5 Mathematics,2019,SDA05AM0200019R,RDA05AM0200019R,DDA05AM0200019R,DDB05AM0200019R,DDH05AM0200019R,DDW05AM0200019R,DDI05AM0200019R,DD305AM0200019R,DD405AM0200019R,DD205AM0200019R,DDS05AM0200019R,DNS05AM0200019R,DNC05AM0200019R,DNM05AM0200019R,DDE05AM0200019R,DD005AM0200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 5 Mathematics,2018,SDA05AM0200018R,RDA05AM0200018R,DDA05AM0200018R,DDB05AM0200018R,DDH05AM0200018R,DDW05AM0200018R,DDI05AM0200018R,DD305AM0200018R,DD405AM0200018R,DD205AM0200018R,DDS05AM0200018R,DNS05AM0200018R,DNC05AM0200018R,DNM05AM0200018R,DDE05AM0200018R,DD005AM0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 6 ELA/Reading,2019 2018,SDA06AR0200019R,RDA06AR0200019R,DDA06AR0200019R,DDB06AR0200019R,DDH06AR0200019R,DDW06AR0200019R,DDI06AR0200019R,DD306AR0200019R,DD406AR0200019R DD406AR0200018R,DD206AR0200019R DD206AR0200018R,DDS06AR0200019R DDS06AR0200018R,DNS06AR0200019R DNS06AR0200018R,DNC06AR0200019R DNC06AR0200018R,DNM06AR0200019R DNM06AR0200018R,DDE06AR0200019R DDE06AR0200018R,DD006AR0200019R DD006AR0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 6 Mathematics,2019,"SDA06AR0200018R
SDA06AM0200019R","RDA06AR0200018R
RDA06AM0200019R","DDA06AR0200018R
DDA06AM0200019R","DDB06AR0200018R
DDB06AM0200019R","DDH06AR0200018R
DDH06AM0200019R","DDW06AR0200018R
DDW06AM0200019R","DDI06AR0200018R
DDI06AM0200019R","DD306AR0200018R
DD306AM0200019R",DD406AM0200019R,DD206AM0200019R,DDS06AM0200019R,DNS06AM0200019R,DNC06AM0200019R,DNM06AM0200019R,DDE06AM0200019R,DD006AM0200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 6 Mathematics,2018,SDA06AM0200018R,RDA06AM0200018R,DDA06AM0200018R,DDB06AM0200018R,DDH06AM0200018R,DDW06AM0200018R,DDI06AM0200018R,DD306AM0200018R,DD406AM0200018R,DD206AM0200018R,DDS06AM0200018R,DNS06AM0200018R,DNC06AM0200018R,DNM06AM0200018R,DDE06AM0200018R,DD006AM0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 7 ELA/Reading,2019,SDA07AR0200019R,RDA07AR0200019R,DDA07AR0200019R,DDB07AR0200019R,DDH07AR0200019R,DDW07AR0200019R,DDI07AR0200019R,DD307AR0200019R,DD407AR0200019R,DD207AR0200019R,DDS07AR0200019R,DNS07AR0200019R,DNC07AR0200019R,DNM07AR0200019R,DDE07AR0200019R,DD007AR0200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 7 ELA/Reading,2018,SDA07AR0200018R,RDA07AR0200018R,DDA07AR0200018R,DDB07AR0200018R,DDH07AR0200018R,DDW07AR0200018R,DDI07AR0200018R,DD307AR0200018R,DD407AR0200018R,DD207AR0200018R,DDS07AR0200018R,DNS07AR0200018R,DNC07AR0200018R,DNM07AR0200018R,DDE07AR0200018R,DD007AR0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 7 Mathematics,2019,SDA07AM0200019R,RDA07AM0200019R,DDA07AM0200019R,DDB07AM0200019R,DDH07AM0200019R,DDW07AM0200019R,DDI07AM0200019R,DD307AM0200019R,DD407AM0200019R,DD207AM0200019R,DDS07AM0200019R,DNS07AM0200019R,DNC07AM0200019R,DNM07AM0200019R,DDE07AM0200019R,DD007AM0200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 7 Mathematics,2018,SDA07AM0200018R,RDA07AM0200018R,DDA07AM0200018R,DDB07AM0200018R,DDH07AM0200018R,DDW07AM0200018R,DDI07AM0200018R,DD307AM0200018R,DD407AM0200018R,DD207AM0200018R,DDS07AM0200018R,DNS07AM0200018R,DNC07AM0200018R,DNM07AM0200018R,DDE07AM0200018R,DD007AM0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 8 ELA/Reading,"2019
2018","SDA08AR0200019R
SDA08AR0200018R","RDA08AR0200019R
RDA08AR0200018R","DDA08AR0200019R
DDA08AR0200018R","DDB08AR0200019R
DDB08AR0200018R","DDH08AR0200019R
DDH08AR0200018R","DDW08AR0200019R
DDW08AR0200018R","DDI08AR0200019R
DDI08AR0200018R","DD308AR0200019R
DD308AR0200018R","DD408AR0200019R
DD408AR0200018R","DD208AR0200019R
DD208AR0200018R","DDS08AR0200019R
DDS08AR0200018R","DNS08AR0200019R
DNS08AR0200018R","DNC08AR0200019R
DNC08AR0200018R","DNM08AR0200019R
DNM08AR0200018R","DDE08AR0200019R
DDE08AR0200018R","DD008AR0200019R
DD008AR0200018R",
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 8 Mathematics,2019,SDA08AM0200019R,RDA08AM0200019R,DDA08AM0200019R,DDB08AM0200019R,DDH08AM0200019R,DDW08AM0200019R,DDI08AM0200019R,DD308AM0200019R,DD408AM0200019R,DD208AM0200019R,DDS08AM0200019R,DNS08AM0200019R,DNC08AM0200019R,DNM08AM0200019R,DDE08AM0200019R,DD008AM0200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,Grade 8 Mathematics,2018,SDA08AM0200018R,RDA08AM0200018R,DDA08AM0200018R,DDB08AM0200018R,DDH08AM0200018R,DDW08AM0200018R,DDI08AM0200018R,DD308AM0200018R,DD408AM0200018R,DD208AM0200018R,DDS08AM0200018R,DNS08AM0200018R,DNC08AM0200018R,DNM08AM0200018R,DDE08AM0200018R,DD008AM0200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,End of Course English II,2019,SDA00AE2200019R,RDA00AE2200019R,DDA00AE2200019R,DDB00AE2200019R,DDH00AE2200019R,DDW00AE2200019R,DDI00AE2200019R,DD300AE2200019R,DD400AE2200019R,DD200AE2200019R,DDS00AE2200019R,DNS00AE2200019R,DNC00AE2200019R,DNM00AE2200019R,DDE00AE2200019R,DD000AE2200019R,
School Progress Domain - Academic Growth Score by Grade and Subject,End of Course English II,2018,SDA00AE2200018R,RDA00AE2200018R,DDA00AE2200018R,DDB00AE2200018R,DDH00AE2200018R,DDW00AE2200018R,DDI00AE2200018R,DD300AE2200018R,DD400AE2200018R,DD200AE2200018R,DDS00AE2200018R,DNS00AE2200018R,DNC00AE2200018R,DNM00AE2200018R,DDE00AE2200018R,DD000AE2200018R,
School Progress Domain - Academic Growth Score by Grade and Subject,End of Course Algebra I,2019,SDA00AA1200019R,RDA00AA1200019R,DDA00AA1200019R,DDB00AA1200019R,DDH00AA1200019R,DDW00AA1200019R,DDI00AA1200019R,DD300AA1200019R,DD400AA1200019R,DD200AA1200019R,DDS00AA1200019R,DNS00AA1200019R,DNC00AA1200019R,DNM00AA1200019R,DDE00AA1200019R,DD000AA1200019R,
