DISTRICT,ASVAB_STATUS,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION
"'011902"," ","BASTROP","'011","N","N","ELGIN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'011904"," ","BASTROP","'011","N","N","SMITHVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'011905"," ","BASTROP","'011","N","N","MCDADE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'012901"," ","BAYLOR","'012","N","N","SEYMOUR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'013801"," ","BEE","'013","N","Y","ST MARY'S ACADEMY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'013901"," ","BEE","'013","N","N","BEEVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'02"
"'013902"," ","BEE","'013","N","N","PAWNEE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'013903"," ","BEE","'013","N","N","PETTUS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'013905"," ","BEE","'013","N","N","SKIDMORE-TYNAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'014801"," ","BELL","'014","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'014803"," ","BELL","'014","N","Y","PRIORITY CHARTER SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'014804"," ","BELL","'014","N","Y","ORENDA CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'014901"," ","BELL","'014","N","N","ACADEMY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'014902"," ","BELL","'014","N","N","BARTLETT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'014903"," ","BELL","'014","N","N","BELTON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'12"
"'014905"," ","BELL","'014","N","N","HOLLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'014906"," ","BELL","'014","N","N","KILLEEN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'12"
"'014907"," ","BELL","'014","N","N","ROGERS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'014908"," ","BELL","'014","N","N","SALADO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'014909"," ","BELL","'014","N","N","TEMPLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'12"
"'014910"," ","BELL","'014","N","N","TROY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'015801"," ","BEXAR","'015","Y","Y","POR VIDA ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015802"," ","BEXAR","'015","N","Y","GEORGE GERVIN ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015805"," ","BEXAR","'015","N","Y","NEW FRONTIERS PUBLIC SCHOOLS INC","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015806"," ","BEXAR","'015","N","Y","SCHOOL OF EXCELLENCE IN EDUCATION","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015807"," ","BEXAR","'015","N","Y","SOUTHWEST PREPARATORY SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015808","ASVAB Test not Offered","BEXAR","'015","N","Y","INSPIRE ACADEMIES","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015809"," ","BEXAR","'015","N","Y","BEXAR COUNTY ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015814"," ","BEXAR","'015","Y","Y","POSITIVE SOLUTIONS CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015815"," ","BEXAR","'015","N","Y","HERITAGE ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015822"," ","BEXAR","'015","N","Y","JUBILEE ACADEMIES","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'015825"," ","BEXAR","'015","N","Y","LIGHTHOUSE PUBLIC SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015827","ASVAB Test not Offered","BEXAR","'015","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015828"," ","BEXAR","'015","N","Y","HARMONY SCIENCE ACAD (SAN ANTONIO)","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'015830"," ","BEXAR","'015","N","Y","BROOKS ACADEMIES OF TEXAS","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'015831","ASVAB Test not Offered","BEXAR","'015","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY D","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015833"," ","BEXAR","'015","N","Y","HENRY FORD ACADEMY ALAMEDA SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015834"," ","BEXAR","'015","N","Y","BASIS TEXAS","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015835","ASVAB Test not Offered","BEXAR","'015","N","Y","GREAT HEARTS TEXAS","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015836"," ","BEXAR","'015","N","Y","ELEANOR KOLITZ HEBREW LANGUAGE ACA","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015838","ASVAB Test not Offered","BEXAR","'015","N","Y","COMPASS ROSE ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015839"," ","BEXAR","'015","N","Y","PROMESA ACADEMY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015840"," ","BEXAR","'015","N","Y","SAN ANTONIO PREPARATORY CHARTER SC","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015841"," ","BEXAR","'015","N","Y","THE GATHERING PLACE","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015901"," ","BEXAR","'015","N","N","ALAMO HEIGHTS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015904"," ","BEXAR","'015","N","N","HARLANDALE ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'015905"," ","BEXAR","'015","N","N","EDGEWOOD ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'015906"," ","BEXAR","'015","N","N","RANDOLPH FIELD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015907"," ","BEXAR","'015","N","N","SAN ANTONIO ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'015908"," ","BEXAR","'015","N","N","SOUTH SAN ANTONIO ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'015909"," ","BEXAR","'015","N","N","SOMERSET ISD","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'015910"," ","BEXAR","'015","N","N","NORTH EAST ISD","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'015911"," ","BEXAR","'015","N","N","EAST CENTRAL ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'015912"," ","BEXAR","'015","N","N","SOUTHWEST ISD","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'015913"," ","BEXAR","'015","N","N","LACKLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015914"," ","BEXAR","'015","N","N","FT SAM HOUSTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'015915","ASVAB Alternative Test Offered","BEXAR","'015","N","N","NORTHSIDE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'20"
"'015916"," ","BEXAR","'015","N","N","JUDSON ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'015917"," ","BEXAR","'015","N","N","SOUTHSIDE ISD","Not Rated: Declared State of Disaster","Needs Intervention","'20"
"'016901"," ","BLANCO","'016","N","N","JOHNSON CITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'016902"," ","BLANCO","'016","N","N","BLANCO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'017901"," ","BORDEN","'017","N","N","BORDEN COUNTY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'018901"," ","BOSQUE","'018","N","N","CLIFTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'018902"," ","BOSQUE","'018","N","N","MERIDIAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'018903"," ","BOSQUE","'018","N","N","MORGAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'018904"," ","BOSQUE","'018","N","N","VALLEY MILLS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'018905"," ","BOSQUE","'018","N","N","WALNUT SPRINGS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'018906"," ","BOSQUE","'018","N","N","IREDELL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'018907"," ","BOSQUE","'018","N","N","KOPPERL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'018908"," ","BOSQUE","'018","N","N","CRANFILLS GAP ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'019901"," ","BOWIE","'019","N","N","DEKALB ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019902"," ","BOWIE","'019","N","N","HOOKS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019903"," ","BOWIE","'019","N","N","MAUD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019905"," ","BOWIE","'019","N","N","NEW BOSTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019906"," ","BOWIE","'019","N","N","REDWATER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019907"," ","BOWIE","'019","N","N","TEXARKANA ISD","Not Rated: Declared State of Disaster","Needs Substantial Intervention","'08"
"'019908"," ","BOWIE","'019","N","N","LIBERTY-EYLAU ISD","Not Rated: Declared State of Disaster","Needs Intervention","'08"
"'019909"," ","BOWIE","'019","N","N","SIMMS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019910"," ","BOWIE","'019","N","N","MALTA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019911"," ","BOWIE","'019","N","N","RED LICK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019912"," ","BOWIE","'019","N","N","PLEASANT GROVE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019913"," ","BOWIE","'019","N","N","HUBBARD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'019914"," ","BOWIE","'019","N","N","LEARY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'020901"," ","BRAZORIA","'020","N","N","ALVIN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'020902"," ","BRAZORIA","'020","N","N","ANGLETON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'020904"," ","BRAZORIA","'020","N","N","DANBURY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'020905"," ","BRAZORIA","'020","N","N","BRAZOSPORT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'020906"," ","BRAZORIA","'020","N","N","SWEENY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'020907"," ","BRAZORIA","'020","N","N","COLUMBIA-BRAZORIA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'020908"," ","BRAZORIA","'020","N","N","PEARLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'020910"," ","BRAZORIA","'020","N","N","DAMON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'021803"," ","BRAZOS","'021","N","Y","BRAZOS SCHOOL FOR INQUIRY & CREATI","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'021805"," ","BRAZOS","'021","N","Y","ARROW ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'021901"," ","BRAZOS","'021","N","N","COLLEGE STATION ISD","Not Rated: Declared State of Disaster","Needs Assistance","'06"
"'021902"," ","BRAZOS","'021","N","N","BRYAN ISD","Not Rated: Declared State of Disaster","Needs Intervention","'06"
"'022004"," ","BREWSTER","'022","N","N","TERLINGUA CSD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'022901"," ","BREWSTER","'022","N","N","ALPINE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'022902"," ","BREWSTER","'022","N","N","MARATHON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'022903"," ","BREWSTER","'022","N","N","SAN VICENTE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'023902"," ","BRISCOE","'023","N","N","SILVERTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'024901"," ","BROOKS","'024","N","N","BROOKS COUNTY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'025901"," ","BROWN","'025","N","N","BANGS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'025902"," ","BROWN","'025","N","N","BROWNWOOD ISD","Not Rated: Declared State of Disaster","Needs Assistance","'15"
"'025904"," ","BROWN","'025","N","N","BLANKET ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'025905"," ","BROWN","'025","N","N","MAY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'025906"," ","BROWN","'025","N","N","ZEPHYR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'025908"," ","BROWN","'025","N","N","BROOKESMITH ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'025909"," ","BROWN","'025","N","N","EARLY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'026901"," ","BURLESON","'026","N","N","CALDWELL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'026902"," ","BURLESON","'026","N","N","SOMERVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'026903"," ","BURLESON","'026","N","N","SNOOK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'06"
"'027903"," ","BURNET","'027","N","N","BURNET CISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'027904"," ","BURNET","'027","N","N","MARBLE FALLS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'028902"," ","CALDWELL","'028","N","N","LOCKHART ISD","Not Rated: Declared State of Disaster","Needs Intervention","'13"
"'028903"," ","CALDWELL","'028","N","N","LULING ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'028906"," ","CALDWELL","'028","N","N","PRAIRIE LEA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'029901"," ","CALHOUN","'029","N","N","CALHOUN COUNTY ISD","Not Rated: Declared State of Disaster","Needs Assistance","'03"
"'030901"," ","CALLAHAN","'030","N","N","CROSS PLAINS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'030902"," ","CALLAHAN","'030","N","N","CLYDE CISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'030903"," ","CALLAHAN","'030","N","N","BAIRD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'030906"," ","CALLAHAN","'030","N","N","EULA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'031901"," ","CAMERON","'031","N","N","BROWNSVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'031903"," ","CAMERON","'031","N","N","HARLINGEN CISD","Not Rated: Declared State of Disaster","Needs Intervention","'01"
"'031905"," ","CAMERON","'031","N","N","LA FERIA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'031906"," ","CAMERON","'031","N","N","LOS FRESNOS CISD","Not Rated: Declared State of Disaster","Needs Assistance","'01"
"'031909"," ","CAMERON","'031","N","N","POINT ISABEL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'031911"," ","CAMERON","'031","N","N","RIO HONDO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'031912"," ","CAMERON","'031","N","N","SAN BENITO CISD","Not Rated: Declared State of Disaster","Needs Intervention","'01"
"'031913"," ","CAMERON","'031","N","N","SANTA MARIA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'031914"," ","CAMERON","'031","N","N","SANTA ROSA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'031916","ASVAB Test not Offered","CAMERON","'031","N","N","SOUTH TEXAS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'01"
"'032902"," ","CAMP","'032","N","N","PITTSBURG ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'033901"," ","CARSON","'033","N","N","GROOM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'033902"," ","CARSON","'033","N","N","PANHANDLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'033904"," ","CARSON","'033","N","N","WHITE DEER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'034901"," ","CASS","'034","N","N","ATLANTA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'034902"," ","CASS","'034","N","N","AVINGER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'034903"," ","CASS","'034","N","N","HUGHES SPRINGS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'034905"," ","CASS","'034","N","N","LINDEN-KILDARE CISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'034906"," ","CASS","'034","N","N","MCLEOD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'034907"," ","CASS","'034","N","N","QUEEN CITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'034909"," ","CASS","'034","N","N","BLOOMBURG ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'035901"," ","CASTRO","'035","N","N","DIMMITT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'035902"," ","CASTRO","'035","N","N","HART ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'035903"," ","CASTRO","'035","N","N","NAZARETH ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'036901"," ","CHAMBERS","'036","N","N","ANAHUAC ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'036902"," ","CHAMBERS","'036","N","N","BARBERS HILL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'036903"," ","CHAMBERS","'036","N","N","EAST CHAMBERS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'037901"," ","CHEROKEE","'037","N","N","ALTO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'037904"," ","CHEROKEE","'037","N","N","JACKSONVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'07"
"'037907"," ","CHEROKEE","'037","N","N","RUSK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'037908"," ","CHEROKEE","'037","N","N","NEW SUMMERFIELD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'037909"," ","CHEROKEE","'037","N","N","WELLS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'07"
"'038901"," ","CHILDRESS","'038","N","N","CHILDRESS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'039902"," ","CLAY","'039","N","N","HENRIETTA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'039903"," ","CLAY","'039","N","N","PETROLIA CISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'039904"," ","CLAY","'039","N","N","BELLEVUE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'039905"," ","CLAY","'039","N","N","MIDWAY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'040901"," ","COCHRAN","'040","N","N","MORTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'040902"," ","COCHRAN","'040","N","N","WHITEFACE CISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'041901"," ","COKE","'041","N","N","BRONTE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'041902"," ","COKE","'041","N","N","ROBERT LEE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'042901"," ","COLEMAN","'042","N","N","COLEMAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'042903"," ","COLEMAN","'042","N","N","SANTA ANNA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'042905"," ","COLEMAN","'042","N","N","PANTHER CREEK CISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'043801"," ","COLLIN","'043","N","Y","IMAGINE INTERNATIONAL ACADEMY OF N","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043802"," ","COLLIN","'043","N","Y","LONE STAR LANGUAGE ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043901"," ","COLLIN","'043","N","N","ALLEN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043902"," ","COLLIN","'043","N","N","ANNA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'043903"," ","COLLIN","'043","N","N","CELINA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043904"," ","COLLIN","'043","N","N","FARMERSVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043905"," ","COLLIN","'043","N","N","FRISCO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043907"," ","COLLIN","'043","N","N","MCKINNEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043908"," ","COLLIN","'043","N","N","MELISSA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043910"," ","COLLIN","'043","N","N","PLANO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043911"," ","COLLIN","'043","N","N","PRINCETON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043912"," ","COLLIN","'043","N","N","PROSPER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043914"," ","COLLIN","'043","N","N","WYLIE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043917"," ","COLLIN","'043","N","N","BLUE RIDGE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043918"," ","COLLIN","'043","N","N","COMMUNITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'043919"," ","COLLIN","'043","N","N","LOVEJOY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'044902"," ","COLLINGSWORTH","'044","N","N","WELLINGTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'045902"," ","COLORADO","'045","N","N","COLUMBUS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'03"
"'045903"," ","COLORADO","'045","N","N","RICE CISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'045905","ASVAB Alternative Test Offered","COLORADO","'045","N","N","WEIMAR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'046802"," ","COMAL","'046","Y","Y","TRINITY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'046901"," ","COMAL","'046","N","N","NEW BRAUNFELS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'046902"," ","COMAL","'046","N","N","COMAL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'047901"," ","COMANCHE","'047","N","N","COMANCHE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'047902"," ","COMANCHE","'047","N","N","DE LEON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'047903"," ","COMANCHE","'047","N","N","GUSTINE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
