DISTRICT,DD000A00200019R,DD000AA1200019R,DD000AE2200019R,DD000AM0200019R,DD000AR0200019R,DD004AM0200019R,DD004AR0200019R,DD005AM0200019R,DD005AR0200019R,DD006AM0200019R,DD006AR0200019R,DD007AM0200019R,DD007AR0200019R,DD008AM0200019R,DD008AR0200019R,DD200A00200019R,DD200AA1200019R,DD200AE2200019R,DD200AM0200019R,DD200AR0200019R,DD204AM0200019R,DD204AR0200019R,DD205AM0200019R,DD205AR0200019R,DD206AM0200019R,DD206AR0200019R,DD207AM0200019R,DD207AR0200019R,DD208AM0200019R,DD208AR0200019R,DD300A00200019R,DD300AA1200019R,DD300AE2200019R,DD300AM0200019R,DD300AR0200019R,DD304AM0200019R,DD304AR0200019R,DD305AM0200019R,DD305AR0200019R,DD306AM0200019R,DD306AR0200019R,DD307AM0200019R,DD307AR0200019R,DD308AM0200019R,DD308AR0200019R,DD400A00200019R,DD400AA1200019R,DD400AE2200019R,DD400AM0200019R,DD400AR0200019R,DD404AM0200019R,DD404AR0200019R,DD405AM0200019R,DD405AR0200019R,DD406AM0200019R,DD406AR0200019R,DD407AM0200019R,DD407AR0200019R,DD408AM0200019R,DD408AR0200019R,DDA00A00200019R,DDA00AA1200019R,DDA00AE2200019R,DDA00AM0200019R,DDA00AR0200019R,DDA04AM0200019R,DDA04AR0200019R,DDA05AM0200019R,DDA05AR0200019R,DDA06AM0200019R,DDA06AR0200019R,DDA07AM0200019R,DDA07AR0200019R,DDA08AM0200019R,DDA08AR0200019R,DDB00A00200019R,DDB00AA1200019R,DDB00AE2200019R,DDB00AM0200019R,DDB00AR0200019R,DDB04AM0200019R,DDB04AR0200019R,DDB05AM0200019R,DDB05AR0200019R,DDB06AM0200019R,DDB06AR0200019R,DDB07AM0200019R,DDB07AR0200019R,DDB08AM0200019R,DDB08AR0200019R,DDE00A00200019R,DDE00AA1200019R,DDE00AE2200019R,DDE00AM0200019R,DDE00AR0200019R,DDE04AM0200019R,DDE04AR0200019R,DDE05AM0200019R,DDE05AR0200019R,DDE06AM0200019R,DDE06AR0200019R,DDE07AM0200019R,DDE07AR0200019R,DDE08AM0200019R,DDE08AR0200019R,DDF00A00200019R,DDF00AA1200019R,DDF00AE2200019R,DDF00AM0200019R,DDF00AR0200019R,DDF04AM0200019R,DDF04AR0200019R,DDF05AM0200019R,DDF05AR0200019R,DDF06AM0200019R,DDF06AR0200019R,DDF07AM0200019R,DDF07AR0200019R,DDF08AM0200019R,DDF08AR0200019R,DDH00A00200019R,DDH00AA1200019R,DDH00AE2200019R,DDH00AM0200019R,DDH00AR0200019R,DDH04AM0200019R,DDH04AR0200019R,DDH05AM0200019R,DDH05AR0200019R,DDH06AM0200019R,DDH06AR0200019R,DDH07AM0200019R,DDH07AR0200019R,DDH08AM0200019R,DDH08AR0200019R,DDI00A00200019R,DDI00AA1200019R,DDI00AE2200019R,DDI00AM0200019R,DDI00AR0200019R,DDI04AM0200019R,DDI04AR0200019R,DDI05AM0200019R,DDI05AR0200019R,DDI06AM0200019R,DDI06AR0200019R,DDI07AM0200019R,DDI07AR0200019R,DDI08AM0200019R,DDI08AR0200019R,DDM00A00200019R,DDM00AA1200019R,DDM00AE2200019R,DDM00AM0200019R,DDM00AR0200019R,DDM04AM0200019R,DDM04AR0200019R,DDM05AM0200019R,DDM05AR0200019R,DDM06AM0200019R,DDM06AR0200019R,DDM07AM0200019R,DDM07AR0200019R,DDM08AM0200019R,DDM08AR0200019R,DDR00A00200019R,DDR00AA1200019R,DDR00AE2200019R,DDR00AM0200019R,DDR00AR0200019R,DDR04AM0200019R,DDR04AR0200019R,DDR05AM0200019R,DDR05AR0200019R,DDR06AM0200019R,DDR06AR0200019R,DDR07AM0200019R,DDR07AR0200019R,DDR08AM0200019R,DDR08AR0200019R,DDS00A00200019R,DDS00AA1200019R,DDS00AE2200019R,DDS00AM0200019R,DDS00AR0200019R,DDS04AM0200019R,DDS04AR0200019R,DDS05AM0200019R,DDS05AR0200019R,DDS06AM0200019R,DDS06AR0200019R,DDS07AM0200019R,DDS07AR0200019R,DDS08AM0200019R,DDS08AR0200019R,DDW00A00200019R,DDW00AA1200019R,DDW00AE2200019R,DDW00AM0200019R,DDW00AR0200019R,DDW04AM0200019R,DDW04AR0200019R,DDW05AM0200019R,DDW05AR0200019R,DDW06AM0200019R,DDW06AR0200019R,DDW07AM0200019R,DDW07AR0200019R,DDW08AM0200019R,DDW08AR0200019R,DISTNAME,DNC00A00200019R,DNC00AA1200019R,DNC00AE2200019R,DNC00AM0200019R,DNC00AR0200019R,DNC04AM0200019R,DNC04AR0200019R,DNC05AM0200019R,DNC05AR0200019R,DNC06AM0200019R,DNC06AR0200019R,DNC07AM0200019R,DNC07AR0200019R,DNC08AM0200019R,DNC08AR0200019R,DNM00A00200019R,DNM00AA1200019R,DNM00AE2200019R,DNM00AM0200019R,DNM00AR0200019R,DNM04AM0200019R,DNM04AR0200019R,DNM05AM0200019R,DNM05AR0200019R,DNM06AM0200019R,DNM06AR0200019R,DNM07AM0200019R,DNM07AR0200019R,DNM08AM0200019R,DNM08AR0200019R,DNS00A00200019R,DNS00AA1200019R,DNS00AE2200019R,DNS00AM0200019R,DNS00AR0200019R,DNS04AM0200019R,DNS04AR0200019R,DNS05AM0200019R,DNS05AR0200019R,DNS06AM0200019R,DNS06AR0200019R,DNS07AM0200019R,DNS07AR0200019R,DNS08AM0200019R,DNS08AR0200019R
"'015841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE GATHERING PLACE",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015901",70,68,50,71,69,63,38,82,88,72,55,59,79,78,82,46,-1,-1,33,56,-1,-1,-1,-1,-1,-1,.,.,-1,-1,79,86,77,83,76,92,58,92,75,61,64,-1,100,94,94,83,-1,-1,-1,-1,.,.,.,.,-1,-1,.,.,.,.,73,83,71,75,71,65,55,95,87,61,44,50,84,85,83,71,83,60,71,71,58,54,92,80,56,38,-1,94,83,100,64,67,55,66,63,62,42,93,87,41,33,60,86,79,76,75,87,74,76,74,63,61,96,88,60,43,46,85,89,85,70,77,64,71,69,57,57,95,85,56,42,48,81,84,80,48,.,-1,50,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,78,68,73,68,68,50,93,86,62,45,54,82,82,81,69,94,71,75,64,60,43,95,85,53,29,59,83,86,80,57,35,57,53,61,57,47,84,87,43,32,45,75,78,72,75,87,77,78,73,70,54,96,89,65,46,52,85,86,83,"ALAMO HEIGHTS ISD",74,83,73,76,72,66,54,96,86,66,46,54,85,87,86,68,82,65,69,68,63,61,92,91,46,40,40,80,80,74,68,-1,.,70,67,83,60,-1,-1,30,40,-1,-1,-1,-1
"'015904",69,70,68,70,68,58,42,85,87,50,46,61,77,87,75,88,-1,-1,83,90,-1,-1,.,.,.,.,.,.,-1,-1,93,-1,.,90,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,69,68,69,67,63,59,85,80,50,40,60,75,87,77,69,92,-1,64,75,-1,-1,-1,-1,-1,-1,.,.,-1,-1,68,68,67,69,66,62,58,85,79,49,39,60,75,87,76,70,76,66,72,69,62,59,85,80,51,42,64,80,90,79,68,69,67,69,67,63,59,84,80,50,40,60,75,87,77,60,-1,.,-1,-1,.,.,-1,-1,.,.,.,.,-1,-1,66,63,69,67,65,63,58,84,79,49,37,57,72,84,74,67,61,66,67,66,60,56,83,80,46,36,59,73,87,77,59,35,65,59,58,59,51,77,75,47,31,50,61,78,63,67,82,77,76,58,67,50,81,69,61,11,83,88,86,58,"HARLANDALE ISD",69,70,68,70,68,63,59,83,80,51,41,60,77,88,77,67,66,65,69,65,61,57,90,80,46,36,61,71,84,74,69,79,80,69,69,74,48,82,88,40,45,38,89,92,92
"'015905",58,68,64,59,57,45,34,82,81,43,42,51,75,72,69,100,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,.,.,70,-1,-1,73,68,-1,-1,83,67,-1,-1,-1,-1,-1,-1,79,-1,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,-1,-1,58,64,63,56,60,47,45,75,79,40,38,46,69,66,69,62,59,-1,55,69,-1,-1,55,65,56,50,56,94,70,90,58,64,63,56,60,47,45,75,80,40,37,45,69,66,69,60,73,65,59,62,45,46,74,81,37,43,51,70,73,70,58,64,63,56,60,47,45,75,80,39,38,46,68,66,69,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,-1,-1,56,56,61,54,58,49,43,76,78,42,33,41,68,60,69,57,61,62,55,59,46,43,76,81,40,35,42,68,61,69,51,38,63,46,56,53,46,64,71,42,39,40,63,35,60,49,50,-1,39,59,33,42,-1,-1,-1,-1,-1,-1,-1,-1,"EDGEWOOD ISD",59,65,64,57,60,48,45,76,80,40,39,46,68,67,71,56,61,60,54,59,46,44,72,77,38,36,45,71,62,66,53,57,30,50,57,40,53,56,70,55,25,50,82,72,72
"'015906",50,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,74,64,73,74,74,90,80,83,61,50,56,67,86,90,77,87,-1,86,96,82,-1,-1,-1,-1,.,.,-1,-1,-1,-1,73,-1,.,50,100,.,.,.,.,-1,-1,-1,-1,-1,-1,75,61,78,76,74,95,71,87,82,57,49,73,79,91,85,70,48,74,67,72,88,69,84,89,48,43,60,77,96,78,73,14,92,73,73,100,58,81,81,72,56,86,86,-1,70,77,64,79,78,77,93,84,89,83,54,42,80,77,91,89,75,54,67,80,71,100,78,86,76,68,44,80,63,93,89,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.,73,58,78,74,72,97,58,83,80,58,55,63,82,91,81,69,47,73,64,74,83,75,61,81,38,33,62,83,94,79,63,56,64,62,65,71,64,79,82,42,38,50,60,86,88,78,70,87,79,77,96,65,91,84,59,52,83,86,89,87,"RANDOLPH FIELD ISD",73,50,73,71,75,90,81,83,86,59,62,72,73,93,81,76,70,84,78,74,97,67,89,80,56,43,73,83,90,86,78,-1,-1,89,67,.,.,-1,-1,-1,-1,.,-1,-1,-1
"'015907",65,71,66,65,66,59,48,84,85,38,39,59,74,84,79,75,81,78,79,71,71,68,83,82,64,54,90,75,93,64,69,80,67,78,60,78,72,100,82,65,31,65,73,90,36,-1,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,66,71,66,66,65,62,58,83,81,44,37,58,72,83,76,66,68,56,68,65,65,63,83,76,53,42,56,74,84,79,65,69,65,65,64,62,57,83,81,43,37,56,71,83,75,67,77,67,68,67,62,60,85,84,44,40,59,73,86,75,65,71,66,66,65,62,58,83,81,43,37,58,72,83,76,52,-1,-1,44,60,50,90,-1,-1,-1,-1,-1,-1,.,.,64,64,64,64,64,62,57,81,79,44,35,56,71,80,76,64,66,64,65,63,61,54,82,82,41,33,53,70,82,75,60,52,62,61,59,59,51,79,75,45,34,48,66,82,65,68,77,73,68,69,66,64,80,82,50,36,57,80,86,89,"SAN ANTONIO ISD",65,71,65,66,65,61,57,83,81,43,37,58,73,83,76,66,69,67,67,65,65,61,82,82,47,38,57,69,83,76,67,75,67,68,65,60,48,89,85,40,36,59,77,86,77
"'015908",65,79,56,66,63,58,45,83,90,27,28,60,67,92,82,58,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,-1,-1,36,.,-1,-1,-1,.,.,.,.,-1,-1,.,.,-1,-1,65,72,66,66,65,62,55,82,81,34,30,59,72,87,81,63,57,71,63,63,58,67,78,56,44,44,-1,-1,100,92,65,71,65,66,64,62,54,82,81,33,30,58,72,87,80,67,77,67,67,67,57,57,86,84,34,36,60,74,89,80,65,73,66,66,65,62,55,82,81,34,30,59,72,88,81,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,64,68,65,65,62,67,53,79,79,33,24,57,70,86,82,66,67,63,67,65,61,54,82,83,31,26,54,68,88,80,57,43,56,58,56,59,48,78,72,42,31,39,65,87,67,58,42,75,61,54,-1,-1,-1,-1,17,0,79,71,71,50,"SOUTH SAN ANTONIO ISD",67,73,68,67,66,63,56,82,82,34,31,61,72,87,81,62,70,60,63,61,60,51,83,80,32,27,52,71,89,82,67,86,40,71,63,50,50,84,90,50,18,50,80,94,72
"'015909",63,83,68,61,65,82,58,36,70,48,36,62,83,85,75,62,-1,-1,65,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,.,.,64,76,67,62,66,82,67,51,68,42,39,62,77,77,77,59,-1,-1,50,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,76,66,62,66,83,68,52,67,41,40,60,76,77,78,64,81,69,62,67,84,69,48,68,34,42,65,74,82,81,64,77,66,62,66,82,67,51,68,42,40,61,77,78,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,72,65,63,65,80,66,54,67,50,35,59,79,73,75,62,70,65,59,65,80,62,47,67,38,33,57,75,72,80,58,48,64,58,58,76,72,70,50,48,27,53,62,44,67,66,68,73,64,69,79,72,59,69,36,29,66,74,73,81,"SOMERSET ISD",64,79,68,62,65,82,67,48,66,44,38,60,77,79,75,66,69,66,63,68,82,68,60,73,35,42,67,77,74,83,66,-1,-1,74,58,83,57,-1,-1,60,40,100,60,-1,-1
"'015910",69,77,69,69,69,56,52,88,87,45,43,67,80,89,76,72,81,72,73,71,63,65,84,81,62,49,65,80,88,85,82,92,75,85,79,74,74,95,93,72,62,82,86,94,84,72,79,75,77,68,100,50,80,-1,-1,-1,63,75,100,79,70,77,69,71,70,61,60,86,83,51,45,67,78,87,80,66,72,68,66,65,60,53,83,79,50,38,55,76,84,76,66,69,65,66,65,58,54,83,81,44,37,59,74,86,77,72,81,71,72,72,60,61,86,85,52,48,69,80,88,81,68,74,69,68,68,59,58,85,81,46,42,64,77,86,78,73,50,65,73,73,86,79,94,64,57,57,75,96,80,70,69,73,68,70,68,63,59,86,81,51,42,65,76,86,78,65,62,64,64,65,58,53,84,82,40,34,57,73,85,78,60,44,60,60,60,59,51,84,77,39,36,49,65,80,71,74,81,70,76,73,67,65,88,86,60,51,74,81,88,83,"NORTH EAST ISD",71,77,69,72,70,62,61,86,83,52,46,67,78,87,80,69,74,70,69,68,60,59,84,81,50,42,65,77,86,78,69,79,66,71,68,66,66,84,79,52,42,68,81,86,79
"'015911",61,49,65,56,66,64,30,80,89,43,32,52,77,51,70,70,60,-1,70,70,67,46,91,88,71,50,40,80,56,94,81,-1,80,79,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,.,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,59,53,65,56,62,54,45,83,82,40,29,51,71,57,73,53,52,59,49,56,45,40,72,69,39,21,33,68,52,68,57,50,64,53,61,51,42,82,82,40,30,48,68,51,72,61,57,65,58,63,58,45,82,82,39,32,56,74,61,74,59,52,66,55,62,54,43,82,84,38,27,52,71,55,74,41,-1,-1,50,33,-1,-1,-1,-1,-1,-1,.,.,-1,-1,57,50,64,54,61,50,44,83,82,41,26,46,69,53,72,57,46,62,52,62,51,43,83,84,39,26,46,68,47,73,45,25,52,40,50,42,38,71,68,44,34,32,53,29,56,61,61,59,61,62,58,52,88,82,45,34,56,75,70,68,"EAST CENTRAL ISD",61,55,67,58,64,55,46,84,85,43,29,54,74,59,73,55,49,57,52,58,50,42,79,78,35,29,45,66,52,73,65,55,63,65,65,74,43,83,96,53,25,50,74,53,76
"'015912",66,66,58,64,67,71,72,86,80,36,27,58,80,67,82,66,88,75,65,68,75,75,-1,-1,18,27,81,88,88,81,83,100,-1,89,78,-1,-1,100,100,-1,-1,-1,-1,-1,-1,25,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,64,64,66,62,66,67,60,87,81,34,34,57,78,67,78,67,67,74,66,67,79,36,86,80,22,36,69,83,68,79,64,63,65,61,66,66,59,87,80,33,32,56,77,65,79,66,71,67,63,67,66,62,87,84,32,37,60,78,73,76,64,64,65,62,66,66,61,87,81,34,35,56,78,67,79,63,-1,-1,60,64,-1,-1,.,.,-1,-1,.,.,-1,-1,63,58,64,61,66,67,59,88,79,36,32,54,78,61,81,62,57,62,59,65,68,59,88,82,29,27,52,74,59,80,58,41,52,57,59,71,46,91,76,32,33,44,69,47,74,63,62,79,61,66,65,60,89,76,37,27,54,79,58,79,"SOUTHWEST ISD",65,66,67,62,68,67,62,86,82,33,35,57,79,67,80,63,62,64,62,64,66,58,89,80,36,32,57,75,66,74,67,59,39,67,68,64,80,93,78,43,43,62,74,66,76
"'015913",69,.,-1,71,67,-1,-1,.,.,-1,-1,-1,-1,.,.,74,-1,-1,74,73,64,71,85,90,83,33,-1,-1,58,-1,83,-1,-1,100,67,-1,-1,-1,-1,-1,-1,.,.,-1,-1,70,-1,.,80,60,-1,-1,-1,-1,.,.,-1,-1,-1,-1,71,89,66,77,65,75,56,76,87,85,44,56,72,80,72,70,63,80,72,68,91,50,57,93,78,67,56,64,73,71,68,88,-1,73,63,70,43,65,75,82,64,78,58,67,72,73,93,60,80,66,77,55,73,86,84,59,83,72,80,67,64,100,59,72,57,57,54,74,87,73,28,54,61,87,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,81,70,74,64,73,58,79,88,85,32,39,72,79,78,73,-1,-1,75,70,60,58,81,91,93,47,59,82,94,78,65,-1,71,61,68,50,56,57,71,83,50,40,80,100,90,75,96,71,83,68,77,56,84,87,95,53,56,82,81,77,"LACKLAND ISD",75,94,81,79,72,73,59,77,90,85,50,65,77,85,79,70,87,61,76,63,75,56,76,86,85,42,52,70,78,69,53,.,-1,63,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'015914",85,-1,-1,89,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,88,-1,70,71,28,50,88,75,56,67,80,100,-1,-1,71,-1,.,71,71,-1,-1,.,.,-1,-1,-1,-1,-1,-1,85,-1,-1,89,82,-1,-1,.,.,-1,-1,-1,-1,-1,-1,73,84,68,74,72,52,68,90,80,57,52,75,90,95,80,77,71,56,77,77,86,86,81,72,64,68,79,88,100,90,70,80,74,66,73,50,63,80,85,45,48,71,95,95,80,76,86,72,75,76,46,61,88,82,55,60,78,96,93,82,73,88,62,75,71,52,73,90,84,50,46,83,80,96,83,77,-1,.,83,70,-1,-1,.,.,-1,-1,-1,-1,-1,-1,71,82,65,73,69,54,70,92,76,58,43,72,84,98,78,76,76,67,78,73,61,66,90,81,53,28,79,88,100,86,74,73,83,76,71,61,56,92,71,50,35,81,81,100,94,71,83,78,71,72,47,66,95,80,59,42,65,94,90,79,"FT SAM HOUSTON ISD",75,88,62,77,73,58,68,90,81,52,56,83,90,96,85,72,82,72,72,72,50,68,89,79,59,50,72,90,95,77,96,-1,-1,93,100,-1,-1,-1,-1,.,.,.,.,.,.
"'015915",68,77,65,69,68,59,64,90,81,42,38,59,79,82,79,73,87,69,73,72,65,66,90,84,53,47,60,86,81,81,79,90,74,80,77,74,78,96,86,63,55,70,89,85,83,66,81,63,71,63,46,50,92,74,47,34,30,70,89,82,69,81,70,69,69,61,63,88,81,45,42,59,78,80,77,68,78,69,68,67,54,56,88,85,41,40,58,76,82,75,66,75,67,67,66,59,59,88,81,40,36,57,76,80,76,70,84,71,70,70,59,63,90,83,44,46,61,80,83,78,68,79,70,68,68,60,62,88,81,42,40,58,77,80,76,60,88,70,54,66,13,56,75,85,53,38,25,85,73,83,68,78,69,69,67,63,63,87,79,46,38,57,77,78,77,66,71,66,66,66,58,61,88,82,37,33,56,74,82,77,62,58,66,62,63,59,58,85,77,41,33,46,69,80,76,73,85,72,73,72,68,66,90,83,53,49,62,82,81,80,"NORTHSIDE ISD",69,81,70,70,69,62,64,89,81,44,43,59,79,80,78,68,79,69,69,68,59,60,87,82,46,40,58,77,81,77,68,87,72,70,66,62,63,87,78,43,36,69,76,82,77
"'015916",66,73,65,67,63,65,57,84,82,44,31,49,70,88,71,64,66,66,65,63,60,58,84,78,44,31,50,75,83,77,77,81,76,78,76,70,70,94,76,61,45,42,86,94,89,52,70,50,54,50,-1,-1,-1,-1,19,13,-1,-1,79,58,65,70,67,66,64,62,60,83,79,43,30,52,73,84,76,63,66,60,63,62,57,58,86,81,42,26,49,74,82,75,64,68,67,64,64,59,58,83,79,41,30,51,73,83,75,66,74,68,67,66,60,61,84,82,44,33,53,75,86,75,65,71,68,66,64,62,59,82,80,42,29,52,71,85,75,64,-1,83,72,57,-1,-1,80,60,80,20,80,64,75,-1,64,65,66,65,63,64,60,82,76,42,27,52,70,83,77,64,63,65,64,64,61,58,83,81,38,24,48,69,84,77,61,45,60,61,61,64,56,88,80,40,29,46,64,78,76,68,70,69,68,68,68,71,80,74,46,38,60,77,84,78,"JUDSON ISD",65,72,66,67,64,62,61,83,78,43,29,53,72,86,76,64,65,67,64,65,61,60,83,80,43,32,51,74,81,77,61,60,50,60,63,55,56,75,86,39,25,50,84,80,77
"'015917",66,85,58,64,67,65,53,54,81,44,53,65,75,88,73,54,-1,-1,42,65,20,60,.,.,-1,-1,-1,-1,-1,-1,67,-1,-1,67,67,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,78,66,62,62,54,47,62,72,48,35,53,69,84,77,53,-1,-1,55,50,-1,-1,56,56,-1,-1,-1,-1,-1,-1,60,79,63,60,60,54,46,60,72,48,35,52,67,83,76,63,84,66,64,62,53,50,63,74,50,35,57,71,87,74,62,80,65,62,62,55,48,61,72,47,35,53,69,85,77,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,61,72,66,60,61,55,45,62,70,47,35,50,67,81,80,62,73,64,61,62,55,45,61,73,48,31,50,68,83,77,53,54,60,51,54,35,33,70,63,60,31,24,64,68,76,64,68,71,68,60,55,43,83,73,60,40,46,46,81,74,"SOUTHSIDE ISD",61,80,66,62,61,55,47,61,69,49,31,53,69,84,78,62,75,66,61,63,54,49,64,77,48,42,53,69,83,75,63,75,-1,61,65,63,36,71,75,38,36,42,67,86,93
"'016901",71,63,-1,70,73,67,50,-1,-1,-1,-1,-1,100,100,-1,59,-1,.,61,56,-1,-1,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,74,73,74,77,71,48,55,96,76,72,41,79,94,94,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,61,77,74,71,59,57,93,77,58,29,72,96,100,75,76,74,87,80,71,44,47,95,77,78,41,83,89,100,93,68,53,55,70,67,61,57,88,69,47,30,83,100,94,88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,73,72,66,74,72,50,60,96,74,65,40,76,98,89,82,69,38,58,65,72,20,60,95,81,-1,-1,67,100,95,94,62,40,-1,59,65,60,60,81,75,50,30,43,86,-1,-1,77,79,79,81,74,43,52,99,78,84,45,83,93,94,88,"JOHNSON CITY ISD",75,76,74,78,72,51,57,97,77,72,41,78,92,94,85,69,60,71,71,68,33,44,90,70,75,38,83,100,100,-1,-1,-1,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.
"'016902",76,79,-1,74,77,43,93,91,82,77,50,75,88,-1,-1,72,-1,-1,-1,80,.,.,-1,-1,-1,-1,.,.,.,.,-1,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,59,71,71,73,49,78,87,74,85,51,74,89,60,80,50,-1,.,50,-1,.,.,-1,-1,-1,-1,-1,-1,.,.,73,63,72,75,72,48,84,86,79,81,44,81,86,73,75,73,65,72,72,73,42,73,81,74,88,52,84,95,58,77,74,65,75,76,73,63,84,88,74,83,51,78,79,67,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,53,70,71,74,56,82,93,74,82,49,66,84,63,85,73,60,67,71,74,52,89,91,75,78,53,72,84,64,82,73,22,75,68,78,67,100,100,85,63,56,56,81,100,60,71,57,69,68,74,39,74,85,75,88,50,73,95,54,82,"BLANCO ISD",72,63,70,72,72,50,80,90,73,88,49,70,88,57,79,74,33,74,71,76,47,72,80,78,76,55,85,93,71,85,77,.,-1,65,87,-1,-1,-1,-1,.,.,-1,-1,-1,-1
"'017901",-1,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,80,.,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71,89,89,69,74,82,71,80,80,13,50,83,85,63,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,-1,100,52,70,83,58,-1,-1,-1,-1,-1,-1,-1,-1,77,100,94,75,80,80,80,100,79,20,70,81,81,79,79,62,-1,-1,60,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,70,86,62,68,83,67,63,81,0,17,86,93,50,44,74,70,-1,74,73,-1,-1,83,75,17,67,100,92,-1,-1,65,-1,-1,67,63,-1,-1,-1,-1,-1,-1,.,.,-1,-1,73,95,89,69,76,82,71,86,86,8,46,84,84,58,71,"BORDEN COUNTY ISD",72,91,89,70,73,82,71,77,77,14,43,84,88,73,64,70,-1,-1,64,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,.,100,-1,.,.,.,.,-1,-1,-1,-1,.,.
"'018901",68,-1,67,63,72,27,59,92,92,-1,-1,75,100,-1,-1,65,-1,.,69,60,-1,-1,.,.,20,40,-1,-1,92,83,77,-1,-1,75,79,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,75,73,61,65,30,54,75,85,40,39,79,77,86,72,54,-1,-1,58,50,.,.,-1,-1,-1,-1,.,.,-1,-1,58,69,69,55,61,28,54,70,80,23,28,75,72,84,73,67,78,74,64,71,33,44,76,94,44,55,84,90,87,75,61,74,56,61,61,24,58,77,79,33,29,83,75,86,71,-1,.,-1,-1,-1,.,.,.,.,-1,-1,.,.,.,.,59,72,72,58,60,26,66,74,76,37,27,74,68,85,69,64,56,61,62,66,17,50,82,84,33,43,83,77,87,67,58,60,50,58,58,60,90,89,100,23,33,91,77,64,29,64,73,80,60,68,34,54,74,96,44,43,73,79,87,72,"CLIFTON ISD",63,75,75,62,65,29,50,75,85,38,42,81,74,87,73,62,79,67,59,66,33,70,75,87,44,34,70,90,82,68,62,-1,.,50,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
