DISTRICT,DD007AMA1221R,DD007AMA1321R,DD007AMA1S21R,DD007ARE1221R,DD007ARE1321R,DD007ARE1S21R,DD007AWR1221R,DD007AWR1321R,DD007AWR1S21R,DD207AMA1221R,DD207AMA1321R,DD207AMA1S21R,DD207ARE1221R,DD207ARE1321R,DD207ARE1S21R,DD207AWR1221R,DD207AWR1321R,DD207AWR1S21R,DD307AMA1221R,DD307AMA1321R,DD307AMA1S21R,DD307ARE1221R,DD307ARE1321R,DD307ARE1S21R,DD307AWR1221R,DD307AWR1321R,DD307AWR1S21R,DD407AMA1221R,DD407AMA1321R,DD407AMA1S21R,DD407ARE1221R,DD407ARE1321R,DD407ARE1S21R,DD407AWR1221R,DD407AWR1321R,DD407AWR1S21R,DDA07AMA1221R,DDA07AMA1321R,DDA07AMA1S21R,DDA07ARE1221R,DDA07ARE1321R,DDA07ARE1S21R,DDA07AWR1221R,DDA07AWR1321R,DDA07AWR1S21R,DDB07AMA1221R,DDB07AMA1321R,DDB07AMA1S21R,DDB07ARE1221R,DDB07ARE1321R,DDB07ARE1S21R,DDB07AWR1221R,DDB07AWR1321R,DDB07AWR1S21R,DDE07AMA1221R,DDE07AMA1321R,DDE07AMA1S21R,DDE07ARE1221R,DDE07ARE1321R,DDE07ARE1S21R,DDE07AWR1221R,DDE07AWR1321R,DDE07AWR1S21R,DDF07AMA1221R,DDF07AMA1321R,DDF07AMA1S21R,DDF07ARE1221R,DDF07ARE1321R,DDF07ARE1S21R,DDF07AWR1221R,DDF07AWR1321R,DDF07AWR1S21R,DDH07AMA1221R,DDH07AMA1321R,DDH07AMA1S21R,DDH07ARE1221R,DDH07ARE1321R,DDH07ARE1S21R,DDH07AWR1221R,DDH07AWR1321R,DDH07AWR1S21R,DDI07AMA1221R,DDI07AMA1321R,DDI07AMA1S21R,DDI07ARE1221R,DDI07ARE1321R,DDI07ARE1S21R,DDI07AWR1221R,DDI07AWR1321R,DDI07AWR1S21R,DDL07AMA1221R,DDL07AMA1321R,DDL07AMA1S21R,DDL07ARE1221R,DDL07ARE1321R,DDL07ARE1S21R,DDL07AWR1221R,DDL07AWR1321R,DDL07AWR1S21R,DDM07AMA1221R,DDM07AMA1321R,DDM07AMA1S21R,DDM07ARE1221R,DDM07ARE1321R,DDM07ARE1S21R,DDM07AWR1221R,DDM07AWR1321R,DDM07AWR1S21R,DDR07AMA1221R,DDR07AMA1321R,DDR07AMA1S21R,DDR07ARE1221R,DDR07ARE1321R,DDR07ARE1S21R,DDR07AWR1221R,DDR07AWR1321R,DDR07AWR1S21R,DDS07AMA1221R,DDS07AMA1321R,DDS07AMA1S21R,DDS07ARE1221R,DDS07ARE1321R,DDS07ARE1S21R,DDS07AWR1221R,DDS07AWR1321R,DDS07AWR1S21R,DDW07AMA1221R,DDW07AMA1321R,DDW07AMA1S21R,DDW07ARE1221R,DDW07ARE1321R,DDW07ARE1S21R,DDW07AWR1221R,DDW07AWR1321R,DDW07AWR1S21R,DISTNAME,DNC07AMA1221R,DNC07AMA1321R,DNC07AMA1S21R,DNC07ARE1221R,DNC07ARE1321R,DNC07ARE1S21R,DNC07AWR1221R,DNC07AWR1321R,DNC07AWR1S21R,DNM07AMA1221R,DNM07AMA1321R,DNM07AMA1S21R,DNM07ARE1221R,DNM07ARE1321R,DNM07ARE1S21R,DNM07AWR1221R,DNM07AWR1321R,DNM07AWR1S21R,DNS07AMA1221R,DNS07AMA1321R,DNS07AMA1S21R,DNS07ARE1221R,DNS07ARE1321R,DNS07ARE1S21R,DNS07AWR1221R,DNS07AWR1321R,DNS07AWR1S21R
"'003903",27,13,48,33,17,59,21,5,55,50,19,75,69,44,75,50,13,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,32,13,55,41,23,64,30,7,59,23,5,44,33,17,55,24,6,48,27,10,51,37,20,60,26,6,55,38,17,61,48,29,74,38,10,71,31,14,56,39,22,64,24,5,60,.,.,.,.,.,.,.,.,.,10,2,30,12,6,42,5,1,36,27,9,49,35,18,55,21,4,47,12,2,38,21,9,48,10,1,43,26,8,35,27,12,38,22,9,33,47,20,66,53,33,76,47,13,71,"LUFKIN ISD",35,14,57,43,25,66,33,8,61,22,7,45,33,14,57,17,3,53,43,29,57,57,43,57,43,29,57
"'003904",-1,-1,-1,-1,-1,-1,-1,-1,-1,25,25,88,38,0,88,13,0,50,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,25,76,40,24,72,33,7,68,67,17,83,83,50,83,33,0,100,38,18,70,37,20,63,27,5,65,54,25,70,54,39,75,47,12,79,38,25,63,50,25,63,38,13,63,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,25,81,29,13,69,21,3,60,21,7,62,20,8,55,8,0,51,25,10,55,15,5,45,5,5,30,50,25,76,38,25,72,34,8,69,"HUNTINGTON ISD",50,26,79,46,26,74,33,7,72,43,22,68,27,19,68,32,8,59,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003905",45,8,76,26,8,58,14,0,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,39,16,71,29,13,59,22,6,52,15,15,31,15,0,23,8,8,23,39,16,71,29,13,59,22,6,52,38,11,71,25,11,61,25,5,60,39,12,70,25,9,55,17,3,49,.,.,.,.,.,.,.,.,.,38,6,74,21,6,53,9,0,39,39,19,71,32,14,57,20,6,47,25,8,60,15,5,44,9,2,37,21,5,47,16,5,21,16,11,16,46,22,83,41,22,73,34,12,66,"DIBOLL ISD",40,12,73,26,13,60,21,6,52,34,28,66,38,10,52,28,7,52,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,16,37,42,21,74,30,15,70,.,.,.,.,.,.,.,.,.,14,7,36,36,7,64,27,13,67,33,22,44,67,33,78,50,20,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,10,30,20,10,70,10,10,60,7,7,20,33,13,67,13,7,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,18,41,41,24,76,28,17,72,"ZAVALLA ISD",21,21,43,43,29,71,29,14,64,20,0,20,40,0,80,33,17,83,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'003907",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,24,80,59,31,80,35,2,75,50,17,50,33,0,67,33,0,67,42,17,73,46,19,73,23,0,68,46,19,77,62,31,81,36,2,77,39,22,74,48,30,78,42,0,67,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,60,30,84,56,30,79,35,2,72,21,8,50,21,0,54,0,0,33,27,0,45,27,0,55,9,0,27,57,25,84,65,33,83,32,3,78,"CENTRAL ISD",51,26,80,57,32,81,35,1,74,57,19,81,67,24,76,36,5,77,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'004901",11,6,33,28,6,61,6,0,39,0,0,29,57,29,71,17,0,50,57,43,71,57,29,86,43,14,43,.,.,.,.,.,.,.,.,.,20,8,44,36,22,59,24,7,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,6,37,26,15,52,17,4,42,19,6,40,37,21,60,30,7,57,9,3,36,26,10,52,13,4,46,.,.,.,.,.,.,.,.,.,8,8,33,17,8,42,0,0,17,21,10,48,35,23,58,19,7,45,3,2,24,15,9,39,5,0,26,9,3,18,21,9,24,6,0,18,28,10,50,41,32,62,35,9,56,"ARANSAS COUNTY ISD",22,10,45,37,23,62,28,7,55,16,4,42,33,19,53,19,6,44,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'005901",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,65,32,88,62,53,85,65,26,88,.,.,.,.,.,.,.,.,.,59,18,88,53,47,76,65,24,82,63,31,81,69,56,81,63,44,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,33,94,56,50,89,67,11,89,44,19,81,38,38,69,50,25,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,34,86,62,52,86,62,28,86,"ARCHER CITY ISD",56,28,84,56,48,84,60,28,84,89,44,100,78,67,89,78,22,100,.,.,.,.,.,.,.,.,.
"'005902",.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,23,77,64,35,78,47,11,83,.,.,.,.,.,.,.,.,.,13,4,52,48,30,65,35,9,74,31,19,66,50,31,72,53,13,78,57,0,86,43,14,86,57,14,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,25,84,71,38,82,43,11,86,10,0,40,30,10,47,10,0,50,0,0,15,0,0,15,0,0,15,44,25,76,65,38,78,45,11,84,"HOLLIDAY ISD",45,26,76,62,38,79,42,12,82,41,14,82,68,27,77,59,9,86,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'005904",33,0,33,33,33,50,0,0,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,25,72,50,31,72,34,13,59,.,.,.,.,.,.,.,.,.,46,0,46,31,23,46,8,0,31,59,29,76,53,24,71,35,18,65,23,0,38,23,15,38,0,0,23,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,20,67,47,40,73,33,7,53,18,9,36,18,0,36,9,0,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,42,95,68,42,95,58,21,84,"WINDTHORST ISD",60,28,80,56,36,80,36,12,64,43,14,43,29,14,43,29,14,43,.,.,.,.,.,.,.,.,.
"'006902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,10,81,38,19,81,48,14,67,.,.,.,.,.,.,.,.,.,33,0,83,17,0,67,17,17,33,58,17,83,50,33,92,67,17,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,22,0,78,22,0,67,22,11,44,0,0,20,0,0,40,0,0,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,11,78,39,22,83,56,17,72,"CLAUDE ISD",40,13,80,40,20,87,47,13,60,50,0,83,33,17,67,50,17,83,.,.,.,.,.,.,.,.,.
"'007901",40,20,60,60,0,60,20,20,60,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,6,41,34,16,56,13,3,53,.,.,.,.,.,.,.,.,.,14,5,29,29,10,43,5,5,38,14,0,50,21,14,64,14,0,64,17,3,37,30,13,53,13,3,50,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,11,33,44,17,50,11,6,44,15,4,30,26,15,48,7,4,48,25,13,25,25,13,25,13,13,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,"CHARLOTTE ISD",22,4,41,33,15,56,15,4,48,20,20,40,40,20,60,0,0,80,.,.,.,.,.,.,.,.,.
"'007902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,20,70,47,34,84,34,7,65,.,.,.,.,.,.,.,.,.,26,13,61,35,19,78,19,6,54,34,16,59,48,34,83,35,11,64,31,11,61,38,25,83,23,5,56,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,24,81,46,33,85,34,4,66,13,0,51,25,15,72,10,0,44,18,0,36,9,9,27,0,0,10,55,32,81,60,45,85,50,11,76,"JOURDANTON ISD",41,20,69,48,35,88,39,8,69,41,19,70,44,30,70,20,4,52,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007904",10,0,50,33,17,50,33,8,58,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,1,47,34,18,68,28,7,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,0,44,24,15,63,22,4,49,15,0,51,46,26,81,41,13,69,11,1,45,28,16,66,28,8,52,.,.,.,.,.,.,.,.,.,0,0,44,27,9,45,27,9,55,13,2,44,22,11,55,16,2,44,10,2,38,10,3,48,14,3,32,11,0,33,11,0,11,11,0,11,36,0,73,65,29,82,35,6,82,"LYTLE ISD",14,1,49,33,19,69,28,7,59,12,0,41,37,16,63,32,11,42,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007905",17,0,58,25,8,67,0,0,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,23,10,56,38,18,64,19,7,44,.,.,.,.,.,.,.,.,.,17,5,50,29,9,59,12,3,33,23,15,56,49,23,71,29,12,50,19,7,52,34,13,60,15,6,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,0,58,25,8,67,0,0,18,23,6,57,29,14,58,10,3,38,9,3,42,18,4,51,5,1,22,10,7,28,17,7,24,7,4,14,29,14,63,42,26,69,23,6,52,"PLEASANTON ISD",24,11,57,38,20,65,20,8,44,18,8,53,37,12,61,17,6,40,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'007906",0,0,40,43,43,57,29,14,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,4,34,44,25,72,34,9,64,.,.,.,.,.,.,.,.,.,10,5,29,34,18,63,24,5,56,14,7,43,51,34,78,44,14,81,11,4,34,45,25,73,33,10,64,.,.,.,.,.,.,.,.,.,0,0,40,33,33,50,17,0,33,4,0,24,35,15,65,22,4,43,8,3,26,18,8,50,12,2,37,25,13,25,25,6,31,25,6,31,0,0,40,36,27,73,45,0,73,"POTEET ISD",8,3,44,48,28,79,36,11,68,12,6,12,33,19,52,30,4,52,.,.,.,-1,-1,-1,-1,-1,-1
"'008901",13,7,47,27,13,67,13,0,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,26,64,47,27,76,44,16,74,12,6,24,12,6,35,12,0,41,25,13,46,31,13,60,27,6,61,47,32,67,53,32,86,55,19,82,27,16,51,40,18,73,27,4,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,20,0,0,50,0,0,50,37,21,61,42,24,67,34,13,67,13,5,41,20,8,57,16,3,55,11,6,22,17,11,33,11,0,28,53,35,76,57,35,84,57,24,86,"BELLVILLE ISD",42,28,65,51,30,79,46,18,74,35,15,55,20,10,55,30,5,75,20,0,40,20,20,60,40,0,80
"'008902",0,0,18,5,0,23,0,0,13,-1,-1,-1,71,43,71,29,0,57,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,10,1,43,45,23,71,27,6,61,0,0,35,43,14,62,19,0,48,10,2,41,37,14,63,16,1,51,11,0,44,46,21,75,29,7,67,10,1,43,39,17,68,21,5,58,.,.,.,.,.,.,.,.,.,0,0,18,5,0,23,0,0,13,9,3,42,44,24,66,25,5,55,5,0,33,21,4,51,2,0,37,8,0,25,16,4,28,4,0,15,10,3,44,53,31,77,38,10,70,"SEALY ISD",10,1,41,46,23,72,29,6,64,11,4,50,42,21,66,18,8,49,-1,-1,-1,-1,-1,-1,-1,-1,-1
"'008903",23,5,64,32,5,77,9,9,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,18,75,46,26,78,34,13,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,27,10,66,37,17,73,27,7,68,42,15,76,55,30,88,36,12,82,35,12,71,45,22,78,29,10,71,.,.,.,.,.,.,.,.,.,20,10,50,10,0,60,10,10,20,43,20,74,37,23,69,31,14,66,19,6,56,31,6,63,6,6,31,25,8,50,17,8,42,8,8,25,75,38,88,50,44,81,50,25,81,"BRAZOS ISD",47,20,84,55,31,84,41,18,78,32,11,53,21,16,63,16,0,63,-1,-1,-1,-1,-1,-1,-1,-1,-1
