DISTRICT,D2HEE20R,D2HEE21R,D3HEE20R,D3HEE21R,D4HEE20R,D4HEE21R,DAHEE20R,DAHEE21R,DBHEE20R,DBHEE21R,DEHEE20R,DEHEE21R,DHHEE20R,DHHEE21R,DIHEE20R,DIHEE21R,DISTNAME,DLHEE20R,DLHEE21R,DSHEE20R,DSHEE21R,DWHEE20R,DWHEE21R
"'014902",-1,.,.,.,.,.,30.4,23.8,-1,-1,28.6,17.6,23.5,33.3,.,.,"BARTLETT ISD",.,-1,-1,-1,-1,12.5
"'014903",54.8,58.6,80,61.9,-1,-1,52.1,46.3,42.6,45.3,31.7,32.4,38.2,33,0,-1,"BELTON ISD",11.6,16.7,23.7,14.9,61.8,53.2
"'014905",.,.,.,.,.,.,61.1,52.8,.,-1,47.4,50,63.6,47.1,.,.,"HOLLAND ISD",.,-1,-1,-1,60.5,60.6
"'014906",47.5,43,74.1,54.3,32.3,33.9,45,38.7,45.4,38,35,29.7,44.6,36.8,52.9,28.6,"KILLEEN ISD",28.7,16.5,21.3,14.3,40.6,39.3
"'014907",.,.,.,-1,.,.,54.7,61.9,-1,-1,45.5,51.7,31.3,57.1,.,-1,"ROGERS ISD",-1,.,60,57.1,63.9,62.2
"'014908",-1,66.7,-1,.,.,.,63.5,63.3,-1,-1,56.5,30.4,43.5,35.7,.,.,"SALADO ISD",-1,0,16.7,14.3,67.4,69.6
"'014909",31.8,33.3,66.7,76.9,.,-1,35.7,34.7,38,33.3,28.9,29.3,30.4,33.6,-1,-1,"TEMPLE ISD",0,20,13,11.5,40.9,34.7
"'014910",.,-1,-1,.,.,.,60.2,58,.,-1,52.1,46.5,59.3,56,-1,.,"TROY ISD",-1,-1,23.5,10,61.4,60.2
"'015801",.,-1,.,.,.,.,13,5.7,-1,-1,11.2,4.5,13.9,5,.,.,"POR VIDA ACADEMY",-1,20,20,5.3,-1,-1
"'015802",.,-1,.,.,.,.,6.5,24,12.5,8.3,6.5,24,0,36.4,.,.,"GEORGE GERVIN ACADEMY",.,-1,16.7,33.3,-1,-1
"'015805",.,.,.,.,.,.,74.4,63.5,.,.,76,57.4,78.4,62.9,.,.,"NEW FRONTIERS PUBLIC SCHOOLS INC",-1,42.9,.,.,-1,-1
"'015806",-1,-1,.,.,.,-1,31,36.8,10,-1,30.4,35.7,41.2,46.2,.,.,"LEGACY TRADITIONAL SCHOOLS - TEXAS",.,.,-1,-1,.,-1
"'015807",.,.,-1,.,.,.,36.1,25.5,0,18.2,39.1,17.5,38,25,-1,.,"SOUTHWEST PREPARATORY SCHOOL",0,-1,10,50,-1,-1
"'015808",.,-1,.,.,.,.,38.7,32,-1,-1,11.1,30,52.6,35.7,-1,.,"INSPIRE ACADEMIES",.,.,-1,0,11.1,33.3
"'015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEXAR COUNTY ACADEMY",.,.,.,.,.,.
"'015814",.,.,.,.,.,.,27.6,10.3,-1,-1,20.8,11.5,25.9,11.5,.,.,"POSITIVE SOLUTIONS CHARTER SCHOOL",.,-1,.,-1,-1,-1
"'015815",.,.,.,.,.,.,75,59.3,.,.,81.3,61.5,78.9,61.5,.,.,"HERITAGE ACADEMY",100,50,.,.,-1,-1
"'015822",-1,-1,-1,-1,.,.,67,42.4,75,40,62,43.3,68.1,43.1,.,.,"JUBILEE ACADEMIES",69.2,39.1,44.4,11.8,40,50
"'015825",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LIGHTHOUSE PUBLIC SCHOOLS",.,.,.,.,.,.
"'015827",-1,-1,-1,-1,.,.,66.7,56.5,62.5,40,71.1,56.8,65,59,.,.,"SCHOOL OF SCIENCE AND TECHNOLOGY",60,40,-1,50,66.7,54.5
"'015828",-1,-1,-1,-1,.,-1,78.1,66.2,70,66.7,78.6,65.8,78.9,69.1,.,.,"HARMONY PUBLIC SCHOOLS - SOUTH TEXAS",72,60,64.3,36.4,77.8,41.7
"'015830",-1,-1,-1,-1,.,.,56.1,57.3,-1,-1,58.4,50.6,58.6,60.2,.,.,"BROOKS ACADEMIES OF TEXAS",50,60,42.9,60,33.3,41.7
"'015831",.,-1,.,.,.,.,.,26.3,.,-1,.,27.3,.,21.4,.,.,"SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY",.,-1,.,14.3,.,-1
"'015833",.,.,.,.,-1,-1,37.1,32.4,.,-1,33.3,35.3,39.3,36.7,.,-1,"HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN",.,.,-1,-1,33.3,-1
"'015834",-1,50,62.5,80,.,.,71.8,59,.,-1,-1,33.3,70.4,48.1,.,-1,"BASIS TEXAS",.,.,.,.,82.4,57.7
"'015835",.,.,-1,-1,.,.,63.9,72.7,.,-1,66.7,63.6,73.7,73.7,.,.,"GREAT HEARTS TEXAS",.,-1,-1,-1,50,69.6
"'015836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY",.,.,.,.,.,.
"'015838",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COMPASS ROSE PUBLIC SCHOOLS",.,.,.,.,.,.
"'015839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PROMESA ACADEMY CHARTER SCHOOL",.,.,.,.,.,.
"'015840",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SAN ANTONIO PREPARATORY SCHOOLS",.,.,.,.,.,.
"'015841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE GATHERING PLACE",.,.,.,.,.,.
"'015842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROYAL PUBLIC SCHOOLS",.,.,.,.,.,.
"'015843",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRELUDE PREPARATORY CHARTER SCHOOL",.,.,.,.,.,.
"'015901",-1,100,76.5,25,.,.,63.7,55.9,60,62.5,63.3,51.6,60.5,51,.,-1,"ALAMO HEIGHTS ISD",-1,10,44,40.7,65.5,59.2
"'015904",.,-1,-1,.,.,.,52.2,48.6,40,-1,49,45.4,52,48.7,.,.,"HARLANDALE ISD",24.2,25.3,24.4,27.7,60.9,50
"'015905",-1,-1,-1,-1,.,.,45.6,42.1,30,33.3,44.5,41.1,45.8,42.5,.,.,"EDGEWOOD ISD",44.3,14.5,15.2,18.8,.,-1
"'015906",54.5,46.2,-1,100,.,-1,72.1,66.9,82.6,78.6,-1,66.7,85.2,57.1,.,.,"RANDOLPH FIELD ISD",.,.,50,20,61.5,65.9
"'015907",50,60,80,50,-1,.,48.6,42.7,50.9,38.4,46.5,40.8,48.5,43,-1,-1,"SAN ANTONIO ISD",35.4,25.5,25.3,22.8,41.1,37.2
"'015908",.,.,-1,.,-1,.,47.6,40.8,50,42.9,47.2,37.7,47.8,41.3,.,-1,"SOUTH SAN ANTONIO ISD",27.7,21.7,20,4.3,36.4,23.1
"'015909",-1,-1,.,.,.,-1,45.3,43.8,-1,-1,44.8,41,47.4,44.1,-1,-1,"SOMERSET ISD",45.5,0,10,20,32.3,44.4
"'015910",55.2,56.2,73.9,69.8,66.7,25,55.9,52.5,45.1,44,45.7,41.2,54.2,49.4,33.3,41.7,"NORTH EAST ISD",29.8,21.2,28.4,27.1,59.4,58.3
"'015911",71.4,42.9,-1,71.4,.,-1,48.3,54.4,49.3,61.5,40.3,49.7,46,54.6,-1,.,"EAST CENTRAL ISD",28.6,21.1,19.5,22.9,57,48.8
"'015912",62.5,-1,-1,.,.,-1,44.4,48.1,40,40.9,43.2,45.2,44.2,48.4,-1,.,"SOUTHWEST ISD",32.8,30.1,15.9,21.1,41.7,48.8
"'015913",40,40,-1,-1,-1,.,36.4,25,20,20,42.9,20,-1,30,.,.,"LACKLAND ISD",.,.,33.3,-1,35.3,17.6
"'015914",42.9,81.8,.,.,-1,.,62.4,63,63,56.3,37.5,50,74.2,65.1,-1,-1,"FT SAM HOUSTON ISD",-1,.,66.7,14.3,50,60
"'015915",57.6,58.2,71.1,60.3,60,55.6,57.6,53.1,57.7,51,49.6,43.6,56.2,51.3,55.6,33.3,"NORTHSIDE ISD",34.2,22.2,28.5,25.9,59.7,58.2
"'015916",39.2,40.5,39.5,75,66.7,-1,43.5,48.4,46.3,51.5,40.5,46.4,44.1,47.5,-1,-1,"JUDSON ISD",30.4,30.5,20,25.9,37.7,43.9
"'015917",-1,-1,-1,.,.,.,43.4,41.9,25,42.9,39.6,42.6,45.1,42.2,.,.,"SOUTHSIDE ISD",51.6,19,19.4,15.9,26.9,39.1
"'016901",-1,-1,-1,.,.,.,69.8,53.8,.,.,50,50,50,52.9,.,.,"JOHNSON CITY ISD",-1,-1,-1,0,73.5,54.5
"'016902",-1,.,.,-1,.,.,55.1,54.8,.,-1,40,35.7,36.7,33.3,.,.,"BLANCO ISD",-1,20,20,-1,69.6,63.8
"'017901",-1,.,.,.,.,.,89.5,77.3,.,-1,60,-1,-1,-1,-1,.,"BORDEN COUNTY ISD",.,-1,-1,-1,86.7,77.8
"'018901",.,-1,-1,-1,.,.,62.3,64,-1,-1,48.4,46.9,44,47.4,-1,-1,"CLIFTON ISD",20,-1,37.5,54.5,75,67.4
"'018902",-1,-1,.,.,.,.,43.3,57.1,.,-1,35.3,40,35.7,50,.,.,"MERIDIAN ISD",-1,.,-1,-1,46.7,66.7
"'018903",.,.,.,.,.,.,33.3,-1,-1,.,33.3,-1,37.5,.,.,.,"MORGAN ISD",-1,.,-1,.,-1,-1
"'018904",-1,-1,.,.,.,.,69.2,64.3,-1,-1,50,57.9,66.7,57.1,.,.,"VALLEY MILLS ISD",-1,-1,-1,40,71,71.1
"'018905",.,.,.,.,.,.,60,50,.,.,80,42.9,-1,40,.,.,"WALNUT SPRINGS ISD",-1,-1,.,-1,83.3,60
"'018906",.,.,.,.,.,.,85.7,42.9,.,.,-1,50,-1,-1,.,.,"IREDELL ISD",.,.,.,.,-1,40
"'018907",.,.,.,.,.,.,83.3,22.2,.,.,-1,14.3,.,-1,.,.,"KOPPERL ISD",.,.,.,-1,83.3,28.6
"'018908",.,.,.,.,.,.,66.7,55.6,.,.,57.1,60,-1,-1,.,.,"CRANFILLS GAP ISD",-1,-1,-1,.,71.4,83.3
"'019901",-1,80,.,.,.,.,46.5,52.5,71.4,50,47.6,57.1,-1,50,-1,-1,"DEKALB ISD",-1,.,-1,50,46.7,51.2
"'019902",16.7,-1,.,.,.,.,34,28.6,16.7,23.1,29.8,15,40,16.7,.,-1,"HOOKS ISD",-1,-1,0,8.3,39.4,32.1
"'019903",.,.,.,.,.,.,55.2,54.8,-1,-1,50,43.8,-1,-1,-1,.,"MAUD ISD",.,.,37.5,.,60,57.1
"'019905",-1,40,.,.,.,-1,39.5,41.5,38.1,23.8,33.3,33.3,-1,33.3,.,.,"NEW BOSTON ISD",.,.,22.2,21.4,40.7,47.9
"'019906",-1,-1,.,-1,.,.,37.8,37.8,.,-1,31,33.3,-1,33.3,.,.,"REDWATER ISD",.,-1,28.6,20,36.2,35.7
"'019907",37.5,30.8,55.6,75,-1,.,41.1,40.8,32.7,35.1,36.4,32.7,54.1,30,-1,-1,"TEXARKANA ISD",44.4,20,25,28.6,44.2,49.7
"'019908",13.3,-1,.,.,.,.,30.8,34.3,30.6,32.2,28.9,27.6,37.5,37.5,-1,.,"LIBERTY-EYLAU ISD",.,.,20.7,26.7,33.3,37.8
"'019909",.,-1,.,.,.,.,42.9,36.1,.,.,33.3,30,-1,-1,.,.,"SIMMS ISD",.,.,14.3,-1,40.6,39.4
"'019910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MALTA ISD",.,.,.,.,.,.
"'019911",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RED LICK ISD",.,.,.,.,.,.
"'019912",-1,57.1,57.1,87.5,-1,.,49.7,48.1,38.9,50,58.8,41.7,64.3,50,-1,.,"PLEASANT GROVE ISD",-1,-1,37.5,18.8,48.8,43.7
"'019913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HUBBARD ISD",.,.,.,.,.,.
"'019914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LEARY ISD",.,.,.,.,.,.
"'020901",53.8,54.5,78.6,72.5,-1,-1,55.6,47.7,55.9,52.7,45.5,37.7,49.1,39.8,44.4,-1,"ALVIN ISD",28.4,25.8,33.6,15.8,58.5,46.2
"'020902",66.7,50,-1,.,.,.,48,43.2,37.3,38.3,38.4,31.4,47.1,40.8,.,-1,"ANGLETON ISD",18.8,9.5,16.1,12.5,52.6,48.2
"'020904",-1,-1,-1,.,.,.,53.8,55,-1,.,41.7,28.6,50,45.5,.,.,"DANBURY ISD",.,.,20,40,54,56.3
"'020905",43.8,41.2,85.7,81.8,.,.,51.8,45.3,40.7,38.8,40.7,34.5,47.1,39,0,40,"BRAZOSPORT ISD",28.9,19.6,23.3,15.7,61,55.7
"'020906",83.3,28.6,.,.,.,.,64.6,53.8,66.7,53.8,51.2,37,65,48,.,.,"SWEENY ISD",.,.,33.3,20,62.8,57.6
"'020907",-1,40,-1,.,.,.,46.7,47.3,42.9,43.5,25,34,42.1,41.5,.,-1,"COLUMBIA-BRAZORIA ISD",-1,-1,17.4,4.8,49.1,51.3
"'020908",67.5,56.8,87.6,75.6,-1,-1,65,57.5,59.7,59.4,47.1,42.6,59.1,48.9,66.7,81.8,"PEARLAND ISD",25,8.1,38.1,24,65,58
"'020910",.,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,"DAMON ISD",.,.,.,.,.,.
"'021803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BRAZOS SCHOOL FOR INQUIRY & CREATIVITY",.,.,.,.,.,.
"'021805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ARROW ACADEMY",.,.,.,.,.,.
"'021901",47.1,47.8,67.1,65.6,-1,.,58.6,57.3,45.3,50.4,39,39.1,49,46.7,-1,-1,"COLLEGE STATION ISD",35,14.8,20.5,28.6,63.7,62.8
"'021902",13.3,40,80,-1,.,-1,43.5,36.6,43.3,32.3,36.1,27.5,36.1,32.2,-1,.,"BRYAN ISD",18.5,9.8,17.4,7.1,59.8,50.4
"'022004",.,.,-1,.,.,.,28.6,20,.,.,-1,12.5,-1,11.1,.,.,"TERLINGUA CSD",.,0,-1,-1,-1,-1
"'022901",-1,-1,.,-1,.,.,47.9,44.3,.,-1,32,33.3,51,40,-1,.,"ALPINE ISD",-1,40,-1,16.7,45.5,44.4
"'022902",.,.,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,"MARATHON ISD",.,.,-1,.,-1,-1
"'022903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SAN VICENTE ISD",.,.,.,.,.,.
"'023902",-1,.,.,.,.,.,55.6,50,-1,-1,46.2,50,71.4,-1,.,.,"SILVERTON ISD",.,.,-1,.,50,40
"'024901",.,.,.,.,.,.,41.8,51.7,.,.,35.8,41.1,43.2,49.4,.,.,"BROOKS COUNTY ISD",-1,-1,16.7,14.3,-1,-1
"'025901",-1,-1,.,.,.,.,52.9,58.8,-1,-1,37.5,48.9,56.3,59.1,-1,.,"BANGS ISD",-1,.,0,22.2,50.8,60.3
"'025902",28.6,45.5,-1,-1,-1,.,45.6,47.9,54.5,33.3,30.6,35.7,34.4,33.7,.,.,"BROWNWOOD ISD",-1,.,9.1,10.5,55.2,61.1
"'025904",.,.,.,.,.,.,50,30.8,.,.,.,0,-1,-1,.,.,"BLANKET ISD",.,.,.,.,62.5,33.3
"'025905",.,.,.,.,.,.,51.6,33.3,.,.,50,14.3,-1,-1,-1,.,"MAY ISD",.,.,-1,-1,57.7,40
"'025906",.,.,.,.,.,.,63.6,41.7,.,.,50,20,.,.,.,.,"ZEPHYR ISD",.,.,-1,.,63.6,41.7
"'025908",.,.,.,.,.,.,62.5,25,.,.,-1,33.3,-1,-1,.,.,"BROOKESMITH ISD",.,.,-1,-1,57.1,25
"'025909",.,-1,-1,-1,.,.,58.5,56.1,-1,.,31.4,51.7,33.3,36.8,.,.,"EARLY ISD",.,.,36.4,18.2,62.3,62.5
"'026901",-1,-1,-1,.,.,.,55.4,36.9,43.8,28.6,37.3,28.6,45.2,33.3,-1,.,"CALDWELL ISD",-1,14.3,23.1,0,63.8,41.4
"'026902",-1,.,.,.,.,.,42.3,20,16.7,-1,16.7,0,50,0,.,.,"SOMERVILLE ISD",-1,-1,-1,-1,55.6,33.3
"'026903",-1,-1,.,.,.,.,30,27.8,30.8,0,17.4,22.2,0,25,.,.,"SNOOK ISD",-1,.,0,-1,35,54.5
"'027903",-1,60,-1,-1,.,.,38.3,31.5,-1,.,32.4,25.9,28.6,26.1,-1,-1,"BURNET CISD",11.1,20,13,20,43.6,33.8
"'027904",-1,14.3,-1,-1,-1,-1,42.3,40.4,40,33.3,32.5,28.8,31.4,31.9,.,.,"MARBLE FALLS ISD",7.7,9.5,16.7,16.1,53.3,50.3
"'028902",40,71.4,-1,.,.,.,32.4,26.6,25,23.1,26.8,19.1,30,21.3,-1,-1,"LOCKHART ISD",16.7,7.5,4.5,3.8,41.4,41.2
"'028903",-1,-1,.,-1,.,.,36.6,29.8,-1,-1,25,23.3,27.7,29,.,-1,"LULING ISD",0,0,20,0,62.5,35.3
"'028906",-1,.,.,.,.,.,50,33.3,.,-1,50,20,83.3,57.1,.,.,"PRAIRIE LEA ISD",.,.,-1,-1,-1,-1
"'029901",-1,40,60,58.8,.,.,36.3,38.4,40,-1,25.6,23.4,29.5,33.2,-1,.,"CALHOUN COUNTY ISD",15.4,0,7.1,6.5,49.3,45.6
"'030901",.,.,.,.,.,.,58.3,40.9,.,.,54.5,28.6,40,-1,.,-1,"CROSS PLAINS ISD",.,-1,-1,-1,63.2,41.2
"'030902",-1,-1,-1,.,.,.,62.7,43,-1,-1,56.7,25.6,60,33.3,.,.,"CLYDE CISD",.,-1,0,0,61.6,46.4
"'030903",-1,.,.,.,.,.,33.3,54.5,.,.,23.1,50,-1,40,.,.,"BAIRD ISD",.,.,-1,33.3,33.3,58.8
"'030906",.,-1,-1,.,.,.,52.9,58.1,.,.,44.4,41.7,-1,-1,.,.,"EULA ISD",.,.,40,-1,50,64
"'031901",-1,.,87.5,-1,.,-1,59.7,52.3,-1,-1,57.7,50.2,59.6,52.3,-1,.,"BROWNSVILLE ISD",41.2,29,30.8,25.6,72.2,66.7
"'031903",-1,62.5,71.4,50,-1,-1,56.5,52.3,42.9,50,50.3,43.7,55.4,51.7,.,-1,"HARLINGEN CISD",23.1,22,20.9,17.9,70.7,61.3
"'031905",-1,.,-1,.,.,.,50.4,39.3,.,.,49.7,32.2,50.9,38.6,.,.,"LA FERIA ISD",30,16.7,27.3,15.4,36.4,62.5
"'031906",-1,.,-1,-1,-1,.,58,53.5,16.7,-1,54.9,51.2,59.1,53.5,-1,.,"LOS FRESNOS CISD",41.2,31.7,35.9,19.6,36,50
"'031909",.,.,.,.,.,.,49,35.6,.,.,43.9,32.5,48.5,36.1,-1,.,"POINT ISABEL ISD",15.8,8.7,25,0,50,30.8
"'031911",.,.,.,.,.,.,53.6,47.9,.,.,47.7,41.8,53.7,47.8,.,-1,"RIO HONDO ISD",-1,0,27.3,22.2,-1,-1
"'031912",-1,-1,.,-1,.,-1,46.5,39.2,-1,.,40.8,35.2,46.5,39.4,.,.,"SAN BENITO CISD",17.1,8.6,17,12,50,-1
"'031913",.,.,.,.,.,.,47.6,40.3,.,.,48.7,41,47.6,41,.,.,"SANTA MARIA ISD",60,27.3,-1,-1,.,-1
"'031914",.,.,.,.,.,.,62.2,55.4,.,-1,58.6,46.9,62.2,57.1,.,.,"SANTA ROSA ISD",-1,-1,40,-1,.,-1
"'031916",83.3,-1,82.3,78.4,.,.,78.5,75.7,83.3,-1,80.8,76.4,78.6,75.5,.,.,"SOUTH TEXAS ISD",-1,75,50,70.8,67.6,73.9
