DISTRICT,D20GR21N,D20GR21R,D30GR21N,D30GR21R,D40GR21N,D40GR21R,DA0GA21N,DA0GA21P,DA0GE21N,DA0GE21P,DA0GH21N,DA0GH21P,DA0GM21N,DA0GM21P,DA0GN21N,DA0GN21P,DA0GR21N,DA0GR21R,DB0GR21N,DB0GR21R,DE0GR21N,DE0GR21R,DH0GR21N,DH0GR21R,DI0GR21N,DI0GR21R,DISTNAME,DL0GR21N,DL0GR21R,DR0GR21N,DR0GR21R,DS0GR21N,DS0GR21R,DW0GR21N,DW0GR21R
"'015825",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LIGHTHOUSE PUBLIC SCHOOLS",.,.,.,.,.,.,.,.
"'015827",4,5.4,6,8.1,0,0,70,94.6,2,2.7,0,0,0,0,2,2.7,74,100,4,5.4,30,40.5,46,62.2,0,0,"SCHOOL OF SCIENCE AND TECHNOLOGY",3,4.1,31,41.9,5,6.8,14,18.9
"'015828",1,0.4,5,2.2,0,0,191,82.3,21,9.1,0,0,0,0,20,8.6,232,100,5,2.2,169,72.8,212,91.4,0,0,"HARMONY PUBLIC SCHOOLS - SOUTH TEXAS",52,22.4,141,60.8,15,6.5,9,3.9
"'015830",2,1.6,1,0.8,0,0,106,83.5,10,7.9,0,0,0,0,11,8.7,127,100,7,5.5,85,66.9,108,85,0,0,"BROOKS ACADEMIES OF TEXAS",6,4.7,74,58.3,19,15,9,7.1
"'015831",1,3,2,6.1,0,0,28,84.8,1,3,0,0,0,0,4,12.1,33,100,2,6.1,16,48.5,24,72.7,0,0,"SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY",3,9.1,14,42.4,4,12.1,4,12.1
"'015833",1,5,1,5,0,0,14,70,3,15,0,0,0,0,3,15,20,100,1,5,6,30,13,65,0,0,"HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN",0,0,8,40,1,5,4,20
"'015834",5,5.7,17,19.5,0,0,87,100,0,0,0,0,0,0,0,0,87,100,2,2.3,5,5.7,29,33.3,1,1.1,"BASIS TEXAS",0,0,0,0,0,0,33,37.9
"'015835",1,0.8,8,6.7,0,0,112,94.1,0,0,0,0,0,0,7,5.9,119,100,5,4.2,25,21,35,29.4,0,0,"GREAT HEARTS TEXAS",3,2.5,31,26.1,11,9.2,70,58.8
"'015836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY",.,.,.,.,.,.,.,.
"'015838",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COMPASS ROSE PUBLIC SCHOOLS",.,.,.,.,.,.,.,.
"'015839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PROMESA ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.
"'015840",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SAN ANTONIO PREPARATORY SCHOOLS",.,.,.,.,.,.,.,.
"'015841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE GATHERING PLACE",.,.,.,.,.,.,.,.
"'015842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROYAL PUBLIC SCHOOLS",.,.,.,.,.,.,.,.
"'015843",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRELUDE PREPARATORY CHARTER SCHOOL",.,.,.,.,.,.,.,.
"'015901",3,0.8,11,2.8,2,0.5,355,89.6,1,0.3,0,0,0,0,40,10.1,396,100,6,1.5,76,19.2,154,38.9,4,1,"ALAMO HEIGHTS ISD",8,2,104,26.3,33,8.3,216,54.5
"'015904",2,0.3,1,0.1,0,0,594,74.3,72,9,0,0,0,0,134,16.8,800,100,2,0.3,599,74.9,779,97.4,0,0,"HARLANDALE ISD",73,9.1,487,60.9,88,11,16,2
"'015905",1,0.2,8,1.6,1,0.2,0,0,0,0,0,0,0,0,515,100,515,100,9,1.7,474,92,494,95.9,0,0,"EDGEWOOD ISD",64,12.4,399,77.5,59,11.5,2,0.4
"'015906",17,14.2,8,6.7,0,0,113,94.2,1,0.8,0,0,0,0,6,5,120,100,30,25,5,4.2,20,16.7,0,0,"RANDOLPH FIELD ISD",0,0,7,5.8,6,5,45,37.5
"'015907",14,0.5,11,0.4,1,0,2109,78.7,205,7.6,2,0.1,13,0.5,351,13.1,2680,100,155,5.8,2240,83.6,2423,90.4,5,0.2,"SAN ANTONIO ISD",344,12.8,1824,68.1,309,11.5,71,2.6
"'015908",1,0.2,0,0,1,0.2,424,77.7,12,2.2,0,0,0,0,110,20.1,546,100,8,1.5,458,83.9,526,96.3,0,0,"SOUTH SAN ANTONIO ISD",51,9.3,379,69.4,44,8.1,10,1.8
"'015909",2,0.7,0,0,0,0,223,76.1,28,9.6,0,0,0,0,42,14.3,293,100,1,0.3,222,75.8,262,89.4,0,0,"SOMERSET ISD",26,8.9,159,54.3,27,9.2,28,9.6
"'015910",155,3.4,217,4.7,6,0.1,3466,75.8,31,0.7,0,0,8,0.2,1070,23.4,4575,100,298,6.5,1615,35.3,2561,56,13,0.3,"NORTH EAST ISD",253,5.5,4198,91.8,349,7.6,1325,29
"'015911",6,0.9,3,0.4,0,0,492,72.1,43,6.3,0,0,0,0,147,21.6,682,100,54,7.9,284,41.6,503,73.8,2,0.3,"EAST CENTRAL ISD",48,7,368,54,71,10.4,114,16.7
"'015912",7,0.7,2,0.2,0,0,782,81,17,1.8,0,0,0,0,166,17.2,965,100,35,3.6,790,81.9,871,90.3,3,0.3,"SOUTHWEST ISD",72,7.5,630,65.3,133,13.8,47,4.9
"'015913",5,13.2,3,7.9,0,0,24,63.2,2,5.3,0,0,1,2.6,11,28.9,38,100,5,13.2,4,10.5,11,28.9,0,0,"LACKLAND ISD",0,0,6,15.8,9,23.7,14,36.8
"'015914",6,6.1,0,0,2,2,86,86.9,3,3,0,0,0,0,10,10.1,99,100,13,13.1,20,20.2,35,35.4,1,1,"FT SAM HOUSTON ISD",1,1,16,16.2,16,16.2,42,42.4
"'015915",216,3.1,250,3.5,27,0.4,5984,84.5,35,0.5,0,0,0,0,1060,15,7079,100,506,7.1,2505,35.4,4727,66.8,5,0.1,"NORTHSIDE ISD",280,4,2716,38.4,695,9.8,1348,19
"'015916",41,2.7,36,2.3,9,0.6,1135,73.7,71,4.6,7,0.5,2,0.1,325,21.1,1540,100,370,24,781,50.7,869,56.4,8,0.5,"JUDSON ISD",76,4.9,1220,79.2,157,10.2,207,13.4
"'015917",3,0.8,2,0.5,0,0,263,69.8,6,1.6,0,0,0,0,108,28.6,377,100,1,0.3,261,69.2,349,92.6,0,0,"SOUTHSIDE ISD",32,8.5,212,56.2,57,15.1,22,5.8
"'016901",0,0,0,0,0,0,36,97.3,0,0,0,0,0,0,1,2.7,37,100,0,0,12,32.4,11,29.7,0,0,"JOHNSON CITY ISD",1,2.7,16,43.2,3,8.1,26,70.3
"'016902",3,3.7,0,0,0,0,79,96.3,0,0,0,0,0,0,3,3.7,82,100,0,0,21,25.6,25,30.5,0,0,"BLANCO ISD",3,3.7,14,17.1,7,8.5,54,65.9
"'017901",1,4.5,0,0,0,0,22,100,0,0,0,0,0,0,0,0,22,100,0,0,7,31.8,3,13.6,0,0,"BORDEN COUNTY ISD",0,0,3,13.6,0,0,18,81.8
"'018901",0,0,2,3.1,0,0,62,95.4,0,0,0,0,0,0,3,4.6,65,100,1,1.5,36,55.4,26,40,2,3.1,"CLIFTON ISD",5,7.7,21,32.3,9,13.8,34,52.3
"'018902",0,0,0,0,0,0,27,84.4,2,6.3,0,0,0,0,3,9.4,32,100,0,0,15,46.9,12,37.5,0,0,"MERIDIAN ISD",2,6.3,13,40.6,7,21.9,20,62.5
"'018903",0,0,0,0,0,0,10,66.7,3,20,0,0,0,0,2,13.3,15,100,0,0,9,60,7,46.7,0,0,"MORGAN ISD",0,0,1,6.7,5,33.3,8,53.3
"'018904",0,0,0,0,0,0,33,91.7,0,0,0,0,1,2.8,2,5.6,36,100,0,0,10,27.8,9,25,0,0,"VALLEY MILLS ISD",3,8.3,5,13.9,4,11.1,27,75
"'018905",0,0,0,0,0,0,8,88.9,1,11.1,0,0,0,0,0,0,9,100,0,0,8,88.9,5,55.6,0,0,"WALNUT SPRINGS ISD",1,11.1,7,77.8,2,22.2,4,44.4
"'018906",0,0,0,0,0,0,11,100,0,0,0,0,0,0,0,0,11,100,0,0,4,36.4,2,18.2,0,0,"IREDELL ISD",0,0,4,36.4,0,0,9,81.8
"'018907",1,9.1,0,0,0,0,9,81.8,1,9.1,0,0,1,9.1,0,0,11,100,0,0,6,54.5,1,9.1,0,0,"KOPPERL ISD",0,0,10,90.9,1,9.1,9,81.8
"'018908",0,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,9,100,0,0,7,77.8,1,11.1,0,0,"CRANFILLS GAP ISD",0,0,6,66.7,1,11.1,8,88.9
"'019901",0,0,0,0,0,0,45,86.5,0,0,0,0,0,0,7,13.5,52,100,13,25,28,53.8,5,9.6,1,1.9,"DEKALB ISD",1,1.9,5,9.6,4,7.7,33,63.5
"'019902",4,5.3,0,0,0,0,1,1.3,5,6.6,30,39.5,0,0,40,52.6,76,100,5,6.6,35,46.1,8,10.5,1,1.3,"HOOKS ISD",2,2.6,23,30.3,7,9.2,58,76.3
"'019903",1,3.3,0,0,0,0,17,56.7,9,30,1,3.3,0,0,3,10,30,100,2,6.7,17,56.7,1,3.3,0,0,"MAUD ISD",0,0,3,10,3,10,26,86.7
"'019905",5,6.3,0,0,0,0,50,62.5,2,2.5,0,0,0,0,28,35,80,100,15,18.8,37,46.3,4,5,0,0,"NEW BOSTON ISD",0,0,37,46.3,9,11.3,56,70
"'019906",2,3.3,3,4.9,0,0,41,67.2,1,1.6,0,0,0,0,19,31.1,61,100,0,0,19,31.1,2,3.3,0,0,"REDWATER ISD",0,0,21,34.4,7,11.5,54,88.5
"'019907",19,3.9,7,1.4,0,0,352,72.4,1,0.2,0,0,0,0,133,27.4,486,100,163,33.5,258,53.1,98,20.2,4,0.8,"TEXARKANA ISD",13,2.7,213,43.8,53,10.9,195,40.1
"'019908",6,3.6,0,0,1,0.6,52,31.1,11,6.6,0,0,0,0,104,62.3,167,100,93,55.7,94,56.3,6,3.6,0,0,"LIBERTY-EYLAU ISD",1,0.6,105,62.9,25,15,61,36.5
"'019909",0,0,1,2.4,0,0,22,53.7,7,17.1,0,0,0,0,12,29.3,41,100,0,0,18,43.9,2,4.9,0,0,"SIMMS ISD",1,2.4,7,17.1,9,22,38,92.7
"'019910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MALTA ISD",.,.,.,.,.,.,.,.
"'019911",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RED LICK ISD",.,.,.,.,.,.,.,.
"'019912",4,2.4,7,4.2,0,0,161,96.4,2,1.2,0,0,0,0,4,2.4,167,100,28,16.8,37,22.2,6,3.6,0,0,"PLEASANT GROVE ISD",2,1.2,46,27.5,8,4.8,122,73.1
"'019913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HUBBARD ISD",.,.,.,.,.,.,.,.
"'019914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LEARY ISD",.,.,.,.,.,.,.,.
"'020901",52,2.8,147,8,0,0,1501,81.9,58,3.2,1,0.1,13,0.7,259,14.1,1832,100,468,25.5,916,50,725,39.6,6,0.3,"ALVIN ISD",96,5.2,634,34.6,188,10.3,434,23.7
"'020902",8,1.7,1,0.2,0,0,311,67.5,42,9.1,0,0,1,0.2,107,23.2,461,100,48,10.4,305,66.2,241,52.3,0,0,"ANGLETON ISD",29,6.3,281,61,37,8,163,35.4
"'020904",2,3.1,0,0,0,0,59,90.8,0,0,2,3.1,0,0,4,6.2,65,100,0,0,12,18.5,6,9.2,0,0,"DANBURY ISD",1,1.5,20,30.8,4,6.2,57,87.7
"'020905",19,2.2,19,2.2,1,0.1,670,79.3,39,4.6,1,0.1,2,0.2,133,15.7,845,100,58,6.9,522,61.8,441,52.2,4,0.5,"BRAZOSPORT ISD",37,4.4,310,36.7,60,7.1,303,35.9
"'020906",4,3.1,1,0.8,0,0,109,85.2,2,1.6,0,0,0,0,17,13.3,128,100,16,12.5,54,42.2,39,30.5,0,0,"SWEENY ISD",0,0,49,38.3,10,7.8,68,53.1
"'020907",3,1.8,1,0.6,0,0,127,75.1,13,7.7,0,0,0,0,29,17.2,169,100,23,13.6,69,40.8,34,20.1,0,0,"COLUMBIA-BRAZORIA ISD",2,1.2,40,23.7,18,10.7,108,63.9
"'020908",54,3.3,191,11.6,3,0.2,1386,84,12,0.7,0,0,3,0.2,249,15.1,1650,100,278,16.8,402,24.4,555,33.6,12,0.7,"PEARLAND ISD",33,2,522,31.6,137,8.3,557,33.8
"'020910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DAMON ISD",.,.,.,.,.,.,.,.
"'021803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BRAZOS SCHOOL FOR INQUIRY & CREATIVITY",.,.,.,.,.,.,.,.
"'021805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ARROW ACADEMY",.,.,.,.,.,.,.,.
"'021901",31,3.3,94,10,0,0,768,81.4,3,0.3,1,0.1,12,1.3,160,16.9,944,100,103,10.9,231,24.5,195,20.7,4,0.4,"COLLEGE STATION ISD",11,1.2,230,24.4,75,7.9,517,54.8
"'021902",22,2,7,0.6,0,0,894,82.2,1,0.1,1,0.1,4,0.4,188,17.3,1088,100,190,17.5,707,65,609,56,4,0.4,"BRYAN ISD",145,13.3,787,72.3,129,11.9,256,23.5
