DISTRICT,D20GH20R,D20GH21R,D2RC4X20R,D2RC4X21R,D30GH20R,D30GH21R,D3RC4X20R,D3RC4X21R,D40GH20R,D40GH21R,D4RC4X20R,D4RC4X21R,DA0GH20R,DA0GH21R,DARC4X20R,DARC4X21R,DB0GH20R,DB0GH21R,DBRC4X20R,DBRC4X21R,DE0GH20R,DE0GH21R,DERC4X20R,DERC4X21R,DF0GH20R,DF0GH21R,DFRC4X20R,DFRC4X21R,DH0GH20R,DH0GH21R,DHRC4X20R,DHRC4X21R,DI0GH20R,DI0GH21R,DIRC4X20R,DIRC4X21R,DISTNAME,DL0GH20R,DL0GH21R,DLRC4X20R,DLRC4X21R,DM0GH20R,DM0GH21R,DMRC4X20R,DMRC4X21R,DR0GH20R,DR0GH21R,DRRC4X20R,DRRC4X21R,DS0GH20R,DS0GH21R,DSRC4X20R,DSRC4X21R,DW0GH20R,DW0GH21R,DWRC4X20R,DWRC4X21R
"'013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST MARY'S ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEEVILLE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PAWNEE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PETTUS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SKIDMORE-TYNAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014801",.,.,.,.,.,.,.,.,.,.,.,.,16.7,14.3,.,-1,.,.,.,.,0,-1,.,-1,11.1,14.3,.,-1,28.6,14.3,.,-1,-1,.,.,.,"RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN",.,.,.,.,-1,.,.,.,0,-1,.,-1,.,.,.,.,-1,.,.,.
"'014803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRIORITY CHARTER SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ORENDA CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ACADEMY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BARTLETT ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014903",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BELTON ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.
"'014905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOLLAND ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014906",-1,.,.,.,-1,.,.,.,.,.,.,.,0,-1,-1,-1,0,-1,-1,.,-1,.,-1,-1,0,.,.,-1,-1,.,.,.,.,.,.,.,"KILLEEN ISD",.,.,.,.,0,-1,-1,.,0,.,-1,.,-1,.,.,-1,-1,.,.,-1
"'014907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROGERS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SALADO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014909",.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,0,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,"TEMPLE ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.
"'014910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TROY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015801",.,.,.,.,.,.,.,.,.,.,.,.,27.3,41.7,9.1,46.2,.,.,.,.,28.1,41.7,9.1,46.2,40,40,20,55.6,25,41.7,9.1,46.2,.,.,.,.,"POR VIDA ACADEMY",.,.,.,.,7.7,-1,0,-1,40.9,44.4,11.1,45.5,-1,0,-1,-1,-1,.,.,.
"'015802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GEORGE GERVIN ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NEW FRONTIERS PUBLIC SCHOOLS INC",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015806",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LEGACY TRADITIONAL SCHOOLS - TEXAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTHWEST PREPARATORY SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015808",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"INSPIRE ACADEMIES",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEXAR COUNTY ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015814",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"POSITIVE SOLUTIONS CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015815",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HERITAGE ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015822",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"JUBILEE ACADEMIES",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015825",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LIGHTHOUSE PUBLIC SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015827",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SCHOOL OF SCIENCE AND TECHNOLOGY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015828",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HARMONY PUBLIC SCHOOLS - SOUTH TEXAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015830",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BROOKS ACADEMIES OF TEXAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015831",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015833",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015834",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BASIS TEXAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015835",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GREAT HEARTS TEXAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015838",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COMPASS ROSE PUBLIC SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PROMESA ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015840",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SAN ANTONIO PREPARATORY SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE GATHERING PLACE",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROYAL PUBLIC SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015843",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRELUDE PREPARATORY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015901",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ALAMO HEIGHTS ISD",.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.
"'015904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HARLANDALE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015905",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,"EDGEWOOD ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.
"'015906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RANDOLPH FIELD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015907",.,.,.,.,.,.,.,.,.,.,.,.,56.5,13.3,85.7,-1,-1,-1,.,-1,58.1,7.1,85.2,-1,58.3,11.1,82.4,-1,61.9,15.4,88.9,-1,.,.,.,.,"SAN ANTONIO ISD",57.1,.,-1,.,54.5,16.7,90.9,-1,63,15.4,84.2,-1,0,-1,.,.,-1,-1,-1,.
"'015908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTH SAN ANTONIO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOMERSET ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015910",.,.,.,.,.,.,.,.,.,.,.,.,0,0,-1,-1,-1,-1,.,.,-1,-1,-1,.,0,-1,-1,.,0,0,-1,-1,.,.,.,.,"NORTH EAST ISD",.,.,-1,.,0,0,.,-1,0,-1,-1,-1,0,-1,.,.,0,-1,.,.
"'015911",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EAST CENTRAL ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.
"'015912",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTHWEST ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015913",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LACKLAND ISD",.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.
"'015914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"FT SAM HOUSTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015915",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NORTHSIDE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015916",.,.,.,.,.,.,.,.,.,.,.,.,-1,77.8,.,77.8,.,-1,.,-1,.,66.7,.,66.7,-1,-1,.,-1,-1,80,.,80,.,.,.,.,"JUDSON ISD",.,-1,.,-1,-1,66.7,.,66.7,-1,77.8,.,77.8,-1,77.8,.,77.8,.,-1,.,-1
"'015917",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTHSIDE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'016901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"JOHNSON CITY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'016902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLANCO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'017901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BORDEN COUNTY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
