DISTRICT,D20GH19R,D20GH20R,D2RC4X19R,D2RC4X20R,D30GH19R,D30GH20R,D3RC4X19R,D3RC4X20R,D40GH19R,D40GH20R,D4RC4X19R,D4RC4X20R,DA0GH19R,DA0GH20R,DARC4X19R,DARC4X20R,DB0GH19R,DB0GH20R,DBRC4X19R,DBRC4X20R,DE0GH19R,DE0GH20R,DERC4X19R,DERC4X20R,DF0GH19R,DF0GH20R,DFRC4X19R,DFRC4X20R,DH0GH19R,DH0GH20R,DHRC4X19R,DHRC4X20R,DI0GH19R,DI0GH20R,DIRC4X19R,DIRC4X20R,DISTNAME,DL0GH19R,DL0GH20R,DLRC4X19R,DLRC4X20R,DM0GH19R,DM0GH20R,DMRC4X19R,DMRC4X20R,DR0GH19R,DR0GH20R,DRRC4X19R,DRRC4X20R,DS0GH19R,DS0GH20R,DSRC4X19R,DSRC4X20R,DW0GH19R,DW0GH20R,DWRC4X19R,DWRC4X20R
"'013801",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST MARY'S ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEEVILLE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PAWNEE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PETTUS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'013905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SKIDMORE-TYNAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014801",.,.,.,.,.,.,.,.,.,.,.,.,0,16.7,-1,.,0,.,.,.,0,0,-1,.,0,11.1,-1,.,0,28.6,-1,.,.,-1,.,.,"RICHARD MILBURN ALTER HIGH SCHOOL",-1,.,-1,.,0,-1,-1,.,0,0,-1,.,0,.,-1,.,-1,-1,-1,.
"'014803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRIORITY CHARTER SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014804",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ORENDA CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014901",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ACADEMY ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.
"'014902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BARTLETT ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014903",.,.,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,-1,-1,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,"BELTON ISD",.,.,.,.,-1,-1,-1,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.
"'014905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOLLAND ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014906",-1,-1,.,.,-1,-1,.,.,.,.,.,.,3.6,0,40,-1,8.3,0,-1,-1,0,-1,-1,-1,0,0,-1,.,0,-1,.,.,.,.,.,.,"KILLEEN ISD",-1,.,-1,.,5.9,0,-1,-1,0,0,-1,-1,0,-1,.,.,0,-1,-1,.
"'014907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROGERS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014908",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,"SALADO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'014909",.,.,.,.,.,.,.,.,.,.,.,.,33.3,0,-1,.,-1,0,-1,.,.,-1,-1,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.,"TEMPLE ISD",.,.,.,.,-1,-1,-1,.,.,-1,-1,.,.,-1,.,.,-1,.,.,.
"'014910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TROY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015801",.,.,.,.,.,.,.,.,.,.,.,.,31.3,27.3,-1,9.1,-1,.,-1,.,57.1,28.1,-1,9.1,42.9,40,-1,20,35.7,25,-1,9.1,.,.,.,.,"POR VIDA ACADEMY",.,.,.,.,22.2,7.7,-1,0,57.1,40.9,-1,11.1,-1,-1,-1,-1,.,-1,.,.
"'015802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GEORGE GERVIN ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NEW FRONTIERS PUBLIC SCHOOLS INC",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015806",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SCHOOL OF EXCELLENCE IN EDUCATION",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTHWEST PREPARATORY SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015808",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"INSPIRE ACADEMIES",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BEXAR COUNTY ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015814",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,"POSITIVE SOLUTIONS CHARTER SCHOOL",.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015815",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HERITAGE ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015822",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"JUBILEE ACADEMIES",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015825",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LIGHTHOUSE PUBLIC SCHOOLS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015827",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SCHOOL OF SCIENCE AND TECHNOLOGY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015828",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HARMONY SCIENCE ACAD (SAN ANTONIO)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015830",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,"BROOKS ACADEMIES OF TEXAS",.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.,.,.,.,.
"'015831",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SCHOOL OF SCIENCE AND TECHNOLOGY D",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015833",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HENRY FORD ACADEMY ALAMEDA SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015834",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BASIS TEXAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015835",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GREAT HEARTS TEXAS",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ELEANOR KOLITZ HEBREW LANGUAGE ACA",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015838",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COMPASS ROSE ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PROMESA ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015840",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SAN ANTONIO PREPARATORY CHARTER SC",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE GATHERING PLACE",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015901",.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,"ALAMO HEIGHTS ISD",.,.,.,.,.,-1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.
"'015904",.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,.,.,.,-1,.,.,.,0,.,.,.,.,.,.,.,"HARLANDALE ISD",-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.
"'015905",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,.,-1,.,.,-1,-1,.,.,.,.,.,"EDGEWOOD ISD",.,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,.,.,.,.,.,.
"'015906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RANDOLPH FIELD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015907",.,.,.,.,.,.,.,.,.,.,.,.,10,56.5,40,85.7,-1,-1,-1,.,11.1,58.1,40,85.2,0,58.3,-1,82.4,5.9,61.9,-1,88.9,.,.,.,.,"SAN ANTONIO ISD",-1,57.1,-1,-1,25,54.5,-1,90.9,10,63,-1,84.2,0,0,-1,.,-1,-1,.,-1
"'015908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTH SAN ANTONIO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015909",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,"SOMERSET ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.
"'015910",-1,.,-1,.,-1,.,-1,.,.,.,.,.,1.9,0,52.9,-1,0,-1,60,.,0,-1,42.9,-1,6.7,0,85.7,-1,3.7,0,-1,-1,.,.,.,.,"NORTH EAST ISD",-1,.,-1,-1,0,0,30,.,4.5,0,33.3,-1,0,0,-1,.,0,0,-1,.
"'015911",.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,"EAST CENTRAL ISD",.,.,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.
"'015912",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,"SOUTHWEST ISD",.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.
"'015913",.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,"LACKLAND ISD",.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"FT SAM HOUSTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'015915",.,.,.,.,.,.,-1,.,.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,"NORTHSIDE ISD",-1,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.
"'015916",.,.,.,.,.,.,.,.,.,.,.,.,40,-1,-1,.,-1,.,.,.,-1,.,-1,.,40,-1,-1,.,-1,-1,-1,.,.,.,.,.,"JUDSON ISD",.,.,.,.,40,-1,-1,.,60,-1,-1,.,-1,-1,.,.,20,.,-1,.
"'015917",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,"SOUTHSIDE ISD",.,.,-1,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,-1,.,-1,.
"'016901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"JOHNSON CITY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'016902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLANCO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'017901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BORDEN COUNTY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'018901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CLIFTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
